entry_n,exit_n,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,t_score,beats_baseline,profitable,is_canonical
15,7,478,573.2446427369279,1.1992565747634474,0.3682008368200837,3.228304294583454,-34.97453546832742,4.710835121350388,True,True,False
20,10,400,604.468808294323,1.5111720207358075,0.3975,3.8304830930640126,-32.60580562601632,4.867622791920917,True,True,True
25,12,362,592.5447155640136,1.6368638551492087,0.40331491712707185,4.092231087487731,-30.099213427917334,4.937801140968578,True,True,False
