timeframe,filter_mode,don_n,don_exit_n,atr_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
6h,ema200_price_below,15,7,2.0,69,4819,-45.41203704405389,-0.009423539540164741,-0.43455768235902753,0.9801381372410743,-135.53946573741413,35.65054990661963
6h,ema200_price_below,15,7,3.0,69,4611,-10.459508847697009,-0.002268381879786816,-0.23756392375639165,0.9934121251964628,-90.17097675964135,38.45152895250488
6h,ema200_price_below,20,10,2.0,69,3976,-141.00808050825646,-0.035464808980949815,-0.5673532844585456,0.9315156323992632,-175.166608715135,34.98490945674044
6h,ema200_price_below,20,10,3.0,69,3750,-75.9061535251188,-0.02024164094003168,-0.268637450709174,0.9473482871497155,-107.49386030430911,38.82666666666667
6h,ema200_price_below,25,12,2.0,69,3505,-240.4938411495899,-0.06861450532085304,-0.6480853126514781,0.872836715309371,-248.55707414768796,33.69472182596291
6h,ema200_price_below,25,12,3.0,69,3279,-154.61434337687746,-0.04715289520490316,-0.30352303523035334,0.8848388986455596,-163.76756022214664,37.724916132967365
6h,ema200_price_below,30,15,2.0,69,3123,-341.81018431014655,-0.10944930653542957,-0.7920489296636092,0.8080560703548947,-348.5702984648694,31.732308677553632
6h,ema200_price_below,30,15,3.0,69,2863,-223.62536556342968,-0.07810875499945151,-0.3336870964889003,0.8223501713603154,-229.52685220897882,36.604959832343695
6h,ema200_price_below,40,20,2.0,69,2655,-450.9927691110819,-0.1698654497593529,-0.9999999999999988,0.7291485052636023,-467.86604365068644,27.30696798493409
6h,ema200_price_below,40,20,3.0,69,2374,-258.06063482349566,-0.1087028790326435,-0.4415320807929983,0.7773781749935249,-266.28918640513695,33.02443133951137
6h,ema200_price_below,55,27,2.0,69,2114,-308.39768021549787,-0.14588348165349946,-0.999999999999999,0.7746878709644313,-325.0721336056012,27.1523178807947
6h,ema200_price_below,55,27,3.0,69,1883,-190.8745146721114,-0.10136724093048932,-0.5294195425095869,0.8054906933734967,-200.12306516321502,33.0323951141795
1d,ema200_price_below,10,5,2.0,53,1027,-149.09870037524504,-0.14517887086197181,-0.3379310344827578,0.6537100334675131,-150.45291425218304,31.256085686465436
1d,ema200_price_below,10,5,3.0,53,1003,-101.06989225331321,-0.10076758948485864,-0.20588235294117666,0.6552776633089121,-101.65635034692163,32.901296111665005
1d,ema200_price_below,15,7,2.0,53,792,-117.7911255420683,-0.1487261686137226,-0.3972778383630342,0.6724948237244763,-120.70049559218464,33.08080808080808
1d,ema200_price_below,15,7,3.0,53,762,-80.15554371341085,-0.10519100224857067,-0.23240733962118343,0.6759451449713699,-82.92473895474423,35.30183727034121
1d,ema200_price_below,20,10,2.0,53,620,-52.2456419361823,-0.08426716441319726,-0.4402980528897724,0.8227639527724485,-54.19051953961444,34.516129032258064
1d,ema200_price_below,20,10,3.0,53,595,-37.610526848086224,-0.06321096949258188,-0.23249755779876227,0.8184156891455379,-38.11647367084008,36.63865546218487
1d,ema200_price_below,25,12,2.0,53,522,-45.60735047049651,-0.0873704032001849,-0.546808884454907,0.8312407051874378,-50.76888317955782,34.86590038314176
1d,ema200_price_below,25,12,3.0,53,486,-21.487383774984984,-0.044212723816841534,-0.21906303881142997,0.8807735074137457,-34.46064606014045,38.88888888888889
1d,ema200_price_below,30,15,2.0,53,430,-20.400282838540576,-0.04744251822916413,-0.6240867454356911,0.9116276985901657,-47.4771967476727,34.883720930232556
1d,ema200_price_below,30,15,3.0,53,397,-5.815997387728949,-0.01464986747538778,-0.24349747474747468,0.9635647974473263,-33.798524142840876,39.29471032745592
1d,ema200_price_below,40,20,2.0,53,379,-29.450655015784736,-0.077706213761965,-0.9999999999999989,0.8628996143549228,-45.98102644823294,33.773087071240106
1d,ema200_price_below,40,20,3.0,53,332,-3.3382484068492317,-0.01005496508087118,-0.20822888443093363,0.9762206522549614,-26.1967369445542,40.06024096385542
1d,ema200_price_below,55,27,2.0,53,300,-49.94646714150928,-0.16648822380503095,-0.9999999999999994,0.7270856390595374,-53.884367519541065,32.33333333333333
1d,ema200_price_below,55,27,3.0,53,271,-25.442124051105075,-0.09388237657234345,-0.45627355041898643,0.804332107877498,-27.62874252235658,38.74538745387454
