timeframe,filter_mode,don_n,don_exit_n,atr_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
4h,ema200_price_below,10,5,2.0,69,9212,228.3204517409941,0.024785111999673697,-0.3238159813128071,1.0580931257308985,-115.39168073311546,36.441597915762046
4h,ema200_price_below,10,5,3.0,69,8937,168.1726134548335,0.0188175689218791,-0.18030303030303016,1.0627227140376703,-88.50428574399942,38.55880049233524
4h,ema200_price_below,15,7,2.0,69,7061,288.8810334186503,0.040912198473112914,-0.4216867469879519,1.0865317477117724,-59.957136272006494,35.73148279280555
4h,ema200_price_below,15,7,3.0,69,6771,193.4190607884641,0.028565804281267773,-0.21785881252921777,1.0836875772533203,-50.63048116327897,38.413823659725296
4h,ema200_price_below,20,10,2.0,69,5809,81.12757615311526,0.013965841995716174,-0.5571679859278769,1.026768370181201,-118.97083580643076,34.136684455155795
4h,ema200_price_below,20,10,3.0,69,5449,73.41816750851028,0.013473695633787901,-0.274509803921569,1.034864245299932,-70.80715797345727,37.951917783079466
4h,ema200_price_below,25,12,2.0,69,5220,-128.2254683029586,-0.024564265958421188,-0.6760839851544418,0.9553649728080954,-194.73700045778713,32.93103448275862
4h,ema200_price_below,25,12,3.0,69,4867,-61.58225178600692,-0.012653020708035118,-0.3136716963877448,0.9694998365379577,-128.79270488247977,37.33305937949456
4h,ema200_price_below,30,15,2.0,69,4609,-166.19169902782465,-0.036058081802522166,-0.8583583583583579,0.9372959150400676,-220.20305105026975,32.26296376654372
4h,ema200_price_below,30,15,3.0,69,4225,-46.05684342521963,-0.010901028029637784,-0.3433457081786476,0.9749803293170846,-107.74564149585729,37.53846153846154
4h,ema200_price_below,40,20,2.0,69,3876,-332.01726586912525,-0.08565976931607978,-0.9999999999999983,0.8594928041411687,-345.94490939058784,30.779153766769866
4h,ema200_price_below,40,20,3.0,69,3482,-179.61288669410897,-0.05158325292765909,-0.4109854987021628,0.8909133564916615,-188.6886462675026,36.81792073520965
4h,ema200_price_below,55,27,2.0,69,3252,-506.7526642335296,-0.15582800253183565,-0.9999999999999989,0.7642699423170728,-516.0403189108973,26.87576875768758
4h,ema200_price_below,55,27,3.0,69,2880,-330.31411494777234,-0.11469240102353206,-0.5833333333333344,0.783240932892508,-338.26533560487104,33.263888888888886
6h,ema200_price_below,10,5,2.0,69,5998,173.73293585007082,0.028965144356463957,-0.314371726610134,1.0683862720891348,-89.01967516055063,37.129043014338116
6h,ema200_price_below,10,5,3.0,69,5824,129.27810565833326,0.022197476933092937,-0.17735476088800847,1.073946217020038,-53.97697233486005,38.94230769230769
