block_size,n_runs,p05_total_r,p25_total_r,p50_total_r,p75_total_r,p95_total_r,prob_positive,pf_p05,pf_p50,avg_r_p05,avg_r_p50,max_dd_p95,max_dd_p50,mc_pass
1,5000,51.479535,65.80637499999999,76.26035,86.690425,102.72734000000001,1.0,2.0601410061361722,2.8162444392086883,0.20757877016129034,0.3075014112903226,6.889760000000018,4.074050000000002,True
5,5000,38.168245000000006,59.180350000000004,76.22964999999999,93.614675,120.878935,0.9994,1.7278611896957572,2.8456149574953513,0.1539042137096774,0.3073776209677419,13.254895000000026,7.085649999999992,True
10,5000,34.26659,58.567875,77.40169999999999,96.882575,127.76690500000002,0.9988,1.6513128730514837,2.89269956425166,0.13817173387096773,0.3121852822580645,14.727715000000005,8.0944,True
20,5000,34.88271999999999,58.826425,77.25094999999999,97.206725,124.82811999999998,0.9998,1.6958016222618606,2.866798522347255,0.14065612903225805,0.3114957661290323,15.175220000000019,8.776549999999972,True
50,5000,40.5524,63.725525000000005,81.7824,100.100525,123.91049000000001,1.0,1.852253705968429,2.9892556786310642,0.16478451612903228,0.3306258064516129,13.358715000000027,9.011200000000002,True
