filter_mode,atr_mult,fast_ema,slow_ema,trades,total_r,avg_r,pf,max_dd_r,win_rate_pct
ema200_price,2.0,10,50,175,17.390930076288704,0.09937674329307832,1.1358698844008843,-30.558632751451285,16.57142857142857
ema200_price,2.0,10,100,155,22.325140646233777,0.14403316545957276,1.1963934145873127,-24.934960991225132,17.419354838709676
ema200_price,2.0,10,150,195,65.32731608668753,0.3350118773676284,1.489393908246533,-27.020152712124602,18.461538461538463
ema200_price,2.0,10,200,182,63.03569206269273,0.3463499563884216,1.5191492218718925,-23.366366729720678,19.78021978021978
ema200_price,2.0,20,50,130,22.404962702105117,0.17234586693927012,1.2230078522801662,-27.408451898967286,17.692307692307693
ema200_price,2.0,20,100,135,68.19619405386639,0.5051569929916029,1.717252686981424,-11.564346965451357,22.22222222222222
ema200_price,2.0,20,150,137,18.707527840233173,0.13655129810389177,1.1819427508392881,-16.985870816445786,18.97810218978102
ema200_price,2.0,20,200,124,5.180757703890517,0.04178030406363321,1.053454070599827,-26.39877423159071,15.32258064516129
ema200_price,2.0,30,50,123,26.118339995445716,0.21234422760524974,1.2741019220471015,-18.873478104911626,18.69918699186992
ema200_price,2.0,30,100,116,66.46450087663119,0.5729698351433723,1.8279179910848717,-12.485243544169048,24.137931034482758
ema200_price,2.0,30,150,115,37.53076871512194,0.32635451056627773,1.4334719475437012,-19.85904828944355,18.26086956521739
ema200_price,2.0,30,200,109,8.487814501829057,0.07786985781494547,1.1001527607825288,-25.05837504574949,16.51376146788991
ema200_price,2.0,50,100,104,11.439162671766375,0.10999194876698438,1.1353843232678076,-21.151491175500283,16.346153846153847
ema200_price,2.0,50,150,89,17.02376249840489,0.19127823031915606,1.2377682244499062,-16.58443828076652,17.97752808988764
ema200_price,2.0,50,200,81,36.53000493555326,0.4509877152537439,1.607331073860554,-12.645056954843675,20.98765432098765
ema200_price,3.0,10,50,175,2.465105318100864,0.01408631610343351,1.0240674150463673,-29.34397079532296,18.285714285714285
ema200_price,3.0,10,100,154,32.25560690243977,0.20945199287298555,1.3604232214218932,-13.391699779804696,19.480519480519483
ema200_price,3.0,10,150,194,27.711991167227218,0.14284531529498565,1.2550303700791912,-25.25072977579473,16.49484536082474
ema200_price,3.0,10,200,181,23.176807457010714,0.1280486599834846,1.2297841737865702,-24.91755602460015,16.022099447513813
ema200_price,3.0,20,50,129,42.29475877635868,0.3278663471035556,1.5431091651951412,-11.454753283832446,24.8062015503876
ema200_price,3.0,20,100,135,50.09059629410581,0.3710414540304134,1.6534539743773766,-10.95695875620207,22.962962962962962
ema200_price,3.0,20,150,137,14.792142919240874,0.10797184612584579,1.1682741213362882,-19.153135070199,17.51824817518248
ema200_price,3.0,20,200,124,27.821371571775707,0.22436589977238472,1.3416053092028901,-15.904725309857657,16.93548387096774
ema200_price,3.0,30,50,122,25.933337750065018,0.21256834221364768,1.3302279112522395,-13.087820050431672,21.311475409836063
ema200_price,3.0,30,100,116,25.944262771560144,0.2236574376858633,1.35916792362508,-11.116662872539914,19.82758620689655
ema200_price,3.0,30,150,115,32.915770110431495,0.2862240879167956,1.4510394348048012,-13.616706412912542,19.130434782608695
ema200_price,3.0,30,200,109,17.502295109655886,0.16057151476748519,1.2353894716250338,-16.83692839265984,16.51376146788991
ema200_price,3.0,50,100,104,22.548914333969734,0.2168164839804782,1.3140218351540718,-17.25482439119615,20.192307692307693
ema200_price,3.0,50,150,89,22.942598806602803,0.25778200906295284,1.3518621484990827,-13.392178305242394,19.101123595505616
ema200_price,3.0,50,200,81,17.056112009761055,0.21056928407112413,1.3023524465567191,-14.579348214081344,17.28395061728395
ema50_slope,2.0,10,50,200,-59.18233210967898,-0.2959116605483949,0.5959991124927954,-80.91559301530997,11.0
ema50_slope,2.0,10,100,236,8.885541132707367,0.03765059801994647,1.0534335610639702,-41.97821151124636,18.64406779661017
ema50_slope,2.0,10,150,156,87.42012710819783,0.5603854301807554,1.872794949274517,-19.004524135170143,21.153846153846153
ema50_slope,2.0,10,200,121,85.85080848860483,0.7095108139554118,2.102644743034304,-17.59017114352519,24.793388429752067
ema50_slope,2.0,20,50,306,-93.51745891352743,-0.30561261082852104,0.6179207095470992,-130.33243221014254,11.76470588235294
ema50_slope,2.0,20,100,175,63.87068288787493,0.3649753307878567,1.5332303093047839,-10.792722029121856,20.57142857142857
ema50_slope,2.0,20,150,127,20.94672395017788,0.16493483425336913,1.2230498602712168,-14.204748167271811,18.89763779527559
ema50_slope,2.0,20,200,101,25.203341144567663,0.2495380311343333,1.3277536308341893,-17.138713721057883,18.81188118811881
ema50_slope,2.0,30,50,260,-32.0335134356587,-0.1232058209063796,0.8422782077555072,-64.31048859836355,14.23076923076923
ema50_slope,2.0,30,100,145,56.8346189454815,0.39196288927918277,1.5657869578456427,-18.75020269992966,21.379310344827587
ema50_slope,2.0,30,150,111,37.71693032765316,0.3397921651139924,1.4534255707204795,-18.169393117029752,18.01801801801802
ema50_slope,2.0,30,200,96,12.81089850132127,0.13344685938876324,1.1708344133478532,-19.299844060810297,17.708333333333336
ema50_slope,2.0,50,100,110,6.153521571349991,0.055941105194090825,1.0685402800374237,-27.437132275916667,15.454545454545453
ema50_slope,2.0,50,150,89,18.19991395002804,0.2044934151688544,1.2584407861694729,-17.126525822854063,17.97752808988764
ema50_slope,2.0,50,200,80,36.92121458838246,0.4615151823547808,1.6178537107164852,-12.25384730201447,21.25
ema50_slope,3.0,10,50,197,-52.99528621863372,-0.2690116051707296,0.5288427418691842,-64.83166592495726,10.152284263959391
ema50_slope,3.0,10,100,233,6.938119324658132,0.02977733615733104,1.0535588010244936,-23.75697806969281,18.4549356223176
ema50_slope,3.0,10,150,155,47.43196139061762,0.3060126541330169,1.5879511526362804,-13.983282639464498,19.35483870967742
ema50_slope,3.0,10,200,120,45.68440459368008,0.38070337161400064,1.706196855293491,-12.87486510021549,20.833333333333336
ema50_slope,3.0,20,50,299,-58.21582627360124,-0.19470176011237872,0.7023035869387414,-88.30443645270188,14.381270903010032
ema50_slope,3.0,20,100,171,43.01850184196008,0.25157018621029287,1.4668297397972807,-12.999249225505343,21.052631578947366
ema50_slope,3.0,20,150,127,15.095825250990694,0.11886476575583224,1.1877051799248193,-15.764005044386533,17.322834645669293
ema50_slope,3.0,20,200,101,40.89759772793177,0.4049267101775422,1.6262958209009055,-10.928050059724407,19.801980198019802
ema50_slope,3.0,30,50,253,-13.681675579955808,-0.05407776909073442,0.9159741264765914,-40.00093080771803,17.786561264822133
ema50_slope,3.0,30,100,143,15.626094529827778,0.10927338832047398,1.1834368617149136,-14.690688314893881,17.482517482517483
ema50_slope,3.0,30,150,111,31.309091873455788,0.28206389075185395,1.4491257139540314,-13.378311606352693,18.91891891891892
ema50_slope,3.0,30,200,96,22.57454564138886,0.2351515170978006,1.34381630994413,-13.664574402700369,17.708333333333336
ema50_slope,3.0,50,100,110,18.95917501989842,0.1723561365445311,1.2514593667905027,-20.757695811594793,19.090909090909093
ema50_slope,3.0,50,150,89,24.39336644101824,0.27408276900020495,1.3826254067111055,-13.392178305242394,19.101123595505616
ema50_slope,3.0,50,200,80,17.316918444980523,0.21646148056225653,1.308401575041185,-14.579348214081344,17.5
