block_size,p05_return_pct,p50_return_pct,p95_return_pct,p05_max_dd_pct,prob_positive,kill_pct
1,1531.82468526695,19017.49863559816,288010.7593514487,-33.47162837548059,0.9968,3.5999999999999996
5,-7.251070246495118,9833.93800089719,539133.328830525,-36.06489285227761,0.943,35.28
10,-30.5870507428053,3298.424030249016,358131.82950643514,-36.13148457580916,0.9034,49.94
20,-32.55471668341253,1320.8277117444368,107805.29844117395,-36.12237668142292,0.8822,56.64
50,-0.7592834603353342,824.0001089018203,19054.95009498942,-36.112711567417335,0.9474,52.78
