symbol,entry_time,exit_time,net_r,risk_pct,risk_amount,pnl_usdt,equity,peak_equity,dd_pct
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,-0.9999999999999998,0.02,200.0,-199.99999999999994,9800.0,10000.0,-2.0
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,-1.0,0.02,200.0,-200.0,9600.0,10000.0,-4.0
CELR/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,-0.9999999999999996,0.02,192.0,-191.99999999999991,9408.0,10000.0,-5.92
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-22 00:00:00+00:00,4.461423917746947,0.02,200.0,892.2847835493893,10300.284783549389,10300.284783549389,0.0
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-22 00:00:00+00:00,4.47519519359004,0.02,192.0,859.2374771692878,11159.522260718677,11159.522260718677,0.0
ETH/USDT,2020-12-27 00:00:00+00:00,2021-02-23 00:00:00+00:00,8.250409152535905,0.02,192.0,1584.0785572868938,12743.60081800557,12743.60081800557,0.0
ZRX/USDT,2021-01-05 00:00:00+00:00,2021-02-28 00:00:00+00:00,9.981313269635123,0.02,192.0,1916.4121477699437,14660.012965775513,14660.012965775513,0.0
ARDR/USDT,2021-03-14 00:00:00+00:00,2021-04-16 00:00:00+00:00,3.039693518540024,0.02,293.20025931551027,891.2389278756109,15551.251893651124,15551.251893651124,0.0
FET/USDT,2021-01-15 00:00:00+00:00,2021-04-20 00:00:00+00:00,15.918110996773388,0.02,188.16,2995.1517651528807,18546.403658804003,18546.403658804003,0.0
SC/USDT,2021-01-28 00:00:00+00:00,2021-04-22 00:00:00+00:00,24.888734839670704,0.02,206.00569567098776,5127.221135017114,23673.624793821116,23673.624793821116,0.0
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-22 00:00:00+00:00,2.758605371053245,0.02,293.20025931551027,808.823810141971,24482.448603963086,24482.448603963086,0.0
VET/USDT,2020-12-28 00:00:00+00:00,2021-04-23 00:00:00+00:00,37.53435003493119,0.02,192.0,7206.595206706788,31689.043810669875,31689.043810669875,0.0
ICX/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,15.411276499138804,0.02,192.0,2958.96508783465,34648.00889850452,34648.00889850452,0.0
ADA/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,25.541099613685585,0.02,192.0,4903.891125827632,39551.90002433216,39551.90002433216,0.0
VTHO/USDT,2021-03-14 00:00:00+00:00,2021-04-23 00:00:00+00:00,2.128980534894112,0.02,293.20025931551027,624.2176449086273,40176.11766924078,40176.11766924078,0.0
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,5.909426889112268,0.02,803.5223533848157,4748.356601095,44924.474270335784,44924.474270335784,0.0
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,0.02,803.5223533848157,-803.5223533848155,44120.951916950966,44924.474270335784,-1.7886071377253594
ADA/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,0.02,803.5223533848157,-803.5223533848157,43317.42956356615,44924.474270335784,-3.577214275450719
AVAX/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0000000000000002,0.02,803.5223533848157,-803.5223533848159,42513.90721018133,44924.474270335784,-5.365821413176079
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,0.02,850.2781442036267,-850.2781442036264,41663.6290659777,44924.474270335784,-7.258504984912562
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,-1.0000000000000004,0.02,833.272581319554,-833.2725813195543,40830.35648465814,44924.474270335784,-9.113334885214318
BTC/USDT,2021-07-30 00:00:00+00:00,2021-08-03 00:00:00+00:00,-0.9999999999999996,0.02,833.272581319554,-833.2725813195536,39997.08390333859,44924.474270335784,-10.968164785516057
MTL/USDT,2021-07-31 00:00:00+00:00,2021-09-07 00:00:00+00:00,2.598639761924757,0.02,833.272581319554,2165.3752623386736,42162.45916567727,44924.474270335784,-6.148130054984997
ADA/USDT,2021-08-06 00:00:00+00:00,2021-09-07 00:00:00+00:00,4.245110958816328,0.02,799.9416780667718,3395.841183975176,45558.30034965245,45558.30034965245,0.0
FET/USDT,2021-07-25 00:00:00+00:00,2021-09-20 00:00:00+00:00,4.030635459905082,0.02,833.272581319554,3358.6180140332353,48916.91836368568,48916.91836368568,0.0
ETH/USDT,2021-07-30 00:00:00+00:00,2021-09-20 00:00:00+00:00,1.6737335043877533,0.02,833.272581319554,1394.6762376422062,50311.59460132789,50311.59460132789,0.0
BTC/USDT,2021-08-06 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.0380253013974039,0.02,799.9416780667718,30.41802340883404,50342.01262473672,50342.01262473672,0.0
JST/USDT,2021-09-16 00:00:00+00:00,2021-09-20 00:00:00+00:00,-1.0000000000000002,0.02,911.166006993049,-911.1660069930492,49430.84661774367,50342.01262473672,-1.8099514887994934
HBAR/USDT,2021-07-30 00:00:00+00:00,2021-09-21 00:00:00+00:00,2.5967829292565856,0.02,833.272581319554,2163.8280145881877,51594.67463233186,51594.67463233186,0.0
AVAX/USDT,2021-09-16 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.464859735130692,0.02,911.166006993049,-423.564388670879,51171.11024366098,51594.67463233186,-0.8209459439161798
SOL/USDT,2021-07-31 00:00:00+00:00,2021-10-12 00:00:00+00:00,16.867663120382847,0.02,833.272581319554,14055.361189150057,65226.471432811035,65226.471432811035,0.0
VTHO/USDT,2021-10-05 00:00:00+00:00,2021-10-12 00:00:00+00:00,-1.0,0.02,1031.8934926466372,-1031.8934926466372,64194.577940164396,65226.471432811035,-1.582016426734933
JST/USDT,2021-10-09 00:00:00+00:00,2021-10-12 00:00:00+00:00,-0.9999999999999998,0.02,1023.4222048732196,-1023.4222048732194,63171.15573529118,65226.471432811035,-3.1510453537824947
TRX/USDT,2021-08-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,3.768983457653391,0.02,799.9416780667718,3014.966951721158,66186.12268701234,66186.12268701234,0.0
QTUM/USDT,2021-10-02 00:00:00+00:00,2021-10-27 00:00:00+00:00,-0.9999999999999998,0.02,1031.8934926466372,-1031.893492646637,65154.2291943657,66186.12268701234,-1.5590783245097495
BTC/USDT,2021-10-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,1.3451952716084357,0.02,1031.8934926466372,1388.0982471117704,66542.32744147746,66542.32744147746,0.0
VET/USDT,2021-10-09 00:00:00+00:00,2021-11-16 00:00:00+00:00,1.2800305698336896,0.02,1023.4222048732196,1310.0117080843183,67852.33914956178,67852.33914956178,0.0
ETH/USDT,2021-10-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.963698910528862,0.02,1263.4231147058235,1217.5594791789836,69069.89862874076,69069.89862874076,0.0
NEAR/USDT,2021-10-21 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.1262452723261582,0.02,1263.4231147058235,159.5011951791997,69229.39982391996,69229.39982391996,0.0
ZRX/USDT,2021-10-30 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.222898294643098,0.02,1330.8465488295494,-296.643426165759,68932.7563977542,69229.39982391996,-0.42849342464364465
SC/USDT,2021-10-31 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.6548593894127679,0.02,1330.8465488295494,-871.5173583686081,68061.23903938559,69229.39982391996,-1.6873767322922075
ZEC/USDT,2021-10-17 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.6370332445752463,0.02,1263.4231147058235,804.8425260324144,68866.081565418,69229.39982391996,-0.5248034208385847
SOL/USDT,2021-10-21 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.1590319725705694,0.02,1263.4231147058235,200.92467012291988,69067.00623554092,69229.39982391996,-0.234573156479872
HBAR/USDT,2021-10-30 00:00:00+00:00,2021-11-18 00:00:00+00:00,-1.0,0.02,1330.8465488295494,-1330.8465488295494,67736.15968671137,69229.39982391996,-2.1569450854789114
CELR/USDT,2021-11-21 00:00:00+00:00,2021-11-26 00:00:00+00:00,-0.9999999999999998,0.02,1354.7231937342274,-1354.7231937342272,66381.43649297714,69229.39982391996,-4.113806183769336
SC/USDT,2021-11-26 00:00:00+00:00,2021-11-28 00:00:00+00:00,-0.9999999999999998,0.02,1327.6287298595428,-1327.6287298595425,65053.8077631176,69229.39982391996,-6.031530060093948
ZEC/USDT,2021-11-21 00:00:00+00:00,2021-12-04 00:00:00+00:00,-1.0000000000000004,0.02,1354.7231937342274,-1354.723193734228,63699.08456938337,69229.39982391996,-7.988391158384372
NEAR/USDT,2021-12-11 00:00:00+00:00,2021-12-13 00:00:00+00:00,-1.0000000000000004,0.02,1273.9816913876673,-1273.9816913876678,62425.1028779957,69229.39982391996,-9.82862333521669
ICX/USDT,2021-12-28 00:00:00+00:00,2021-12-29 00:00:00+00:00,-1.0000000000000004,0.02,1248.502057559914,-1248.5020575599144,61176.600820435786,69229.39982391996,-11.632050868512355
DUSK/USDT,2021-12-13 00:00:00+00:00,2022-01-08 00:00:00+00:00,1.028531812515623,0.02,1248.502057559914,1284.124084191583,62460.72490462737,69229.39982391996,-9.777168278951178
CELR/USDT,2022-01-15 00:00:00+00:00,2022-01-18 00:00:00+00:00,-1.0000000000000002,0.02,1249.2144980925475,-1249.2144980925477,61211.51040653483,69229.39982391996,-11.581624913372151
NEAR/USDT,2022-01-11 00:00:00+00:00,2022-01-21 00:00:00+00:00,-1.0,0.02,1249.2144980925475,-1249.2144980925475,59962.295908442284,69229.39982391996,-13.386081547793122
JST/USDT,2022-03-26 00:00:00+00:00,2022-04-03 00:00:00+00:00,2.524699997390103,0.02,1199.2459181688457,3027.7361664709765,62990.03207491326,69229.39982391996,-9.012598353988457
ZEC/USDT,2022-03-08 00:00:00+00:00,2022-04-06 00:00:00+00:00,1.025675623285616,0.02,1199.2459181688457,1230.0373045905615,64220.06937950382,69229.39982391996,-7.235842658114927
ETC/USDT,2022-03-20 00:00:00+00:00,2022-04-06 00:00:00+00:00,0.0585307424124955,0.02,1199.2459181688457,70.19275392557736,64290.262133429394,69229.39982391996,-7.1344511191096665
IOST/USDT,2022-03-26 00:00:00+00:00,2022-04-06 00:00:00+00:00,0.323674769170202,0.02,1199.2459181688457,388.1656457416081,64678.427779171005,69229.39982391996,-6.573756317870768
ARDR/USDT,2022-03-27 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.903624673066283,0.02,1199.2459181688457,-1083.6682007313975,63594.75957843961,69229.39982391996,-8.139085792758067
BTC/USDT,2022-03-27 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9839294528459828,0.02,1199.2459181688457,-1179.9733800916506,62414.78619834796,69229.39982391996,-9.843525500588596
ZRX/USDT,2022-04-03 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9999999999999996,0.02,1259.8006414982651,-1259.8006414982647,61154.98555684969,69229.39982391996,-11.663273533508828
ETH/USDT,2022-03-27 00:00:00+00:00,2022-04-11 00:00:00+00:00,-1.0000000000000009,0.02,1199.2459181688457,-1199.2459181688469,59955.73963868085,69229.39982391996,-13.395551902552969
MTL/USDT,2022-04-12 00:00:00+00:00,2022-04-15 00:00:00+00:00,-0.9999999999999996,0.02,1199.114792773617,-1199.1147927736165,58756.62484590723,69229.39982391996,-15.127640864501906
ZRX/USDT,2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,-0.9999999999999998,0.02,1175.1324969181446,-1175.1324969181444,57581.492348989086,69229.39982391996,-16.82508804721187
NEAR/USDT,2022-03-23 00:00:00+00:00,2022-04-25 00:00:00+00:00,0.9763852242795618,0.02,1199.2459181688457,1170.9259947776375,58752.41834376672,69229.39982391996,-15.133717043338073
