symbol,trades,total_r,avg_r,win_rate_pct,profit_factor,avg_mfe_r
XRP/USDT,7,22.496527110140974,3.2137895871629962,85.71428571428571,23.496527110140995,4.958614488870774
AMP/USDT,4,11.011639281230842,2.7529098203077105,75.0,12.011639281230838,4.5748918503767095
ALGO/USDT,6,10.259287874142549,1.7098813123570915,66.66666666666666,6.129643937071273,3.726974847896358
ADA/USDT,6,9.779643730054246,1.6299406216757077,50.0,4.259881243351416,3.286408301543279
ARDR/USDT,5,8.396170547738489,1.6792341095476977,60.0,5.198085273869245,3.137948115401599
ASR/USDT,6,7.358344326388588,1.2263907210647647,16.666666666666664,2.644578854608021,3.3082005893367046
DOT/USDT,4,6.052161846206794,1.5130404615516986,50.0,4.026080923103397,3.832951920095604
1INCH/USDT,3,5.721613345652633,1.9072044485508777,66.66666666666666,6.721613345652633,3.752565462261954
DOGE/USDT,8,5.699267782627198,0.7124084728283997,12.5,1.9728634783742574,2.663474640088943
SUI/USDT,5,3.9050091940740543,0.7810018388148109,80.0,4.9050091940740534,2.281067211213256
BTC/USDT,5,3.785245458758752,0.7570490917517504,60.0,4.351669309648753,1.8914043845890611
AAVE/USDT,4,3.557345480552036,0.889336370138009,50.0,3.2485493719726213,2.672451958334361
ETH/USDT,5,3.454589515418718,0.6909179030837436,60.0,2.727294757709358,2.0909430945733964
ATOM/USDT,2,3.2052104965074557,1.6026052482537279,50.0,4.205210496507457,3.094396452260599
ARB/USDT,1,2.8916877570389103,2.8916877570389103,100.0,inf,4.66743119266055
ALCX/USDT,3,2.762658227848103,0.9208860759493677,33.33333333333333,2.381329113924052,5.162602823297384
ANKR/USDT,2,2.0432983217262266,1.0216491608631133,50.0,3.043298321726228,2.6013474340705245
ICP/USDT,6,1.9958227303976628,0.3326371217329438,33.33333333333333,1.4989556825994157,2.333880669398972
LTC/USDT,4,1.8532758614724538,0.46331896536811346,50.0,1.9266379307362271,2.4432403227302384
AWE/USDT,2,1.3104918222943995,0.6552459111471998,50.0,2.3104918222944004,2.2031711878750286
AUCTION/USDT,7,1.2344807188836882,0.17635438841195544,28.57142857142857,1.2468961437767376,3.068195229186194
AUDIO/USDT,2,1.1283017339167074,0.5641508669583537,50.0,2.128301733916707,2.781755977334751
AVAX/USDT,4,1.0223531578787801,0.25558828946969503,25.0,1.6816567552324009,2.1036806554327443
LINK/USDT,6,1.013203771835479,0.16886729530591316,50.0,1.3377345906118263,1.777112033177323
ACH/USDT,6,1.000881273989331,0.16681354566488849,33.33333333333333,1.3070341781060417,1.4381956344560132
UNI/USDT,5,0.7207864703936487,0.14415729407872974,20.0,1.1801966175984122,1.856162871057452
AXS/USDT,7,0.3313411862721931,0.047334455181741876,28.57142857142857,1.0662682372544388,1.5716278818709497
NEAR/USDT,4,-0.7317750535908918,-0.18294376339772295,25.0,0.7438369513371879,1.4834485377505646
ASTR/USDT,1,-1.0000000000000004,-1.0000000000000004,0.0,0.0,2.2062691801841297
ALT/USDT,1,-1.0000000000000007,-1.0000000000000007,0.0,0.0,1.8425726342633362
SOL/USDT,5,-1.0149600183791274,-0.20299200367582548,40.0,0.6616799938736242,1.3785161574731304
ADX/USDT,4,-1.1920708720784132,-0.2980177180196033,25.0,0.602643042640529,1.8890440134890256
ARKM/USDT,2,-1.6707317073170738,-0.8353658536585369,0.0,0.0,1.0539139543917724
ATA/USDT,3,-1.7555555555555555,-0.5851851851851851,33.33333333333333,0.12222222222222197,0.8800662222768109
ACM/USDT,3,-1.984118041960668,-0.661372680653556,0.0,0.0,1.4687482646678374
AI/USDT,2,-1.9999999999999993,-0.9999999999999997,0.0,0.0,0.952080436596218
BCH/USDT,2,-1.9999999999999996,-0.9999999999999998,0.0,0.0,0.6220022844722892
ARK/USDT,2,-2.0,-1.0,0.0,0.0,0.06408264719589848
AXL/USDT,2,-2.000000000000001,-1.0000000000000004,0.0,0.0,0.14787090669469496
APE/USDT,2,-2.000000000000001,-1.0000000000000004,0.0,0.0,1.683801309833465
BNB/USDT,7,-2.0020620498171047,-0.2860088642595864,28.57142857142857,0.5995875900365789,1.4653235460721337
ATM/USDT,9,-2.0798908192501795,-0.2310989799166866,22.22222222222222,0.6762566700476331,1.594824978111716
AR/USDT,3,-3.0,-1.0,0.0,0.0,0.5851731456931798
API3/USDT,3,-3.0,-1.0,0.0,0.0,0.9655245596995806
ARPA/USDT,3,-3.0,-1.0,0.0,0.0,0.7879388959839203
APT/USDT,3,-3.0000000000000004,-1.0000000000000002,0.0,0.0,0.43483562017462046
TRX/USDT,10,-5.074670969037558,-0.5074670969037558,10.0,0.3675358952216631,1.0543610970835386
AVA/USDT,6,-5.602547770700639,-0.9337579617834398,0.0,0.0,2.033812854931089
AGLD/USDT,6,-5.615828492815652,-0.9359714154692753,0.0,0.0,0.5423692203587158
ALICE/USDT,6,-6.0,-1.0,0.0,0.0,0.20966566698718467
ALPINE/USDT,10,-6.376774712027859,-0.637677471202786,10.0,0.29146947644134913,2.0820518151666443
