symbol,trades,total_r,avg_r,win_rate_pct,profit_factor,avg_mfe_r
XRP/USDT,12,21.30427179580076,1.7753559829833965,58.333333333333336,6.860584923873379,3.0691612849145353
ADA/USDT,7,9.398353171787864,1.3426218816839806,42.857142857142854,3.668976412592082,2.661682214024783
ALGO/USDT,8,9.379209657578611,1.1724012071973264,50.0,4.090979821473465,2.747888602224755
AMP/USDT,5,9.24643109767603,1.849286219535206,60.0,6.994390144253959,3.451737903313267
ARDR/USDT,8,7.830130788013169,0.9787663485016461,37.5,2.648685153019778,2.3182657367506048
ASR/USDT,8,6.005216780047904,0.750652097505988,12.5,2.0839763591383837,2.6737179388499626
SUI/USDT,5,5.199710068656274,1.0399420137312547,80.0,6.199710068656272,2.3533393771704243
1INCH/USDT,5,4.914366273755482,0.9828732547510963,60.0,3.45718313687774,2.771841435727181
DOGE/USDT,9,4.447366714011811,0.4941518571124235,11.11111111111111,1.7886194102241544,2.1910891898096496
ANKR/USDT,2,3.6085135595696007,1.8042567797848004,100.0,inf,3.2885066505301186
LINK/USDT,8,3.5310817217326513,0.4413852152165814,37.5,2.0257785349488633,1.7157538376687078
ATOM/USDT,2,3.276014634561387,1.6380073172806935,50.0,4.276014634561386,3.043464712356947
ETH/USDT,5,2.9018003956463194,0.5803600791292639,60.0,2.4509001978231595,1.7535856907252065
DOT/USDT,4,2.8646071453249795,0.7161517863312449,25.0,2.134715657836498,2.9045917654070137
TRX/USDT,14,2.5026619124133864,0.17876156517238476,50.0,1.4205165640109112,1.6705292157265172
AVAX/USDT,5,2.4267399759786126,0.4853479951957225,40.0,2.329658671643111,1.7785872830880909
BTC/USDT,7,1.9745485367900104,0.2820783623985729,71.42857142857143,2.5666591475767477,1.3723177246895055
ACH/USDT,6,1.8330200008929858,0.3055033334821643,33.33333333333333,1.594782379471914,1.5102049282198455
ICP/USDT,6,1.6538286458503995,0.27563810764173324,33.33333333333333,1.4134571614626,2.2602552531440554
UNI/USDT,7,1.5166501051234373,0.2166643007319196,42.857142857142854,1.4143180788099106,1.6453316898796098
ASTR/USDT,1,1.3813116656993607,1.3813116656993607,100.0,inf,2.124201973302379
ARB/USDT,3,1.2811477607937785,0.42704925359792617,33.33333333333333,1.6405738803968895,1.7104600239225582
LTC/USDT,7,1.018756686245607,0.14553666946365815,28.57142857142857,1.3057545397837351,1.6649412869643647
SOL/USDT,8,0.9764965588604653,0.12206206985755816,37.5,1.2601094596135165,1.3443014651406906
API3/USDT,3,0.6877693412981711,0.2292564470993904,66.66666666666666,1.687769341298171,1.8685931109004421
AUDIO/USDT,3,0.5475946769244944,0.18253155897483145,33.33333333333333,1.3313407645666595,2.012248434215008
AAVE/USDT,8,0.24453017204738092,0.030566271505922615,25.0,1.0577660971598355,1.4890952248856817
AWE/USDT,3,0.20958502165711845,0.06986167388570615,33.33333333333333,1.1047925108285592,2.2584038912489377
AUCTION/USDT,8,0.06062695391532147,0.007578369239415184,37.5,1.0121253907830643,2.4614251368060414
AI/USDT,2,0.0057616496512686854,0.0028808248256343427,50.0,1.0057616496512687,0.8679953997821573
ALICE/USDT,7,-0.07127019322141237,-0.010181456174487482,14.285714285714285,0.988121634463098,1.3829704203338422
NEAR/USDT,6,-0.25995498018700425,-0.04332583003116738,33.33333333333333,0.9104040490862991,1.5554210195162597
AXS/USDT,8,-0.766459891364516,-0.0958074864205645,25.0,0.8677218056773051,1.2667270650437863
1000CHEEMS/USDT,1,-0.9369676320272572,-0.9369676320272572,0.0,0.0,0.37478705281090213
ALT/USDT,1,-0.9999999999999997,-0.9999999999999997,0.0,0.0,1.7865743832594667
ARKM/USDT,3,-1.539305745075852,-0.513101915025284,0.0,0.0,1.1056623703806892
ALCX/USDT,4,-1.6667539267015703,-0.4166884816753926,25.0,0.4444153577661434,2.601229885774504
ATA/USDT,3,-1.7722239797532433,-0.5907413265844145,33.33333333333333,0.11388801012337837,0.818517995786124
1000SATS/USDT,2,-1.9297036987492477,-0.9648518493746239,0.0,0.0,0.4362367712658404
APE/USDT,2,-1.9999999999999998,-0.9999999999999999,0.0,0.0,2.342288289429246
AR/USDT,3,-2.1651998709103433,-0.7217332903034478,0.0,0.0,0.7733439355605531
ACM/USDT,4,-2.8661710037174712,-0.7165427509293678,25.0,0.04460966542750934,1.1595624259131019
AXL/USDT,3,-3.0000000000000004,-1.0000000000000002,0.0,0.0,0.5605247896879287
ARPA/USDT,3,-3.0000000000000013,-1.0000000000000004,0.0,0.0,0.792068379586453
APT/USDT,3,-3.0000000000000018,-1.0000000000000007,0.0,0.0,0.47848321372887015
ADX/USDT,7,-3.412851999520682,-0.4875502856458117,28.57142857142857,0.28886406746194687,1.36146001456312
BNB/USDT,12,-3.5334834617793267,-0.29445695514827724,25.0,0.5192911704408218,1.2418187541306842
AGLD/USDT,8,-4.120815858464091,-0.5151019823080114,12.5,0.29363083656407696,0.9371270610284785
ARK/USDT,6,-4.538684082998367,-0.7564473471663945,0.0,0.0,0.3115019881874387
BCH/USDT,10,-4.5538457448399825,-0.4553845744839983,10.0,0.2664501400168096,0.6168791189147779
ATM/USDT,10,-6.262743943671764,-0.6262743943671765,10.0,0.19816289162461667,1.7771310505540356
ALPINE/USDT,11,-6.4680658524275,-0.5880059865843182,9.090909090909092,0.2662757361298179,2.0184851587602837
AVA/USDT,9,-6.857815184244574,-0.7619794649160637,0.0,0.0,1.2958410508712754
