trade_id,symbol,config,linreg_n,linreg_mult,stop_mult,chan_activate_r,chan_atr_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mfe_r,mae_r,chan_activated
0,1000CHEEMS/USDT,A,40,2.5,2.0,2.5,2.0,2025-11-30 00:00:00+00:00,2025-12-04 00:00:00+00:00,0.001273,0.001108,0.0010969,0.0001761,midline_exit,4,-0.9369676320272572,0.37478705281090213,-0.9653605905735378,False
1,1000SATS/USDT,A,40,2.5,2.0,2.5,2.0,2024-08-23 00:00:00+00:00,2024-08-27 00:00:00+00:00,0.0003899,0.0003204,0.00031514499999999997,7.4755e-05,midline_exit,4,-0.9297036987492476,0.5069894990301652,-0.9604708715136113,False
2,1000SATS/USDT,A,40,2.5,2.0,2.5,2.0,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.000316,0.00025990999999999997,0.00025990999999999997,5.609e-05,initial_stop,6,-1.0000000000000002,0.3654840435015156,-1.7864146906756997,False
4,1INCH/USDT,A,40,2.5,2.0,2.5,2.0,2024-05-28 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.4595,0.4606,0.40958,0.049920000000000006,midline_exit,10,0.022035256410256204,1.5164262820512817,-0.8774038461538461,False
5,1INCH/USDT,A,40,2.5,2.0,2.5,2.0,2024-11-18 00:00:00+00:00,2024-12-05 00:00:00+00:00,0.3331,0.49339000000000005,0.296595,0.036504999999999996,chandelier_stop,17,4.390905355430765,5.941651828516643,-0.6273113272154509,True
6,1INCH/USDT,A,40,2.5,2.0,2.5,2.0,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5469,0.488675,0.488675,0.058225000000000006,initial_stop,3,-1.0000000000000004,1.4753112924001712,-2.4233576642335772,False
7,1INCH/USDT,A,40,2.5,2.0,2.5,2.0,2025-07-11 00:00:00+00:00,2025-07-14 00:00:00+00:00,0.2955,0.35691,0.27094999999999997,0.02455,chandelier_stop,3,2.5014256619144613,3.914460285132384,-0.9002036659877805,True
8,1INCH/USDT,A,40,2.5,2.0,2.5,2.0,2025-07-15 00:00:00+00:00,2025-07-22 00:00:00+00:00,0.3403,0.30332,0.30332,0.03698,initial_stop,7,-1.0000000000000004,1.0113574905354243,-1.2033531638723631,False
28,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2024-05-25 00:00:00+00:00,2024-06-03 00:00:00+00:00,105.19,101.07,93.728,11.462000000000002,midline_exit,9,-0.3594486128075383,0.8314430291397662,-0.4510556621880999,False
29,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2024-07-14 00:00:00+00:00,2024-07-22 00:00:00+00:00,104.4,94.09,91.938,12.462000000000002,midline_exit,8,-0.8273150377146526,0.19419033862943244,-0.8802760391590433,False
30,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2024-08-20 00:00:00+00:00,2024-08-27 00:00:00+00:00,128.89,119.98,112.52849999999998,16.3615,midline_exit,7,-0.5445710967820788,1.2150475200929025,-0.7175381230327281,False
31,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2024-11-06 00:00:00+00:00,2024-11-14 00:00:00+00:00,173.71,155.88600000000002,155.88600000000002,17.82399999999999,initial_stop,8,-0.9999999999999996,1.4463644524236992,-1.0143626570915631,False
32,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2024-12-02 00:00:00+00:00,2024-12-18 00:00:00+00:00,235.39,349.035,205.5775,29.8125,chandelier_stop,16,3.8119916142557666,5.516477987421385,-0.48100628930817524,True
33,AAVE/USDT,A,40,2.5,2.0,2.5,2.0,2025-01-21 00:00:00+00:00,2025-01-26 00:00:00+00:00,370.8,316.56,299.9645,70.83550000000001,midline_exit,5,-0.7657177545157442,0.02258754438099492,-0.7765880102490981,False
