exit_time,net_r,exit_reason,chan_activated,equity_r
2024-05-14 00:00:00+00:00,-0.746978235796067,midline_exit,False,-0.746978235796067
2024-05-25 00:00:00+00:00,-0.7173012274255335,midline_exit,False,-1.4642794632216005
2024-05-26 00:00:00+00:00,-0.7233037386983798,midline_exit,False,-2.1875832019199803
2024-05-28 00:00:00+00:00,-0.6327006327006327,midline_exit,False,-2.820283834620613
2024-05-29 00:00:00+00:00,0.24146815416607348,midline_exit,False,-2.5788156804545395
2024-05-30 00:00:00+00:00,-0.7943026459427149,midline_exit,False,-3.3731183263972544
2024-05-31 00:00:00+00:00,0.48301017469763957,midline_exit,False,-2.8901081516996148
2024-06-02 00:00:00+00:00,-0.6526631657914487,midline_exit,False,-3.5427713174910633
2024-06-03 00:00:00+00:00,-1.0000000000000002,initial_stop,False,-4.542771317491064
2024-06-03 00:00:00+00:00,0.6749384444551729,midline_exit,False,-3.8678328730358906
2024-06-03 00:00:00+00:00,-0.3594486128075383,midline_exit,False,-4.227281485843429
2024-06-03 00:00:00+00:00,0.3255376024068996,midline_exit,False,-3.9017438834365294
2024-06-04 00:00:00+00:00,5.928729806778587,chandelier_stop,True,2.0269859233420573
2024-06-05 00:00:00+00:00,1.7129833385727757,chandelier_stop,True,3.7399692619148333
2024-06-06 00:00:00+00:00,-1.0,initial_stop,False,2.7399692619148333
2024-06-07 00:00:00+00:00,-0.9999999999999998,initial_stop,False,1.7399692619148335
2024-06-07 00:00:00+00:00,0.7445640237206236,midline_exit,False,2.484533285635457
2024-06-07 00:00:00+00:00,0.022035256410256204,midline_exit,False,2.5065685420457133
2024-06-08 00:00:00+00:00,-0.4874464176362529,midline_exit,False,2.0191221244094604
2024-06-10 00:00:00+00:00,-0.9999999999999997,initial_stop,False,1.0191221244094608
2024-06-13 00:00:00+00:00,-0.7961608775137119,midline_exit,False,0.22296124689574892
2024-07-04 00:00:00+00:00,-1.0000000000000004,initial_stop,False,-0.7770387531042515
2024-07-05 00:00:00+00:00,-1.0000000000000004,initial_stop,False,-1.777038753104252
2024-07-16 00:00:00+00:00,-0.06131549609810423,midline_exit,False,-1.8383542492023561
2024-07-22 00:00:00+00:00,-0.8273150377146526,midline_exit,False,-2.6656692869170087
2024-07-23 00:00:00+00:00,-0.8069620253164559,midline_exit,False,-3.4726313122334647
2024-07-24 00:00:00+00:00,-0.9999999999999996,initial_stop,False,-4.472631312233464
