trade_id,symbol,config,linreg_n,linreg_mult,stop_mult,chan_activate_r,chan_atr_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mfe_r,mae_r,chan_activated
0,1INCH/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-23 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.377,0.5587636363636364,0.3375345454545455,0.03946545454545454,chandelier_stop,16,4.6056389938265925,6.481617985810376,-0.44342578089007695,True
1,1INCH/USDT,B,55,3.0,2.0,3.0,2.5,2025-07-11 00:00:00+00:00,2025-07-14 00:00:00+00:00,0.2955,0.3507,0.26941272727272725,0.02608727272727272,chandelier_stop,3,2.1159743518260403,3.683788681349319,-0.847156398104266,True
2,1INCH/USDT,B,55,3.0,2.0,3.0,2.5,2025-07-15 00:00:00+00:00,2025-07-22 00:00:00+00:00,0.3403,0.30606,0.30606,0.03423999999999999,initial_stop,7,-1.0,1.092289719626168,-1.2996495327102802,False
9,AAVE/USDT,B,55,3.0,2.0,3.0,2.5,2024-08-20 00:00:00+00:00,2024-08-27 00:00:00+00:00,128.89,119.98,113.58236363636362,15.307636363636364,midline_exit,7,-0.5820624287343203,1.2986982136069951,-0.7669374762447726,False
10,AAVE/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-07 00:00:00+00:00,2024-11-14 00:00:00+00:00,183.4,164.1149090909091,164.1149090909091,19.285090909090908,initial_stop,7,-1.0000000000000002,0.8343232643210019,-1.4399724704906294,False
11,AAVE/USDT,B,55,3.0,2.0,3.0,2.5,2024-12-02 00:00:00+00:00,2024-12-18 00:00:00+00:00,235.39,345.88772727272726,209.53872727272727,25.851272727272725,chandelier_stop,16,4.274363140200588,6.361775752204922,-0.5547115668650031,True
12,AAVE/USDT,B,55,3.0,2.0,3.0,2.5,2025-05-10 00:00:00+00:00,2025-05-29 00:00:00+00:00,228.64,250.0,203.94763636363635,24.692363636363634,midline_exit,19,0.8650447690857688,2.1950106032045236,-0.7431447337417529,False
23,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-11 00:00:00+00:00,2024-11-15 00:00:00+00:00,0.02364,0.020659272727272728,0.020659272727272728,0.0029807272727272725,initial_stop,4,-1.0000000000000004,0.28852019031352927,-1.1540807612541182,False
24,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-23 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.02625,0.034445,0.02276818181818182,0.0034818181818181814,chandelier_stop,16,2.3536553524804193,3.8657963446475208,-0.36187989556135797,True
25,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2025-01-27 00:00:00+00:00,2025-01-28 00:00:00+00:00,0.03857,0.033322000000000004,0.033322000000000004,0.005247999999999999,initial_stop,1,-0.9999999999999993,0.01524390243902377,-1.7740091463414636,False
26,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2025-01-29 00:00:00+00:00,2025-02-02 00:00:00+00:00,0.03761,0.049397727272727274,0.03142890909090909,0.006181090909090909,chandelier_stop,4,1.9070625955994829,3.39422284974703,-0.21517237322037855,True
27,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2025-04-14 00:00:00+00:00,2025-05-03 00:00:00+00:00,0.02741,0.02601,0.022022,0.005388000000000001,midline_exit,19,-0.25983667409057193,0.5753526354862654,-0.7201187824795844,False
28,ACH/USDT,B,55,3.0,2.0,3.0,2.5,2025-07-20 00:00:00+00:00,2025-07-22 00:00:00+00:00,0.02702,0.024428363636363637,0.024428363636363637,0.0025916363636363632,initial_stop,2,-0.9999999999999994,0.4900378841027082,-1.0688227865862208,False
36,ACM/USDT,B,55,3.0,2.0,3.0,2.5,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,1.953,1.7639818181818183,1.7639818181818183,0.18901818181818178,initial_stop,6,-0.9999999999999999,1.3596575606002306,-1.3384955752212397,False
37,ACM/USDT,B,55,3.0,2.0,3.0,2.5,2025-07-27 00:00:00+00:00,2025-08-06 00:00:00+00:00,0.996,0.89,0.8748,0.1212,midline_exit,10,-0.8745874587458744,1.27062706270627,-0.9735973597359735,False
38,ACM/USDT,B,55,3.0,2.0,3.0,2.5,2025-08-08 00:00:00+00:00,2025-08-18 00:00:00+00:00,1.07,1.056,0.9421818181818182,0.12781818181818183,midline_exit,10,-0.10953058321479382,1.7759601706970116,-0.641536273115221,False
84,ADA/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-07 00:00:00+00:00,2024-11-11 00:00:00+00:00,0.4065,0.6031590909090909,0.3714309090909091,0.035069090909090904,chandelier_stop,4,5.607761302364167,7.225736209041894,-0.07699087515553657,True
85,ADA/USDT,B,55,3.0,2.0,3.0,2.5,2024-11-12 00:00:00+00:00,2024-11-13 00:00:00+00:00,0.5709,0.5235945454545454,0.5235945454545454,0.047305454545454546,initial_stop,1,-0.9999999999999999,0.822315320162965,-1.0928972249980775,False
