timeframe,filter_mode,bb_n,std_mult,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
4h,none,10,1.5,10,2.0,2580,0.4159,-0.0851,0.7967,220.33,-219.54
4h,none,10,1.5,10,3.0,2381,0.4473,-0.0699,0.7662,166.82,-166.41
4h,none,10,1.5,10,4.0,2266,0.4515,-0.0622,0.7374,141.7,-140.9
4h,none,10,1.5,15,2.0,2304,0.3937,-0.0629,0.8737,144.82,-144.92
4h,none,10,1.5,15,3.0,2055,0.4331,-0.0496,0.8607,101.59,-101.92
4h,none,10,1.5,15,4.0,1925,0.4296,-0.0582,0.7941,112.63,-112.12
4h,none,10,1.5,20,2.0,2068,0.3549,-0.0811,0.8538,168.64,-167.79
4h,none,10,1.5,20,3.0,1805,0.415,-0.0455,0.885,89.69,-82.09
4h,none,10,1.5,20,4.0,1684,0.4335,-0.0477,0.8466,84.35,-80.41
4h,none,10,1.5,25,2.0,1905,0.3459,-0.0478,0.9185,93.69,-91.03
4h,none,10,1.5,25,3.0,1600,0.4188,-0.0133,0.9697,62.87,-21.22
4h,none,10,1.5,25,4.0,1464,0.4214,-0.064,0.8209,95.88,-93.75
4h,none,10,2.0,10,2.0,1548,0.3863,-0.1656,0.6327,257.36,-256.32
4h,none,10,2.0,10,3.0,1487,0.4277,-0.1204,0.6309,179.93,-178.97
4h,none,10,2.0,10,4.0,1463,0.4334,-0.096,0.6181,141.16,-140.43
4h,none,10,2.0,15,2.0,1446,0.3721,-0.0979,0.811,146.62,-141.6
4h,none,10,2.0,15,3.0,1372,0.4184,-0.0684,0.8178,95.81,-93.86
4h,none,10,2.0,15,4.0,1326,0.4253,-0.0543,0.8129,73.26,-72.05
4h,none,10,2.0,20,2.0,1347,0.3467,-0.0839,0.8505,116.54,-112.96
4h,none,10,2.0,20,3.0,1268,0.4132,-0.052,0.8705,66.67,-65.91
4h,none,10,2.0,20,4.0,1220,0.4336,-0.0394,0.8749,48.24,-48.05
4h,none,10,2.0,25,2.0,1282,0.351,-0.0408,0.9299,74.45,-52.29
4h,none,10,2.0,25,3.0,1156,0.4265,-0.022,0.9496,49.14,-25.41
4h,none,10,2.0,25,4.0,1097,0.4585,0.0034,1.01,30.75,3.75
4h,none,10,2.5,10,2.0,442,0.3846,-0.1253,0.7139,59.31,-55.39
4h,none,10,2.5,10,3.0,440,0.4318,-0.06,0.7905,31.71,-26.4
4h,none,10,2.5,10,4.0,440,0.4364,-0.0437,0.7985,23.1,-19.24
4h,none,10,2.5,15,2.0,438,0.4132,0.0487,1.1013,11.04,21.32
4h,none,10,2.5,15,3.0,435,0.4759,0.0801,1.26,6.9,34.84
4h,none,10,2.5,15,4.0,431,0.4988,0.0733,1.3123,6.32,31.61
4h,none,10,2.5,20,2.0,417,0.3957,0.0587,1.1156,14.21,24.49
4h,none,10,2.5,20,3.0,409,0.4572,0.0739,1.2133,11.47,30.21
4h,none,10,2.5,20,4.0,406,0.4754,0.0581,1.2103,7.83,23.6
4h,none,10,2.5,25,2.0,406,0.3571,-0.0106,0.9816,23.78,-4.31
