timeframe,filter_mode,bb_n,std_mult,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,none,10,1.5,10,2.0,3636,0.4681,0.0179,1.0497,42.32,64.99
1d,none,10,1.5,10,3.0,3381,0.493,0.0137,1.055,29.64,46.36
1d,none,10,1.5,10,4.0,3282,0.4979,0.011,1.058,21.06,36.13
1d,none,10,1.5,15,2.0,3170,0.4196,0.0081,1.0185,66.61,25.62
1d,none,10,1.5,15,3.0,2844,0.4455,0.0032,1.0105,58.83,9.11
1d,none,10,1.5,15,4.0,2721,0.4524,0.0028,1.0122,39.57,7.68
1d,none,10,1.5,20,2.0,2872,0.4157,0.0889,1.1873,36.59,255.4
1d,none,10,1.5,20,3.0,2526,0.4636,0.0548,1.1579,35.76,138.46
1d,none,10,1.5,20,4.0,2377,0.4708,0.0379,1.1386,18.74,90.02
1d,none,10,1.5,25,2.0,2600,0.3958,0.17,1.3441,20.35,442.03
1d,none,10,1.5,25,3.0,2251,0.4323,0.1123,1.3119,14.3,252.68
1d,none,10,1.5,25,4.0,2102,0.4415,0.0834,1.2904,9.36,175.21
1d,none,10,2.0,10,2.0,1965,0.4616,-0.0186,0.9501,88.32,-36.49
1d,none,10,2.0,10,3.0,1904,0.4848,-0.0121,0.9532,52.44,-23.09
1d,none,10,2.0,10,4.0,1899,0.4887,-0.0078,0.96,34.66,-14.79
1d,none,10,2.0,15,2.0,1827,0.4324,-0.0108,0.975,92.57,-19.77
1d,none,10,2.0,15,3.0,1737,0.4663,-0.0046,0.985,49.66,-7.95
1d,none,10,2.0,15,4.0,1701,0.4715,-0.003,0.9873,33.12,-5.07
1d,none,10,2.0,20,2.0,1688,0.4028,0.0095,1.019,55.77,16.04
1d,none,10,2.0,20,3.0,1570,0.4369,-0.0181,0.9524,55.74,-28.47
1d,none,10,2.0,20,4.0,1531,0.4468,-0.019,0.9369,46.16,-29.16
1d,none,10,2.0,25,2.0,1598,0.3642,0.044,1.0822,52.35,70.23
1d,none,10,2.0,25,3.0,1455,0.3973,-0.0083,0.9798,49.21,-12.07
1d,none,10,2.0,25,4.0,1411,0.4054,-0.0067,0.979,39.34,-9.43
1d,none,10,2.5,10,2.0,474,0.4177,-0.1802,0.5671,89.26,-85.43
1d,none,10,2.5,10,3.0,473,0.4651,-0.0919,0.6652,46.55,-43.45
1d,none,10,2.5,10,4.0,473,0.4799,-0.0526,0.7319,28.13,-24.89
1d,none,10,2.5,15,2.0,467,0.4026,-0.183,0.6191,92.97,-85.46
1d,none,10,2.5,15,3.0,466,0.4528,-0.091,0.7171,47.13,-42.4
1d,none,10,2.5,15,4.0,465,0.4667,-0.0531,0.7773,28.22,-24.68
1d,none,10,2.5,20,2.0,456,0.3224,-0.2045,0.6115,98.97,-93.25
1d,none,10,2.5,20,3.0,452,0.3739,-0.1201,0.6723,59.05,-54.3
1d,none,10,2.5,20,4.0,452,0.3938,-0.0793,0.7175,42.09,-35.85
1d,none,10,2.5,25,2.0,448,0.2969,-0.1916,0.6701,96.97,-85.85
1d,none,10,2.5,25,3.0,440,0.3636,-0.1023,0.7491,57.94,-45.03
1d,none,10,2.5,25,4.0,439,0.385,-0.0584,0.808,37.58,-25.62
1d,none,10,3.0,10,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,10,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,10,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,15,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,15,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,15,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,20,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,20,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,20,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,25,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,25,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,10,3.0,25,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,none,15,1.5,10,2.0,3211,0.4609,-0.0213,0.9419,87.02,-68.27
1d,none,15,1.5,10,3.0,2927,0.4831,-0.0157,0.9382,61.02,-46.08
1d,none,15,1.5,10,4.0,2815,0.4867,-0.0144,0.9262,48.61,-40.45
1d,none,15,1.5,15,2.0,2923,0.429,-0.018,0.9588,99.64,-52.55
1d,none,15,1.5,15,3.0,2582,0.4547,-0.0189,0.9387,79.93,-48.79
1d,none,15,1.5,15,4.0,2463,0.4596,-0.0114,0.9507,47.09,-28.0
1d,none,15,1.5,20,2.0,2706,0.4154,0.0585,1.1244,53.85,158.17
1d,none,15,1.5,20,3.0,2348,0.451,0.0191,1.0545,45.49,44.95
1d,none,15,1.5,20,4.0,2192,0.4557,0.0086,1.0312,36.16,18.81
1d,none,15,1.5,25,2.0,2501,0.3838,0.1038,1.2085,23.21,259.71
1d,none,15,1.5,25,3.0,2150,0.4228,0.0511,1.1386,29.66,109.97
1d,none,15,1.5,25,4.0,1992,0.4312,0.0328,1.1126,21.54,65.41
1d,none,15,2.0,10,2.0,1856,0.4644,-0.041,0.8935,111.18,-76.17
1d,none,15,2.0,10,3.0,1764,0.483,-0.032,0.8815,74.73,-56.43
1d,none,15,2.0,10,4.0,1733,0.4899,-0.0109,0.9436,35.28,-18.83
1d,none,15,2.0,15,2.0,1777,0.4221,-0.03,0.9328,97.61,-53.25
1d,none,15,2.0,15,3.0,1664,0.4507,-0.0278,0.9126,69.48,-46.24
1d,none,15,2.0,15,4.0,1620,0.4759,-0.006,0.9739,34.5,-9.78
1d,none,15,2.0,20,2.0,1681,0.3938,0.0002,1.0005,76.08,0.38
1d,none,15,2.0,20,3.0,1556,0.4344,-0.0199,0.9471,64.33,-31.0
1d,none,15,2.0,20,4.0,1488,0.4503,-0.0133,0.9545,47.78,-19.78
