timeframe,filter_mode,bb_n,std_mult,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
2h,none,10,1.5,10,2.0,37587,0.457,-0.0295,0.9269,1139.92,-1109.19
2h,none,10,1.5,10,3.0,34639,0.4869,-0.0196,0.9301,717.29,-679.01
2h,none,10,1.5,10,4.0,33430,0.4941,-0.015,0.9291,538.42,-501.15
2h,none,10,1.5,15,2.0,33310,0.4345,-0.0133,0.9717,529.77,-444.32
2h,none,10,1.5,15,3.0,29798,0.4854,-0.0021,0.9937,172.06,-62.61
2h,none,10,1.5,15,4.0,28310,0.5012,-0.0018,0.993,113.16,-51.03
2h,none,10,1.5,20,2.0,29935,0.4054,-0.0261,0.9498,872.29,-780.59
2h,none,10,1.5,20,3.0,26236,0.4662,-0.0127,0.9667,420.91,-333.88
2h,none,10,1.5,20,4.0,24586,0.4871,-0.0087,0.9709,273.35,-213.76
2h,none,10,1.5,25,2.0,27270,0.3776,-0.0218,0.961,686.33,-595.1
2h,none,10,1.5,25,3.0,23465,0.4461,-0.0079,0.9812,282.03,-184.56
2h,none,10,1.5,25,4.0,21721,0.4729,-0.0058,0.9825,201.43,-125.08
2h,none,10,2.0,10,2.0,22131,0.4623,-0.0214,0.9476,489.07,-474.56
2h,none,10,2.0,10,3.0,21395,0.4967,-0.0134,0.9529,311.97,-285.75
2h,none,10,2.0,10,4.0,21099,0.5035,-0.0125,0.9425,280.69,-263.13
2h,none,10,2.0,15,2.0,20419,0.4368,-0.0035,0.9926,217.96,-71.46
2h,none,10,2.0,15,3.0,19261,0.4925,0.0077,1.0227,69.76,148.8
2h,none,10,2.0,15,4.0,18704,0.5082,0.0045,1.0173,64.29,85.01
2h,none,10,2.0,20,2.0,18982,0.4036,-0.0224,0.9575,450.46,-425.56
2h,none,10,2.0,20,3.0,17582,0.4674,-0.0045,0.9885,175.58,-78.81
2h,none,10,2.0,20,4.0,16909,0.4882,-0.0077,0.975,189.77,-130.13
2h,none,10,2.0,25,2.0,17766,0.3786,-0.0271,0.952,494.3,-481.96
2h,none,10,2.0,25,3.0,16199,0.4477,-0.0089,0.9792,251.78,-143.47
2h,none,10,2.0,25,4.0,15440,0.4729,-0.0109,0.968,214.14,-168.48
2h,none,10,2.5,10,2.0,6297,0.455,-0.04,0.907,266.26,-251.64
2h,none,10,2.5,10,3.0,6253,0.4927,-0.0312,0.8986,207.43,-195.07
2h,none,10,2.5,10,4.0,6242,0.5018,-0.0305,0.8737,199.11,-190.4
2h,none,10,2.5,15,2.0,6096,0.4334,-0.0297,0.9397,200.96,-181.17
