symbol,raw_r,funding_cost_r,net_r,year,exit_reason,bars_held
1000SHIBUSDT,0.10643178865970757,0.004751090509656465,0.1016806981500511,2021,time_exit,20
1000SHIBUSDT,-1.0,0.0022809005700092887,-1.0022809005700093,2022,atr_stop,2
1000SHIBUSDT,-0.5548359530487786,-0.0004618645813646096,-0.554374088467414,2022,time_exit,20
1INCHUSDT,-0.49182902459828826,-0.08762711597220683,-0.4042019086260814,2021,time_exit,20
ADAUSDT,-1.0,0.007353948311693972,-1.007353948311694,2020,atr_stop,3
ADAUSDT,2.063196275460028,0.12376905401772677,1.9394272214423014,2020,time_exit,20
ADAUSDT,-0.1433880072745442,0.1646027528882847,-0.3079907601628289,2021,time_exit,20
ADAUSDT,-1.0,0.0008893603252586616,-1.0008893603252587,2021,atr_stop,3
ADAUSDT,1.0667029948217979,0.01617235177900997,1.0505306430427879,2021,time_exit,20
ALGOUSDT,0.427751726416106,0.0705739877726293,0.3571777386434767,2021,time_exit,20
ALGOUSDT,1.4487457419916308,0.20751150747273323,1.2412342345188976,2021,time_exit,20
ALGOUSDT,0.2877694703030298,0.05450746981815804,0.23326200048487175,2021,time_exit,20
ALGOUSDT,0.06113361864303895,0.02011917439594456,0.04101444424709439,2021,time_exit,20
ANKRUSDT,-1.0,0.0033004438713102663,-1.0033004438713102,2021,atr_stop,3
ATOMUSDT,1.5498643552961664,0.022294087852831972,1.5275702674433345,2020,time_exit,20
ATOMUSDT,0.5494113392903249,0.04658012882175389,0.502831210468571,2020,time_exit,20
ATOMUSDT,-1.0,0.02252511593324017,-1.0225251159332402,2021,atr_stop,2
ATOMUSDT,0.2468399417511481,0.1042412005057531,0.142598741245395,2021,time_exit,20
ATOMUSDT,1.3720839803880216,0.2482505078670899,1.1238334725209316,2021,time_exit,20
ATOMUSDT,-0.24500504222020028,0.0005344706347541505,-0.24553951285495443,2022,time_exit,20
AVAXUSDT,1.3845113544898222,0.05800326038344233,1.3265080941063798,2021,time_exit,20
AVAXUSDT,-0.314809014260776,0.04394673942039033,-0.35875575368116636,2021,time_exit,20
AVAXUSDT,-1.0,0.016929853366893375,-1.0169298533668933,2022,atr_stop,15
AXSUSDT,3.1304698373026585,0.034843446208592234,3.0956263910940662,2021,time_exit,20
AXSUSDT,1.2384542855170624,-0.17125785980295832,1.4097121453200208,2021,time_exit,20
AXSUSDT,0.059093520711066536,-0.2392876626955921,0.29838118340665865,2021,time_exit,20
BANDUSDT,1.7547317672506624,0.2381194771889085,1.5166122900617538,2021,time_exit,20
BANDUSDT,0.06796270095310057,0.06014791861776007,0.007814782335340505,2021,time_exit,20
BATUSDT,0.5394822066624728,0.08283078924624929,0.4566514174162235,2021,time_exit,20
BCHUSDT,1.8353766337220323,0.07406617541732226,1.7613104583047101,2021,time_exit,20
BTCDOMUSDT,-1.0,0.0952297114604196,-1.0952297114604197,2022,atr_stop,13
BTCDOMUSDT,0.24923136624481765,0.1868393480172235,0.06239201822759416,2022,time_exit,20
BTCDOMUSDT,-1.0,0.263295858640031,-1.263295858640031,2022,atr_stop,14
BTCUSDT,0.2000948401769896,0.07462040463236251,0.12547443554462712,2020,time_exit,20
BTCUSDT,-0.320787911606513,0.13681629705742396,-0.4576042086639369,2021,time_exit,20
CHRUSDT,-1.0,0.005803553470882566,-1.0058035534708825,2021,atr_stop,7
CHRUSDT,0.6004113110801222,0.007018135760079477,0.5933931753200428,2021,time_exit,20
CHZUSDT,-1.0,0.15896312214162736,-1.1589631221416274,2021,atr_stop,20
COMPUSDT,1.644069897605704,0.16446463303388573,1.4796052645718183,2021,time_exit,20
COTIUSDT,-1.0,0.04744865948365009,-1.04744865948365,2021,atr_stop,10
CRVUSDT,1.5324018187398116,-0.026808569226793522,1.559210387966605,2021,time_exit,20
CRVUSDT,-1.0,-0.004423788045836407,-0.9955762119541636,2022,atr_stop,3
DASHUSDT,1.129597055672685,0.11296068899592802,1.016636366676757,2020,time_exit,20
DOGEUSDT,0.3353604460014198,0.0634367785148068,0.271923667486613,2021,time_exit,20
DOGEUSDT,6.87943650330702,0.32207733719278775,6.5573591661142325,2021,time_exit,20
DOGEUSDT,-1.0,0.002068555426709271,-1.0020685554267093,2021,atr_stop,2
DOTUSDT,1.7721299814669202,0.24235228913932172,1.5297776923275985,2021,time_exit,20
DOTUSDT,1.9062153818351883,0.036126175662555195,1.870089206172633,2021,time_exit,20
EGLDUSDT,-0.29166373358598696,-0.05768432876124419,-0.23397940482474278,2021,time_exit,20
ENJUSDT,-0.7556721108451727,0.019350305691117578,-0.7750224165362903,2021,time_exit,20
ENSUSDT,-1.0,-0.00990334029984362,-0.9900966597001564,2022,atr_stop,18
ETCUSDT,-0.0640680352312647,-0.04790642858064088,-0.01616160665062382,2021,time_exit,20
ETHUSDT,0.5291285436348961,0.06501455561559227,0.46411398801930387,2020,time_exit,20
ETHUSDT,2.7116366148188464,0.2251775657422761,2.4864590490765703,2021,time_exit,20
ETHUSDT,-1.0,0.05512676524073488,-1.0551267652407348,2021,atr_stop,18
HBARUSDT,0.22100469150314955,0.10041118500623676,0.12059350649691279,2021,time_exit,20
ICXUSDT,-1.0,0.07889300054740975,-1.0788930005474098,2021,atr_stop,19
