symbol,n_trades,avg_r,total_r,win_rate,max_dd_r,top_month_r,top_month_pct,top_month,pass_filter,skip_reason
HBAR_USDT,7,1.4832,10.38,0.8571,0.0,6.64,0.64,2022-12,False,min_trades
APT_USDT,7,1.0147,7.1,0.7143,0.71,5.94,0.837,2022-12,False,min_trades
LPT_USDT,9,0.6617,5.96,0.5556,0.81,3.46,0.582,2023-01,True,
SOL_USDT,7,0.7519,5.26,0.4286,1.26,5.73,1.089,2022-12,False,min_trades
ZEC_USDT,8,0.5933,4.75,1.0,0.0,1.85,0.389,2023-06,True,
ZEN_USDT,5,0.815,4.08,1.0,0.0,1.76,0.431,2023-06,False,min_trades
ICP_USDT,9,0.3768,3.39,0.5556,0.31,2.21,0.653,2024-07,False,top_month_pct=0.65
CHZ_USDT,10,0.3108,3.11,0.7,2.0,1.45,0.467,2023-09,True,
GRT_USDT,7,0.4067,2.85,0.8571,0.05,1.26,0.441,2023-09,False,min_trades
DASH_USDT,6,0.3534,2.12,0.6667,0.05,0.95,0.45,2023-06,False,min_trades
DOGE_USDT,3,0.7008,2.1,1.0,0.0,0.82,0.388,2023-03,False,min_trades
TIA_USDT,4,0.4775,1.91,0.75,0.03,0.97,0.508,2025-06,False,min_trades
SEI_USDT,5,0.363,1.81,0.8,1.0,1.49,0.822,2024-08,False,min_trades
UNI_USDT,4,0.433,1.73,0.75,1.0,1.75,1.009,2023-06,False,min_trades
IO_USDT,5,0.3437,1.72,0.6,0.15,1.56,0.905,2025-04,False,min_trades
AAVE_USDT,2,0.853,1.71,1.0,0.0,1.18,0.692,2021-12,False,min_trades
LINK_USDT,6,0.2544,1.53,0.6667,1.0,1.54,1.009,2023-06,False,min_trades
SPK_USDT,1,1.4362,1.44,1.0,0.0,1.44,1.0,2025-07,False,min_trades
DOT_USDT,6,0.2281,1.37,0.5,1.0,1.11,0.808,2025-06,False,min_trades
FET_USDT,6,0.2069,1.24,0.5,0.67,1.77,1.428,2024-08,False,min_trades
PEPE_USDT,3,0.4045,1.21,0.6667,0.0,0.89,0.736,2023-06,False,min_trades
PENDLE_USDT,2,0.5921,1.18,1.0,0.0,0.91,0.772,2024-08,False,min_trades
ATOM_USDT,8,0.1477,1.18,0.75,0.49,0.66,0.56,2022-06,True,
EIGEN_USDT,4,0.2703,1.08,0.5,0.02,1.03,0.951,2025-04,False,min_trades
ADA_USDT,7,0.1532,1.07,0.8571,1.0,0.7,0.654,2026-02,False,min_trades
ARB_USDT,7,0.1429,1.0,0.5714,1.2,1.54,1.538,2023-09,False,min_trades
FIL_USDT,10,0.0901,0.9,0.5,0.34,0.85,0.945,2024-07,False,top_month_pct=0.94
ETH_USDT,6,0.1462,0.88,0.5,0.74,0.85,0.973,2025-04,False,min_trades
SUI_USDT,8,0.0957,0.77,0.5,1.07,2.69,3.513,2024-08,False,top_month_pct=3.51
ONDO_USDT,1,0.5839,0.58,1.0,0.0,0.58,1.0,2026-02,False,min_trades
PENGU_USDT,1,0.4925,0.49,1.0,0.0,0.49,1.0,2026-02,False,min_trades
LTC_USDT,5,0.0965,0.48,0.4,1.16,1.15,2.389,2023-03,False,min_trades
JTO_USDT,3,0.1405,0.42,0.3333,0.45,1.07,2.55,2025-12,False,min_trades
NIL_USDT,2,0.1845,0.37,0.5,0.0,0.5,1.363,2026-03,False,min_trades
ENA_USDT,3,0.105,0.32,0.6667,0.63,0.64,2.017,2024-08,False,min_trades
SAGA_USDT,7,0.0326,0.23,0.5714,1.15,1.02,4.451,2025-04,False,min_trades
ORDI_USDT,2,0.1163,0.23,1.0,0.0,0.16,0.701,2025-02,False,min_trades
RENDER_USDT,2,0.0781,0.16,0.5,0.05,0.2,1.302,2024-08,False,min_trades
POND_USDT,6,0.0167,0.1,0.5,2.19,1.28,12.806,2025-04,False,min_trades
TAO_USDT,2,0.0208,0.04,0.5,0.0,0.34,8.247,2026-02,False,min_trades
NEAR_USDT,8,0.0036,0.03,0.5,1.09,0.97,33.557,2024-08,False,top_month_pct=33.56
PUMP_USDT,0,0.0,0.0,0.0,0.0,0.0,1.0,,False,no_trades
VIRTUAL_USDT,0,0.0,0.0,0.0,0.0,0.0,1.0,,False,no_trades
XUSD_USDT,0,0.0,0.0,0.0,0.0,0.0,1.0,,False,no_trades
MORPHO_USDT,0,0.0,0.0,0.0,0.0,0.0,1.0,,False,no_trades
BFUSD_USDT,0,0.0,0.0,0.0,0.0,0.0,1.0,,False,no_trades
ASTER_USDT,1,-0.067,-0.07,0.0,0.0,0.0,1.0,,False,min_trades
ALT_USDT,5,-0.048,-0.24,0.6,0.44,0.0,1.0,,False,min_trades
PHA_USDT,1,-0.3629,-0.36,0.0,0.0,0.0,1.0,,False,min_trades
TRX_USDT,4,-0.0914,-0.37,0.5,1.0,0.0,1.0,,False,min_trades
WLFI_USDT,4,-0.1147,-0.46,0.75,1.0,0.0,1.0,,False,min_trades
TON_USDT,6,-0.0826,-0.5,0.5,1.0,0.0,1.0,,False,min_trades
EDEN_USDT,2,-0.2615,-0.52,0.0,0.24,0.0,1.0,,False,min_trades
WLD_USDT,2,-0.2706,-0.54,0.5,0.0,0.0,1.0,,False,min_trades
ARKM_USDT,2,-0.3153,-0.63,0.0,0.14,0.0,1.0,,False,min_trades
XRP_USDT,5,-0.16,-0.8,0.4,1.9,0.0,1.0,,False,min_trades
BTC_USDT,9,-0.089,-0.8,0.3333,1.72,0.0,1.0,,False,avg_r<=0
TRUMP_USDT,5,-0.1693,-0.85,0.2,1.05,0.0,1.0,,False,min_trades
BCH_USDT,4,-0.2262,-0.9,0.5,1.31,0.0,1.0,,False,min_trades
INJ_USDT,5,-0.1823,-0.91,0.4,1.05,0.0,1.0,,False,min_trades
AVAX_USDT,3,-0.3108,-0.93,0.3333,0.44,0.0,1.0,,False,min_trades
XPL_USDT,2,-0.5272,-1.05,0.0,0.46,0.0,1.0,,False,min_trades
DOGS_USDT,3,-0.368,-1.1,0.0,0.46,0.0,1.0,,False,min_trades
SAHARA_USDT,4,-0.2948,-1.18,0.25,1.27,0.0,1.0,,False,min_trades
MMT_USDT,4,-0.3413,-1.37,0.25,1.41,0.0,1.0,,False,min_trades
HMSTR_USDT,5,-0.357,-1.78,0.0,1.63,0.0,1.0,,False,min_trades
FIDA_USDT,6,-0.3732,-2.24,0.3333,1.34,0.0,1.0,,False,min_trades
ERA_USDT,6,-0.4214,-2.53,0.1667,1.86,0.0,1.0,,False,min_trades
BNB_USDT,10,-0.2697,-2.7,0.4,2.44,0.0,1.0,,False,avg_r<=0
