symbol,entry_time,exit_time,net_r,variant
ETH/USDT,2023-03-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,0.9742065498142812,max3
AVAX/USDT,2023-04-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,-0.9999999999999996,max3
JST/USDT,2023-06-03 00:00:00+00:00,2023-06-04 00:00:00+00:00,-0.9999999999999992,max3
TRX/USDT,2023-04-29 00:00:00+00:00,2023-06-05 00:00:00+00:00,2.729514587773465,max3
ETH/USDT,2023-05-28 00:00:00+00:00,2023-06-05 00:00:00+00:00,-1.0,max3
MTL/USDT,2023-06-04 00:00:00+00:00,2023-06-08 00:00:00+00:00,6.880211525178928,max3
ETC/USDT,2023-06-30 00:00:00+00:00,2023-07-05 00:00:00+00:00,-1.0000000000000009,max3
BTC/USDT,2023-06-20 00:00:00+00:00,2023-07-24 00:00:00+00:00,0.4999096084714253,max3
SOL/USDT,2023-07-13 00:00:00+00:00,2023-07-24 00:00:00+00:00,-1.0,max3
TRX/USDT,2023-06-30 00:00:00+00:00,2023-07-31 00:00:00+00:00,0.3607995765089216,max3
HBAR/USDT,2023-08-08 00:00:00+00:00,2023-08-11 00:00:00+00:00,-1.0,max3
SC/USDT,2023-07-29 00:00:00+00:00,2023-08-15 00:00:00+00:00,-0.9999999999999996,max3
HBAR/USDT,2023-08-14 00:00:00+00:00,2023-08-17 00:00:00+00:00,-0.9999999999999996,max3
FET/USDT,2023-09-03 00:00:00+00:00,2023-09-10 00:00:00+00:00,-1.0000000000000004,max3
VTHO/USDT,2023-09-13 00:00:00+00:00,2023-09-14 00:00:00+00:00,-1.0,max3
JST/USDT,2023-09-29 00:00:00+00:00,2023-09-30 00:00:00+00:00,-1.0,max3
TRX/USDT,2023-09-06 00:00:00+00:00,2023-10-06 00:00:00+00:00,2.160618818601834,max3
MTL/USDT,2023-09-08 00:00:00+00:00,2023-10-09 00:00:00+00:00,-0.3103726902786471,max3
ZRX/USDT,2023-10-08 00:00:00+00:00,2023-10-09 00:00:00+00:00,-1.0000000000000004,max3
BTC/USDT,2023-10-01 00:00:00+00:00,2023-10-11 00:00:00+00:00,-1.0000000000000016,max3
ARDR/USDT,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,-0.9999999999999994,max3
ICX/USDT,2023-10-21 00:00:00+00:00,2023-10-22 00:00:00+00:00,-1.0000000000000009,max3
SOL/USDT,2023-10-19 00:00:00+00:00,2023-11-02 00:00:00+00:00,6.025283827287946,max3
MTL/USDT,2023-10-23 00:00:00+00:00,2023-11-14 00:00:00+00:00,1.315344458396621,max3
HBAR/USDT,2023-11-02 00:00:00+00:00,2023-12-18 00:00:00+00:00,3.892073996907394,max3
AVAX/USDT,2023-11-15 00:00:00+00:00,2023-12-31 00:00:00+00:00,5.848605783989639,max3
FET/USDT,2023-10-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,15.174418582804462,max3
HBAR/USDT,2023-12-21 00:00:00+00:00,2024-01-03 00:00:00+00:00,-1.0000000000000004,max3
ICX/USDT,2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,-1.0000000000000002,max3
BTC/USDT,2024-01-08 00:00:00+00:00,2024-01-12 00:00:00+00:00,-0.9999999999999992,max3
TRX/USDT,2024-01-13 00:00:00+00:00,2024-01-15 00:00:00+00:00,-1.0000000000000002,max3
ETC/USDT,2024-01-10 00:00:00+00:00,2024-01-19 00:00:00+00:00,-1.0,max3
