accepted,total_r,avg_r,profit_factor,max_dd_r,win_rate,variant,max_open
168,159.7065869514681,0.9506344461396911,2.769475014815306,-9.92713405202582,0.40476190476190477,max3,3
251,191.33012597733844,0.7622714182364081,2.3330898937776134,-13.33946114858901,0.3705179282868526,max5,5
318,294.57643642114766,0.9263409950350555,2.695039670199536,-13.75253246673438,0.389937106918239,max8,8
461,507.60185769296174,1.1010886284012185,3.071924268807167,-19.48269734390226,0.4121475054229935,uncap,999
