symbol,entry_time,exit_time,net_r,risk_pct,risk_amount,pnl_usdt,equity,peak_equity,dd_pct
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,-0.9999999999999998,0.005,50.0,-49.999999999999986,9950.0,10000.0,-0.5
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,-1.0,0.005,50.0,-50.0,9900.0,10000.0,-1.0
CELR/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,-0.9999999999999996,0.005,49.5,-49.49999999999998,9850.5,10000.0,-1.4949999999999999
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-22 00:00:00+00:00,4.461423917746947,0.005,50.0,223.07119588734733,10073.571195887347,10073.571195887347,0.0
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-22 00:00:00+00:00,4.47519519359004,0.005,49.5,221.52216208270698,10295.093357970054,10295.093357970054,0.0
ETH/USDT,2020-12-27 00:00:00+00:00,2021-02-23 00:00:00+00:00,8.250409152535905,0.005,49.5,408.3952530505273,10703.48861102058,10703.48861102058,0.0
ZRX/USDT,2021-01-05 00:00:00+00:00,2021-02-28 00:00:00+00:00,9.981313269635123,0.005,49.5,494.0750068469386,11197.56361786752,11197.56361786752,0.0
ARDR/USDT,2021-03-14 00:00:00+00:00,2021-04-16 00:00:00+00:00,3.039693518540024,0.005,55.9878180893376,170.18580776335742,11367.749425630876,11367.749425630876,0.0
FET/USDT,2021-01-15 00:00:00+00:00,2021-04-20 00:00:00+00:00,15.918110996773388,0.005,49.2525,784.0067618685813,12151.756187499457,12151.756187499457,0.0
SC/USDT,2021-01-28 00:00:00+00:00,2021-04-22 00:00:00+00:00,24.888734839670704,0.005,50.36785597943674,1253.5922119149236,13405.34839941438,13405.34839941438,0.0
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-22 00:00:00+00:00,2.758605371053245,0.005,55.9878180893376,154.44829569479876,13559.79669510918,13559.79669510918,0.0
VET/USDT,2020-12-28 00:00:00+00:00,2021-04-23 00:00:00+00:00,37.53435003493119,0.005,49.5,1857.9503267290938,15417.747021838273,15417.747021838273,0.0
ICX/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,15.411276499138804,0.005,49.5,762.8581867073708,16180.605208545643,16180.605208545643,0.0
ADA/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,25.541099613685585,0.005,49.5,1264.2844308774365,17444.88963942308,17444.88963942308,0.0
VTHO/USDT,2021-03-14 00:00:00+00:00,2021-04-23 00:00:00+00:00,2.128980534894112,0.005,55.9878180893376,119.1969749033922,17564.086614326472,17564.086614326472,0.0
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,5.909426889112268,0.005,87.82043307163237,518.9684286069886,18083.05504293346,18083.05504293346,0.0
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,0.005,87.82043307163237,-87.82043307163235,17995.23460986183,18083.05504293346,-0.48565042169658856
ADA/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,0.005,87.82043307163237,-87.82043307163237,17907.414176790197,18083.05504293346,-0.9713008433931771
AVAX/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0000000000000002,0.005,87.82043307163237,-87.82043307163238,17819.593743718564,18083.05504293346,-1.4569512650897656
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,0.005,89.09796871859282,-89.09796871859281,17730.49577499997,18083.05504293346,-1.9496665087643212
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,-1.0000000000000004,0.005,88.65247887499986,-88.6524788749999,17641.84329612497,18083.05504293346,-2.439918176220497
BTC/USDT,2021-07-30 00:00:00+00:00,2021-08-03 00:00:00+00:00,-0.9999999999999996,0.005,88.65247887499986,-88.65247887499982,17553.19081724997,18083.05504293346,-2.9301698436766723
