symbol,entry_time,exit_time,net_r,risk_pct,risk_amount,pnl_usdt,equity,peak_equity,dd_pct
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,-0.9999999999999998,0.002827565496992409,28.275654969924087,-28.27565496992408,9971.724345030076,10000.0,-0.28275654969924285
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,-1.0,0.00169794040447627,16.9794040447627,-16.9794040447627,9954.744940985312,10000.0,-0.45255059014687504
CELR/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,-0.9999999999999996,0.0014980803408313212,14.913007694080148,-14.913007694080141,9939.831933291232,10000.0,-0.6016806670876759
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-22 00:00:00+00:00,4.461423917746947,0.003591780328953166,35.91780328953166,160.2445466688465,10100.076479960078,10100.076479960078,0.0
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-22 00:00:00+00:00,4.47519519359004,0.002026590437099456,20.174190901165023,90.28344215546163,10190.35992211554,10190.35992211554,0.0
ETH/USDT,2020-12-27 00:00:00+00:00,2021-02-23 00:00:00+00:00,8.250409152535905,0.002448740004747202,24.376582174045556,201.11677667628905,10391.476698791828,10391.476698791828,0.0
ZRX/USDT,2021-01-05 00:00:00+00:00,2021-02-28 00:00:00+00:00,9.981313269635123,0.0018757300329784326,18.672414056446264,186.3752141977285,10577.851912989558,10577.851912989558,0.0
ARDR/USDT,2021-03-14 00:00:00+00:00,2021-04-16 00:00:00+00:00,3.039693518540024,0.0013685116780809304,14.47591387193692,44.002341571470275,10621.854254561027,10621.854254561027,0.0
FET/USDT,2021-01-15 00:00:00+00:00,2021-04-20 00:00:00+00:00,15.918110996773388,0.0011921608956012378,11.849878939718257,188.62768826076257,10810.481942821789,10810.481942821789,0.0
SC/USDT,2021-01-28 00:00:00+00:00,2021-04-22 00:00:00+00:00,24.888734839670704,0.001336273759843935,13.49646717258755,335.90999273085174,11146.391935552641,11146.391935552641,0.0
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-22 00:00:00+00:00,2.758605371053245,0.0015628110339944731,16.531183685579627,45.60301210490774,11191.99494765755,11191.99494765755,0.0
VET/USDT,2020-12-28 00:00:00+00:00,2021-04-23 00:00:00+00:00,37.53435003493119,0.0015633812392040838,15.563061481798202,584.1493972729686,11776.144344930519,11776.144344930519,0.0
ICX/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,15.411276499138804,0.0016976778328191343,16.899949817679186,260.44979946182434,12036.594144392344,12036.594144392344,0.0
ADA/USDT,2020-12-29 00:00:00+00:00,2021-04-23 00:00:00+00:00,25.541099613685585,0.0017780394288948631,17.699929009663553,452.07564999098,12488.669794383324,12488.669794383324,0.0
VTHO/USDT,2021-03-14 00:00:00+00:00,2021-04-23 00:00:00+00:00,2.128980534894112,0.0011884880878293826,12.571650993411335,26.764800256454958,12515.434594639779,12515.434594639779,0.0
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,5.909426889112268,0.0016617493949737101,20.79751586547569,122.90139948218106,12638.33599412196,12638.33599412196,0.0
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,0.0015005197423879027,18.779656693821526,-18.779656693821522,12619.55633742814,12638.33599412196,-0.14859279498943312
ADA/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,0.00195928053993514,24.521247450108753,-24.521247450108753,12595.03508997803,12638.33599412196,-0.3426155481549942
AVAX/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0000000000000002,0.0013395907214815903,16.765560058289157,-16.76556005828916,12578.26952991974,12638.33599412196,-0.475271936354255
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,0.0013321816574911958,16.756539950739484,-16.75653995073948,12561.512989969,12638.33599412196,-0.6078569535474494
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,-1.0000000000000004,0.001615676163966073,20.29533712124311,-20.295337121243122,12541.217652847758,12638.33599412196,-0.7684424699531041
BTC/USDT,2021-07-30 00:00:00+00:00,2021-08-03 00:00:00+00:00,-0.9999999999999996,0.003047469839900366,38.280831980447196,-38.28083198044718,12502.93682086731,12638.33599412196,-1.0713370282102377
MTL/USDT,2021-07-31 00:00:00+00:00,2021-09-07 00:00:00+00:00,2.598639761924757,0.0016060404038472768,20.174297395342627,52.42573138043241,12555.362552247741,12638.33599412196,-0.6565218863686624
ADA/USDT,2021-08-06 00:00:00+00:00,2021-09-07 00:00:00+00:00,4.245110958816328,0.002746527747275856,34.339662900949044,145.77567930287728,12701.138231550618,12701.138231550618,0.0
FET/USDT,2021-07-25 00:00:00+00:00,2021-09-20 00:00:00+00:00,4.030635459905082,0.0014415195932618715,18.107667096053827,72.98540509351105,12774.12363664413,12774.12363664413,0.0
ETH/USDT,2021-07-30 00:00:00+00:00,2021-09-20 00:00:00+00:00,1.6737335043877533,0.0025657622086630743,32.22985531329276,53.94418867942774,12828.067825323558,12828.067825323558,0.0
BTC/USDT,2021-08-06 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.0380253013974039,0.0028253944760608693,35.325728628216545,1.3432714781708335,12829.411096801728,12829.411096801728,0.0
JST/USDT,2021-09-16 00:00:00+00:00,2021-09-20 00:00:00+00:00,-1.0000000000000002,0.0018040381969564234,22.91333851454087,-22.913338514540875,12806.497758287187,12829.411096801728,-0.17860008025039886
HBAR/USDT,2021-07-30 00:00:00+00:00,2021-09-21 00:00:00+00:00,2.5967829292565856,0.00197738101948921,24.838897362431855,64.50122465231946,12870.998982939507,12870.998982939507,0.0
AVAX/USDT,2021-09-16 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.464859735130692,0.001301508253814911,16.53063624120725,-7.6844271846294205,12863.314555754878,12870.998982939507,-0.05970342468999557
SOL/USDT,2021-07-31 00:00:00+00:00,2021-10-12 00:00:00+00:00,16.867663120382847,0.0018590833399707407,23.352899524477415,393.90884206303383,13257.223397817912,13257.223397817912,0.0
VTHO/USDT,2021-10-05 00:00:00+00:00,2021-10-12 00:00:00+00:00,-1.0,0.001668010657400328,21.46896347493188,-21.46896347493188,13235.75443434298,13257.223397817912,-0.16194162858012737
JST/USDT,2021-10-09 00:00:00+00:00,2021-10-12 00:00:00+00:00,-0.9999999999999998,0.0020713188030442994,26.64402530880851,-26.6440253088085,13209.110409034172,13257.223397817912,-0.36291904677158
TRX/USDT,2021-08-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,3.768983457653391,0.003103213403947404,38.799281131222976,146.23384875242274,13355.344257786595,13355.344257786595,0.0
QTUM/USDT,2021-10-02 00:00:00+00:00,2021-10-27 00:00:00+00:00,-0.9999999999999998,0.0016423223105926797,21.13832878929724,-21.138328789297237,13334.205928997299,13355.344257786595,-0.1582761805407784
BTC/USDT,2021-10-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,1.3451952716084357,0.0031794127101343055,40.92221775848359,55.048373832442884,13389.254302829742,13389.254302829742,0.0
VET/USDT,2021-10-09 00:00:00+00:00,2021-11-16 00:00:00+00:00,1.2800305698336896,0.0018782323348716704,24.160293332244226,30.925914041421667,13420.180216871164,13420.180216871164,0.0
ETH/USDT,2021-10-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.963698910528862,0.0027824828131503467,36.75412269014293,35.41990799393487,13455.6001248651,13455.6001248651,0.0
NEAR/USDT,2021-10-21 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.1262452723261582,0.0018604089791267886,24.574347611244303,3.1023952064192124,13458.702520071518,13458.702520071518,0.0
ZRX/USDT,2021-10-30 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.222898294643098,0.0019178557872056082,25.67865885104961,-5.723729266620852,13452.978790804897,13458.702520071518,-0.04252809108519445
SC/USDT,2021-10-31 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.6548593894127679,0.0018742287724306497,25.09452565575438,-16.433385748530352,13436.545405056366,13458.702520071518,-0.1646303942159977
ZEC/USDT,2021-10-17 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.6370332445752463,0.002498445395135211,33.00224107528401,21.02352471044264,13457.568929766809,13458.702520071518,-0.008422730965475439
SOL/USDT,2021-10-21 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.1590319725705694,0.0021223497935791767,28.03435274997823,4.4583584175682045,13462.027288184378,13462.027288184378,0.0
