variant,max_open,risk_pct,max_heat,trade_id,symbol,side,entry_time,entry_price,initial_stop,final_stop,bars_held,max_favorable_r,chandelier_active,net_r,risk_amount,equity_before_entry,open_positions_before_entry,heat_before_entry_pct,heat_after_entry_pct,exit_time,net_r_after_cost,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit,heat_after_exit_pct
ACT4_ATR3,5,0.0025,0.015,7769,ARDR/USDT,SHORT,2025-09-28 06:00:00+00:00,0.07544,0.0786585714285714,0.0786585714285714,3,0.0372836218375483,False,-1.0,25.0,10000.0,2,0.5,0.75,2025-09-29 00:00:00+00:00,-1.0,-25.0,9975.0,10000.0,-0.25,2,0.5012531328320802
ACT4_ATR3,5,0.0025,0.015,6664,ALPINE/USDT,LONG,2025-09-27 18:00:00+00:00,6.251,4.764142857142858,10.839714285714283,11,6.119619523443506,True,3.0861837048424285,25.0,10000.0,0,0.0,0.25,2025-09-30 12:00:00+00:00,3.0861837048424285,77.15459262106071,10052.15459262106,10052.15459262106,0.0,4,0.9929463288723088
ACT4_ATR3,5,0.0025,0.015,560,BNB/USDT,LONG,2025-09-29 18:00:00+00:00,1029.79,995.2114285714284,995.2114285714284,3,0.1220409006403643,False,-1.0,24.9375,9975.0,3,0.7512531328320802,1.0012531328320802,2025-09-30 12:00:00+00:00,-1.0,-24.9375,10027.21709262106,10052.15459262106,-0.24808114290547975,3,0.7467176516513225
ACT4_ATR3,5,0.0025,0.015,7507,AR/USDT,SHORT,2025-09-30 12:00:00+00:00,5.38,5.648571428571429,5.648571428571429,2,0.1861702127659567,False,-1.0,25.06804273155265,10027.21709262106,3,0.7467176516513225,0.9967176516513225,2025-10-01 00:00:00+00:00,-1.0,-25.06804273155265,10002.149049889507,10052.15459262106,-0.4974609400482181,4,0.9992156908785188
ACT4_ATR3,5,0.0025,0.015,10203,BABY/USDT,SHORT,2025-09-28 00:00:00+00:00,0.04645,0.0507957142857142,0.0507957142857142,13,0.3842866535174222,False,-1.0,25.0,10000.0,1,0.25,0.5,2025-10-01 06:00:00+00:00,-1.0,-25.0,9977.149049889507,10052.15459262106,-0.7461638402040875,4,1.0017733007344751
ACT4_ATR3,5,0.0025,0.015,4279,A/USDT,SHORT,2025-09-30 12:00:00+00:00,0.3852,0.4007857142857142,0.4007857142857142,3,0.1475710357470193,False,-1.0,25.06804273155265,10027.21709262106,4,0.9967176516513225,1.2467176516513225,2025-10-01 06:00:00+00:00,-1.0,-25.06804273155265,9952.081007157954,10052.15459262106,-0.9955436373468258,3,0.7524091953317771
ACT4_ATR3,5,0.0025,0.015,5248,ADX/USDT,SHORT,2025-09-30 06:00:00+00:00,0.104,0.1074285714285714,0.1074285714285714,5,0.4958333333333306,False,-1.0,24.9375,9975.0,4,1.0012531328320802,1.2512531328320804,2025-10-01 12:00:00+00:00,-1.0,-24.9375,9927.143507157954,10052.15459262106,-1.2436247802523055,3,0.7537221063508104
ACT4_ATR3,5,0.0025,0.015,6420,ALICE/USDT,SHORT,2025-10-01 00:00:00+00:00,0.288,0.3088571428571428,0.3088571428571428,3,0.148630136986301,False,-1.0,25.00537262472377,10002.149049889507,4,0.9992156908785188,1.2492156908785188,2025-10-01 18:00:00+00:00,-1.0,-25.00537262472377,9902.13813453323,10052.15459262106,-1.49238112790219,2,0.5031004601335346
ACT4_ATR3,5,0.0025,0.015,3484,1000CHEEMS/USDT,SHORT,2025-09-29 12:00:00+00:00,0.001056,0.0010978571428571,0.0010978571428571,11,0.931740614334478,False,-1.0,24.9375,9975.0,2,0.5012531328320802,0.7512531328320802,2025-10-02 06:00:00+00:00,-1.0,-24.9375,9877.20063453323,10052.15459262106,-1.7404622708076696,4,1.0037888486364588
ACT4_ATR3,5,0.0025,0.015,956,XRP/USDT,LONG,2025-10-02 00:00:00+00:00,2.9648,2.852028571428572,2.852028571428572,22,1.1971117304281758,False,-1.0,24.755345336333075,9902.13813453323,4,1.0031004601335345,1.2531004601335347,2025-10-07 12:00:00+00:00,-1.0,-24.755345336333075,9852.445289196898,10052.15459262106,-1.986731317987909,4,1.0056782034155376
