variant,max_open,risk_pct,risk_pct_label,max_heat,max_heat_label,input_trades,accepted_trades,skipped_trades,acceptance_rate_pct,final_equity,return_pct,max_dd_pct,total_r,avg_r,pf_r,win_rate_pct,max_dd_r,best_r,worst_r,max_losing_streak,max_open_observed,max_heat_observed_pct
ACT3_ATR3,5,0.0035,0.35%,0.015,1.50%,886,108,778,12.18961625282167,9710.269599477173,-2.897304005228274,-10.992852467837894,-7.133780935723452,-0.06605352718262456,0.9150740364794827,22.22222222222222,-32.93501158685548,9.513561741613136,-1.0,15,4,1.4365967826222719
ACT3_ATR3,8,0.0035,0.35%,0.015,1.50%,886,108,778,12.18961625282167,9710.269599477173,-2.897304005228274,-10.992852467837894,-7.133780935723452,-0.06605352718262456,0.9150740364794827,22.22222222222222,-32.93501158685548,9.513561741613136,-1.0,15,4,1.4365967826222719
ACT3_ATR3,10,0.0035,0.35%,0.015,1.50%,886,108,778,12.18961625282167,9710.269599477173,-2.897304005228274,-10.992852467837894,-7.133780935723452,-0.06605352718262456,0.9150740364794827,22.22222222222222,-32.93501158685548,9.513561741613136,-1.0,15,4,1.4365967826222719
ACT3_ATR3,12,0.0035,0.35%,0.015,1.50%,886,108,778,12.18961625282167,9710.269599477173,-2.897304005228274,-10.992852467837894,-7.133780935723452,-0.06605352718262456,0.9150740364794827,22.22222222222222,-32.93501158685548,9.513561741613136,-1.0,15,4,1.4365967826222719
ACT4_ATR3,5,0.005,0.50%,0.02,2.00%,782,101,681,12.915601023017903,9705.279973347677,-2.947200266523231,-10.19404567866534,-4.989793793473899,-0.04940389894528613,0.9383976074879764,19.801980198019802,-21.160072154941822,8.720481226351023,-1.0,16,4,2.0
ACT4_ATR3,8,0.005,0.50%,0.02,2.00%,782,101,681,12.915601023017903,9705.279973347677,-2.947200266523231,-10.19404567866534,-4.989793793473899,-0.04940389894528613,0.9383976074879764,19.801980198019802,-21.160072154941822,8.720481226351023,-1.0,16,4,2.0
ACT4_ATR3,10,0.005,0.50%,0.02,2.00%,782,101,681,12.915601023017903,9705.279973347677,-2.947200266523231,-10.19404567866534,-4.989793793473899,-0.04940389894528613,0.9383976074879764,19.801980198019802,-21.160072154941822,8.720481226351023,-1.0,16,4,2.0
ACT4_ATR3,12,0.005,0.50%,0.02,2.00%,782,101,681,12.915601023017903,9705.279973347677,-2.947200266523231,-10.19404567866534,-4.989793793473899,-0.04940389894528613,0.9383976074879764,19.801980198019802,-21.160072154941822,8.720481226351023,-1.0,16,4,2.0
ACT3_ATR3,5,0.0025,0.25%,0.015,1.50%,886,146,740,16.478555304740404,9403.296789303036,-5.967032106969638,-11.300102115989814,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.2821034478537756
ACT3_ATR3,5,0.0025,0.25%,0.02,2.00%,886,146,740,16.478555304740404,9403.296789303036,-5.967032106969638,-11.300102115989814,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.2821034478537756
ACT3_ATR3,5,0.0025,0.25%,0.03,3.00%,886,146,740,16.478555304740404,9403.296789303036,-5.967032106969638,-11.300102115989814,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.2821034478537756
ACT3_ATR3,5,0.005,0.50%,0.015,1.50%,886,82,804,9.255079006772009,9355.27413486712,-6.4472586513287915,-12.478311838803203,-12.1405951567058,-0.1480560384964122,0.8103032006764719,21.951219512195124,-26.330006674270436,6.497282608695648,-1.0,17,3,1.5000000000000002
ACT3_ATR3,8,0.005,0.50%,0.015,1.50%,886,82,804,9.255079006772009,9355.27413486712,-6.4472586513287915,-12.478311838803203,-12.1405951567058,-0.1480560384964122,0.8103032006764719,21.951219512195124,-26.330006674270436,6.497282608695648,-1.0,17,3,1.5000000000000002
ACT3_ATR3,10,0.005,0.50%,0.015,1.50%,886,82,804,9.255079006772009,9355.27413486712,-6.4472586513287915,-12.478311838803203,-12.1405951567058,-0.1480560384964122,0.8103032006764719,21.951219512195124,-26.330006674270436,6.497282608695648,-1.0,17,3,1.5000000000000002
ACT3_ATR3,12,0.005,0.50%,0.015,1.50%,886,82,804,9.255079006772009,9355.27413486712,-6.4472586513287915,-12.478311838803203,-12.1405951567058,-0.1480560384964122,0.8103032006764719,21.951219512195124,-26.330006674270436,6.497282608695648,-1.0,17,3,1.5000000000000002
ACT4_ATR3,5,0.005,0.50%,0.015,1.50%,782,80,702,10.230179028132993,9343.029013259305,-6.569709867406948,-7.712415938736469,-13.113900804841801,-0.1639237600605225,0.7982476799255107,18.75,-15.697367118379878,6.497282608695648,-1.0,14,3,1.5000000000000002
ACT4_ATR3,8,0.005,0.50%,0.015,1.50%,782,80,702,10.230179028132993,9343.029013259305,-6.569709867406948,-7.712415938736469,-13.113900804841801,-0.1639237600605225,0.7982476799255107,18.75,-15.697367118379878,6.497282608695648,-1.0,14,3,1.5000000000000002
ACT4_ATR3,10,0.005,0.50%,0.015,1.50%,782,80,702,10.230179028132993,9343.029013259305,-6.569709867406948,-7.712415938736469,-13.113900804841801,-0.1639237600605225,0.7982476799255107,18.75,-15.697367118379878,6.497282608695648,-1.0,14,3,1.5000000000000002
ACT4_ATR3,12,0.005,0.50%,0.015,1.50%,782,80,702,10.230179028132993,9343.029013259305,-6.569709867406948,-7.712415938736469,-13.113900804841801,-0.1639237600605225,0.7982476799255107,18.75,-15.697367118379878,6.497282608695648,-1.0,14,3,1.5000000000000002
ACT4_ATR3,8,0.0025,0.25%,0.02,2.00%,782,203,579,25.95907928388747,9280.8195365565,-7.191804634434995,-13.248754708546743,-27.327900428563435,-0.1346201991554849,0.8353740938038346,18.226600985221676,-56.09035830809155,9.513561741613136,-1.0,16,8,1.997893285917569
ACT4_ATR3,10,0.0025,0.25%,0.02,2.00%,782,203,579,25.95907928388747,9280.8195365565,-7.191804634434995,-13.248754708546743,-27.327900428563435,-0.1346201991554849,0.8353740938038346,18.226600985221676,-56.09035830809155,9.513561741613136,-1.0,16,8,1.997893285917569
ACT4_ATR3,12,0.0025,0.25%,0.02,2.00%,782,203,579,25.95907928388747,9280.8195365565,-7.191804634434995,-13.248754708546743,-27.327900428563435,-0.1346201991554849,0.8353740938038346,18.226600985221676,-56.09035830809155,9.513561741613136,-1.0,16,8,1.997893285917569
ACT4_ATR3,8,0.0025,0.25%,0.015,1.50%,782,159,623,20.33248081841432,9279.865814820441,-7.2013418517955845,-11.645148900542118,-28.73923055674532,-0.18074987771537937,0.7806165606355318,17.61006289308176,-49.27579794732034,9.513561741613136,-1.0,21,6,1.5
ACT4_ATR3,10,0.0025,0.25%,0.015,1.50%,782,159,623,20.33248081841432,9279.865814820441,-7.2013418517955845,-11.645148900542118,-28.73923055674532,-0.18074987771537937,0.7806165606355318,17.61006289308176,-49.27579794732034,9.513561741613136,-1.0,21,6,1.5
ACT4_ATR3,12,0.0025,0.25%,0.015,1.50%,782,159,623,20.33248081841432,9279.865814820441,-7.2013418517955845,-11.645148900542118,-28.73923055674532,-0.18074987771537937,0.7806165606355318,17.61006289308176,-49.27579794732034,9.513561741613136,-1.0,21,6,1.5
ACT3_ATR3,5,0.005,0.50%,0.02,2.00%,886,104,782,11.738148984198645,9256.76446763976,-7.432355323602402,-15.470647773892857,-14.53378737676096,-0.13974795554577846,0.8205705262128279,22.115384615384613,-33.278393023601055,8.720481226351023,-1.0,16,4,2.0
ACT3_ATR3,8,0.005,0.50%,0.02,2.00%,886,104,782,11.738148984198645,9256.76446763976,-7.432355323602402,-15.470647773892857,-14.53378737676096,-0.13974795554577846,0.8205705262128279,22.115384615384613,-33.278393023601055,8.720481226351023,-1.0,16,4,2.0
ACT3_ATR3,10,0.005,0.50%,0.02,2.00%,886,104,782,11.738148984198645,9256.76446763976,-7.432355323602402,-15.470647773892857,-14.53378737676096,-0.13974795554577846,0.8205705262128279,22.115384615384613,-33.278393023601055,8.720481226351023,-1.0,16,4,2.0
ACT3_ATR3,12,0.005,0.50%,0.02,2.00%,886,104,782,11.738148984198645,9256.76446763976,-7.432355323602402,-15.470647773892857,-14.53378737676096,-0.13974795554577846,0.8205705262128279,22.115384615384613,-33.278393023601055,8.720481226351023,-1.0,16,4,2.0
ACT3_ATR3,5,0.0035,0.35%,0.02,2.00%,886,146,740,16.478555304740404,9162.75023949965,-8.372497605003504,-15.504440979531045,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.813669144764349
ACT3_ATR3,5,0.0035,0.35%,0.03,3.00%,886,146,740,16.478555304740404,9162.75023949965,-8.372497605003504,-15.504440979531045,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.813669144764349
ACT3_ATR3,8,0.0035,0.35%,0.02,2.00%,886,146,740,16.478555304740404,9162.75023949965,-8.372497605003504,-15.504440979531045,-23.62404036063168,-0.1618084956207649,0.7927715757839326,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.813669144764349
