variant,max_open,risk_pct,max_heat,time,event,equity,peak,drawdown_pct,open_positions,portfolio_heat_pct
ACT4_ATR3,5,0.0025,0.015,2025-09-27 18:00:00+00:00,entry,10000.0,10000.0,0.0,1,0.25
ACT4_ATR3,5,0.0025,0.015,2025-09-28 00:00:00+00:00,entry,10000.0,10000.0,0.0,2,0.5
ACT4_ATR3,5,0.0025,0.015,2025-09-28 06:00:00+00:00,entry,10000.0,10000.0,0.0,3,0.75
ACT4_ATR3,5,0.0025,0.015,2025-09-29 00:00:00+00:00,exit,9975.0,10000.0,-0.25,2,0.5012531328320802
ACT4_ATR3,5,0.0025,0.015,2025-09-29 12:00:00+00:00,entry,9975.0,10000.0,-0.25,3,0.7512531328320802
ACT4_ATR3,5,0.0025,0.015,2025-09-29 18:00:00+00:00,entry,9975.0,10000.0,-0.25,4,1.0012531328320802
ACT4_ATR3,5,0.0025,0.015,2025-09-30 06:00:00+00:00,entry,9975.0,10000.0,-0.25,5,1.2512531328320802
ACT4_ATR3,5,0.0025,0.015,2025-09-30 12:00:00+00:00,exit,10052.15459262106,10052.15459262106,0.0,4,0.9929463288723088
ACT4_ATR3,5,0.0025,0.015,2025-09-30 12:00:00+00:00,exit,10027.21709262106,10052.15459262106,-0.24808114290547975,3,0.7467176516513225
ACT4_ATR3,5,0.0025,0.015,2025-09-30 12:00:00+00:00,entry,10027.21709262106,10052.15459262106,-0.24808114290547975,4,0.9967176516513225
ACT4_ATR3,5,0.0025,0.015,2025-09-30 12:00:00+00:00,entry,10027.21709262106,10052.15459262106,-0.24808114290547975,5,1.2467176516513225
ACT4_ATR3,5,0.0025,0.015,2025-10-01 00:00:00+00:00,exit,10002.149049889507,10052.15459262106,-0.4974609400482181,4,0.9992156908785188
ACT4_ATR3,5,0.0025,0.015,2025-10-01 00:00:00+00:00,entry,10002.149049889507,10052.15459262106,-0.4974609400482181,5,1.249215690878519
ACT4_ATR3,5,0.0025,0.015,2025-10-01 06:00:00+00:00,exit,9977.149049889507,10052.15459262106,-0.7461638402040875,4,1.0017733007344751
ACT4_ATR3,5,0.0025,0.015,2025-10-01 06:00:00+00:00,exit,9952.081007157954,10052.15459262106,-0.9955436373468258,3,0.7524091953317771
ACT4_ATR3,5,0.0025,0.015,2025-10-01 06:00:00+00:00,entry,9952.081007157954,10052.15459262106,-0.9955436373468258,4,1.0024091953317769
ACT4_ATR3,5,0.0025,0.015,2025-10-01 12:00:00+00:00,exit,9927.143507157954,10052.15459262106,-1.2436247802523055,3,0.7537221063508104
ACT4_ATR3,5,0.0025,0.015,2025-10-01 18:00:00+00:00,exit,9902.13813453323,10052.15459262106,-1.49238112790219,2,0.5031004601335346
ACT4_ATR3,5,0.0025,0.015,2025-10-01 18:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,3,0.7531004601335347
ACT4_ATR3,5,0.0025,0.015,2025-10-01 18:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,4,1.0031004601335345
ACT4_ATR3,5,0.0025,0.015,2025-10-02 00:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,5,1.2531004601335347
ACT4_ATR3,5,0.0025,0.015,2025-10-02 06:00:00+00:00,exit,9877.20063453323,10052.15459262106,-1.7404622708076696,4,1.0037888486364588
ACT4_ATR3,5,0.0025,0.015,2025-10-02 06:00:00+00:00,entry,9877.20063453323,10052.15459262106,-1.7404622708076696,5,1.2537888486364588
ACT4_ATR3,5,0.0025,0.015,2025-10-07 12:00:00+00:00,exit,9852.445289196898,10052.15459262106,-1.986731317987909,4,1.0056782034155376
ACT4_ATR3,5,0.0025,0.015,2025-10-07 12:00:00+00:00,entry,9852.445289196898,10052.15459262106,-1.986731317987909,5,1.2556782034155374
ACT4_ATR3,5,0.0025,0.015,2025-10-08 12:00:00+00:00,exit,9827.814175973905,10052.15459262106,-2.2317644896929467,4,1.0081987001659525
ACT4_ATR3,5,0.0025,0.015,2025-10-08 12:00:00+00:00,entry,9827.814175973905,10052.15459262106,-2.2317644896929467,5,1.2581987001659523
ACT4_ATR3,5,0.0025,0.015,2025-10-09 06:00:00+00:00,exit,9803.24464053397,10052.15459262106,-2.476185078468707,4,1.0107255139508295
ACT4_ATR3,5,0.0025,0.015,2025-10-09 06:00:00+00:00,entry,9803.24464053397,10052.15459262106,-2.476185078468707,5,1.2607255139508295
ACT4_ATR3,5,0.0025,0.015,2025-10-09 12:00:00+00:00,exit,9933.145860755598,10052.15459262106,-1.1839126703525085,4,0.995646355930717
ACT4_ATR3,5,0.0025,0.015,2025-10-09 12:00:00+00:00,entry,9933.145860755598,10052.15459262106,-1.1839126703525085,5,1.2456463559307172
ACT4_ATR3,5,0.0025,0.015,2025-10-09 18:00:00+00:00,exit,9908.312996103708,10052.15459262106,-1.4309528886766314,4,0.9981417102062327
ACT4_ATR3,5,0.0025,0.015,2025-10-10 12:00:00+00:00,exit,9883.557650767376,10052.15459262106,-1.6772219358568703,3,0.7501717708886563
ACT4_ATR3,5,0.0025,0.015,2025-10-10 12:00:00+00:00,entry,9883.557650767376,10052.15459262106,-1.6772219358568703,4,1.0001717708886562
ACT4_ATR3,5,0.0025,0.015,2025-10-10 12:00:00+00:00,entry,9883.557650767376,10052.15459262106,-1.6772219358568703,5,1.2501717708886564
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,exit,9858.67744824948,10052.15459262106,-1.9247330767635111,4,1.0009582493139264
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,exit,9895.524277290555,10052.15459262106,-1.5581765470009998,3,0.7470640037216209
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,exit,10128.6837101802,10128.6837101802,0.0,2,0.4878994118867366
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,exit,10289.224378271128,10289.224378271128,0.0,1,0.24014340846817273
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,exit,10413.643033992053,10413.643033992053,0.0,0,0.0
ACT4_ATR3,5,0.0025,0.015,2025-10-10 18:00:00+00:00,entry,10413.643033992053,10413.643033992053,0.0,1,0.25
