entry_bar,exit_bar,entry_price,exit_price,net_r,exit_reason,chandelier_active,symbol,chandelier_atr_mult,chandelier_activate_r
2025-02-10 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.000968,0.001293,0.1525421808108789,ema_cross,False,1000CHEEMS/USDT,3.0,4.0
2025-10-10 00:00:00+00:00,2025-10-27 00:00:00+00:00,0.001594,0.0010215702670066866,-1.005569242504804,stop,False,1000CHEEMS/USDT,3.0,4.0
2023-12-14 00:00:00+00:00,2024-01-23 00:00:00+00:00,0.000755,0.0004404,-0.4074235845381848,ema_cross,False,1000SATS/USDT,3.0,4.0
2024-03-08 00:00:00+00:00,2024-03-17 00:00:00+00:00,0.0006564,0.00046449649111098793,-1.0068409379672119,stop,False,1000SATS/USDT,3.0,4.0
2024-08-23 00:00:00+00:00,2024-08-28 00:00:00+00:00,0.0003899,0.0003079899891074441,-1.0095202038371462,stop,False,1000SATS/USDT,3.0,4.0
2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.0003113,0.00024412292142288888,-1.0092680422130196,stop,False,1000SATS/USDT,3.0,4.0
2023-09-19 00:00:00+00:00,2023-11-06 00:00:00+00:00,0.2518,0.3586,0.0023652145836252714,degen_close,True,1INCH/USDT,3.0,4.0
2024-11-22 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.3558,0.4751,0.00487745127406978,degen_close,True,1INCH/USDT,3.0,4.0
2025-07-13 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.3181,0.24474486977461987,-1.0086728767033104,stop,False,1INCH/USDT,3.0,4.0
2024-09-17 00:00:00+00:00,2025-01-22 00:00:00+00:00,0.0021473,0.0022559,0.04533335458148857,ema_cross,False,1MBABYDOGE/USDT,3.0,4.0
2023-09-09 00:00:00+00:00,2023-09-10 00:00:00+00:00,56.21,54.03,-0.5400383857671344,ema_cross,False,AAVE/USDT,3.0,4.0
2023-09-17 00:00:00+00:00,2023-10-24 00:00:00+00:00,59.34,83.51,0.6073349444601731,degen_close,True,AAVE/USDT,3.0,4.0
2024-02-20 00:00:00+00:00,2024-03-08 00:00:00+00:00,93.85,132.63,0.8926991945901036,degen_close,True,AAVE/USDT,3.0,4.0
2024-07-29 00:00:00+00:00,2024-08-05 00:00:00+00:00,104.96,91.77883190237709,-1.0159257509232325,stop,False,AAVE/USDT,3.0,4.0
2025-05-18 00:00:00+00:00,2025-08-24 00:00:00+00:00,232.12,348.67,4.708626967359756,degen_close,True,AAVE/USDT,3.0,4.0
2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,15.3897,13.2577,-0.09390984200574358,ema_cross,False,ACE/USDT,3.0,4.0
2024-03-06 00:00:00+00:00,2024-03-19 00:00:00+00:00,12.2415,9.015139842885311,-1.0075884274562499,stop,False,ACE/USDT,3.0,4.0
2023-09-09 00:00:00+00:00,2023-10-20 00:00:00+00:00,0.01422,0.01323,-0.5541632885437933,ema_cross,False,ACH/USDT,3.0,4.0
2023-10-24 00:00:00+00:00,2023-11-11 00:00:00+00:00,0.01587,0.02156,0.00016630216832012784,degen_close,True,ACH/USDT,3.0,4.0
