tf,donchian_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
4h,30,30,2.0,5745,0.23208951561557037,1333.3542672114518,0.46440382941688424,1.4876810062354944,4,4.670763208970167,1.1676908022425418,193,-7.258037152363112,-0.03760641011587105,605,-50.060469455070304,-0.08274457761168645,830,383.0674448303419,0.46152704196426736,982,158.45597590551617,0.16136046426223644,1435,497.4407701056921,0.34664862028271226,1282,272.69925599610826,0.2127139282340938,414,74.33856377225678,0.1795617482421661,True,0.2045212309301905,False
6h,15,25,2.0,5511,0.22670819960517324,1249.3888880241097,0.4895663219016512,1.5125453539793023,2,-0.7473517575605362,-0.3736758787802681,163,-14.456089091847836,-0.08868766314017078,495,24.215936796609686,0.048921084437595325,895,347.50250866986244,0.38827095940766754,887,185.66789677683306,0.20932119140567426,1380,304.58728876786483,0.2207154266433803,1271,328.93321722390374,0.2587987547001603,418,73.68548063844452,0.17628105415895817,True,0.26327528632346553,False
6h,25,25,2.0,4220,0.22234480684769767,938.2950848972841,0.49265402843601896,1.516144224282569,1,-1.0,-1.0,125,-12.429797713777644,-0.09943838171022115,380,0.7802529102179365,0.0020532971321524647,662,294.5674962784822,0.4449660064629641,652,203.0158695050231,0.31137403298316424,1096,187.13628464046803,0.1707447852559015,976,194.8925964136907,0.19968503730910933,328,71.33238286317976,0.2174767770218895,True,0.2077092798957012,False
4h,30,25,2.0,5930,0.2175198586390343,1289.8927617294735,0.4790893760539629,1.4809311146654554,4,6.298959428480148,1.574739857120037,196,-1.5658517142419885,-0.007989039358377492,610,-39.67526565002182,-0.06504141909839643,872,304.18623300761266,0.34883742317386773,1027,148.49109819427372,0.144587242642915,1487,497.8645907926018,0.33481142622232807,1311,295.17837155806023,0.2251551270465753,423,79.11462611270873,0.18703221303240836,True,0.22883946659433024,False
4h,15,30,2.0,8086,0.2156555036357007,1743.790402398276,0.4605490972050458,1.4465690948770413,5,4.500778362468649,0.9001556724937299,257,-4.182473454007116,-0.016274215774346755,837,-42.87016890345311,-0.05121883978907182,1210,543.0478899642899,0.4487999090613966,1402,113.560267508341,0.08099876427128459,1976,534.5244397270475,0.27050831969992284,1823,489.847427321987,0.2687040193757471,576,105.36224187160205,0.18292055880486469,True,0.28090957872476435,False
4h,20,30,2.0,6988,0.2137817405788925,1493.9068031653007,0.45692615912993706,1.4433379663955994,4,4.670763208970167,1.1676908022425418,235,-6.081769601374614,-0.025879870644147294,744,-39.515799939544145,-0.05311263432734428,1030,448.3233470873603,0.435265385521709,1230,131.56735693005345,0.10696533083744184,1723,478.61027523099904,0.27777729264712653,1523,397.6182255036317,0.26107565692950213,499,78.71440474520466,0.1577442980865825,True,0.26615999382368116,False
6h,20,25,2.0,4813,0.2119672180399203,1020.1982204261365,0.4899231248701434,1.4842729581012255,2,-0.7473517575605362,-0.3736758787802681,143,-13.30078384362347,-0.09301247443093336,441,-4.983946831126922,-0.011301466737249258,759,306.0536056029904,0.403232681953874,748,188.79682786520772,0.25240217629038464,1227,202.92316175224636,0.1653815499203312,1138,257.610599395823,0.22637135272040684,355,83.84610824218004,0.23618622040050716,True,0.2525103398908294,False
4h,25,30,2.0,6353,0.21078258216585113,1339.1017444996523,0.45820872028962695,1.4368018167660108,4,4.670763208970167,1.1676908022425418,218,-14.623637542277036,-0.06708090615723411,668,-58.32053615396797,-0.08730619184725744,929,405.8190346775636,0.43683426768306094,1106,135.43202994672382,0.12245210664260743,1579,501.25510458696476,0.3174509845389264,1393,293.6182004397667,0.21078119198834652,456,71.25078533590826,0.15625172222786898,True,0.21926504214171977,False
6h,25,20,2.0,4376,0.2087246432868658,913.3790390233247,0.5059414990859232,1.520539724730099,1,-1.0,-1.0,131,-16.25704680361921,-0.12409959392075734,390,-18.769664874885986,-0.04812734583304099,700,284.5472187710034,0.4064960268157191,663,174.73693654481463,0.2635549570811684,1109,324.9888649009049,0.2930467672686248,1030,113.84521522308013,0.11052933516803896,352,51.287515262026886,0.14570316835803093,True,0.12464180844878453,False
6h,15,30,2.0,5279,0.20844516250372422,1100.3820128571601,0.4750899791627202,1.44101143926774,2,0.892798693424635,0.4463993467123175,158,-34.125970421438396,-0.2159871545660658,477,4.429882275369867,0.00928696493788232,867,297.9525267404805,0.3436592003927111,827,187.39615597145868,0.22659752838144945,1337,221.71227794890078,0.16582818096402452,1210,338.71817458075054,0.2799323756865707,401,83.40616706821359,0.2079954290977895,True,0.307818712613507,False
