timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
2h,none,5,10,50,2.0,5,4401,0.5315,-0.0153,0.9507,118.4,4.1,-67.46
2h,none,5,10,50,2.0,10,4261,0.5426,-0.0271,0.93,162.79,5.7,-115.53
2h,none,5,10,50,2.0,15,4237,0.5636,-0.029,0.9278,163.47,6.1,-122.86
2h,none,5,10,50,2.0,20,4234,0.565,-0.0282,0.9297,162.14,6.2,-119.56
2h,none,5,10,50,3.0,5,4243,0.5597,-0.0043,0.9793,58.28,4.4,-18.34
2h,none,5,10,50,3.0,10,4026,0.5961,-0.0085,0.9679,91.78,6.5,-34.16
2h,none,5,10,50,3.0,15,3987,0.6275,-0.0097,0.9649,90.05,7.2,-38.52
2h,none,5,10,50,3.0,20,3979,0.6288,-0.01,0.9638,92.52,7.3,-39.85
2h,none,5,10,50,4.0,5,4162,0.5634,-0.0071,0.9561,57.36,4.5,-29.38
2h,none,5,10,50,4.0,10,3906,0.6073,-0.0107,0.9474,76.82,6.9,-41.96
2h,none,5,10,50,4.0,15,3834,0.639,-0.014,0.9348,83.56,7.7,-53.76
2h,none,5,10,50,4.0,20,3822,0.6413,-0.0143,0.934,87.65,8.0,-54.52
2h,none,5,10,55,2.0,5,4401,0.5276,-0.0138,0.9558,118.04,4.2,-60.8
2h,none,5,10,55,2.0,10,4261,0.5201,-0.0203,0.9492,147.11,6.3,-86.7
2h,none,5,10,55,2.0,15,4235,0.54,-0.0206,0.9515,140.48,6.9,-87.23
2h,none,5,10,55,2.0,20,4227,0.5465,-0.0206,0.9519,140.66,7.1,-87.28
2h,none,5,10,55,3.0,5,4243,0.5548,-0.0031,0.985,56.28,4.5,-13.36
2h,none,5,10,55,3.0,10,4025,0.5734,-0.0037,0.9863,78.4,7.1,-15.08
2h,none,5,10,55,3.0,15,3983,0.6141,-0.0019,0.9937,65.82,8.2,-7.41
2h,none,5,10,55,3.0,20,3968,0.6222,-0.005,0.9832,76.3,8.5,-19.87
2h,none,5,10,55,4.0,5,4162,0.5589,-0.0058,0.964,54.89,4.6,-24.18
2h,none,5,10,55,4.0,10,3905,0.5862,-0.0074,0.9653,67.29,7.5,-28.82
2h,none,5,10,55,4.0,15,3828,0.6298,-0.0095,0.9587,68.37,8.8,-36.5
2h,none,5,10,55,4.0,20,3808,0.6405,-0.0123,0.948,78.89,9.3,-46.72
2h,none,5,10,60,2.0,5,4401,0.5267,-0.0127,0.9593,113.5,4.3,-56.0
2h,none,5,10,60,2.0,10,4261,0.5001,-0.0158,0.9614,131.81,6.8,-67.47
2h,none,5,10,60,2.0,15,4234,0.5078,-0.0173,0.9612,131.12,7.8,-73.41
2h,none,5,10,60,2.0,20,4223,0.5155,-0.0214,0.9535,141.22,8.3,-90.32
2h,none,5,10,60,3.0,5,4243,0.5539,-0.0024,0.9883,54.55,4.6,-10.38
2h,none,5,10,60,3.0,10,4024,0.5512,0.0009,1.0033,69.48,7.7,3.79
2h,none,5,10,60,3.0,15,3979,0.5828,-0.0013,0.996,70.4,9.2,-5.05
2h,none,5,10,60,3.0,20,3956,0.5968,-0.009,0.9726,90.82,10.0,-35.64
2h,none,5,10,60,4.0,5,4162,0.5579,-0.0053,0.9672,53.03,4.7,-22.07
2h,none,5,10,60,4.0,10,3905,0.5644,-0.0032,0.9853,57.51,8.1,-12.59
2h,none,5,10,60,4.0,15,3823,0.6024,-0.0092,0.9632,72.52,9.9,-35.05
