timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
1d,none,2,10,50,2.0,5,2911,0.6218,0.0177,1.0972,12.14,2.8,51.58
1d,none,2,10,50,2.0,10,2800,0.6318,0.0206,1.112,10.87,3.1,57.79
1d,none,2,10,50,2.0,15,2798,0.6315,0.0202,1.1093,11.8,3.1,56.42
1d,none,2,10,50,2.0,20,2798,0.6315,0.0202,1.1093,11.8,3.1,56.42
1d,none,2,10,50,3.0,5,2851,0.6338,0.027,1.2442,7.98,3.0,76.91
1d,none,2,10,50,3.0,10,2675,0.6407,0.0236,1.2057,8.77,3.4,63.1
1d,none,2,10,50,3.0,15,2670,0.6412,0.0243,1.2132,7.39,3.4,64.99
1d,none,2,10,50,3.0,20,2669,0.6411,0.0241,1.2112,7.39,3.4,64.42
1d,none,2,10,50,4.0,5,2836,0.6354,0.0213,1.2603,4.33,3.0,60.41
1d,none,2,10,50,4.0,10,2636,0.6407,0.0166,1.1925,5.21,3.4,43.77
1d,none,2,10,50,4.0,15,2626,0.6409,0.0179,1.2092,5.35,3.5,46.9
1d,none,2,10,50,4.0,20,2624,0.6406,0.0176,1.2056,5.35,3.5,46.14
1d,none,2,10,55,2.0,5,2889,0.6134,0.0222,1.117,11.97,3.0,64.25
1d,none,2,10,55,2.0,10,2750,0.6342,0.0241,1.1234,13.46,3.4,66.31
1d,none,2,10,55,2.0,15,2748,0.6346,0.0248,1.1274,11.89,3.4,68.24
1d,none,2,10,55,2.0,20,2747,0.6345,0.0246,1.126,12.61,3.4,67.52
1d,none,2,10,55,3.0,5,2832,0.6261,0.03,1.2599,7.76,3.2,85.0
1d,none,2,10,55,3.0,10,2616,0.6441,0.025,1.2024,8.38,3.7,65.3
1d,none,2,10,55,3.0,15,2606,0.645,0.0266,1.2176,7.26,3.7,69.29
1d,none,2,10,55,3.0,20,2604,0.6448,0.0262,1.2141,7.26,3.7,68.24
1d,none,2,10,55,4.0,5,2817,0.6273,0.0236,1.2762,4.3,3.2,66.48
1d,none,2,10,55,4.0,10,2579,0.6456,0.0178,1.192,5.62,3.8,45.93
1d,none,2,10,55,4.0,15,2555,0.6454,0.0199,1.2185,5.52,3.9,50.91
1d,none,2,10,55,4.0,20,2553,0.6451,0.0196,1.2143,5.52,3.9,50.01
1d,none,2,10,60,2.0,5,2879,0.6078,0.0275,1.1398,10.3,3.2,79.11
1d,none,2,10,60,2.0,10,2698,0.6338,0.0219,1.1036,14.15,3.7,58.96
1d,none,2,10,60,2.0,15,2692,0.6341,0.0228,1.1082,12.75,3.7,61.27
1d,none,2,10,60,2.0,20,2691,0.634,0.0225,1.1069,13.47,3.7,60.55
1d,none,2,10,60,3.0,5,2820,0.6199,0.0326,1.2712,7.48,3.4,91.98
1d,none,2,10,60,3.0,10,2549,0.643,0.0226,1.169,12.42,4.1,57.56
1d,none,2,10,60,3.0,15,2528,0.644,0.0254,1.1924,9.42,4.2,64.18
1d,none,2,10,60,3.0,20,2527,0.6438,0.025,1.189,9.42,4.2,63.12
1d,none,2,10,60,4.0,5,2805,0.621,0.0251,1.2808,3.97,3.4,70.4
1d,none,2,10,60,4.0,10,2511,0.6448,0.0163,1.1634,6.45,4.2,41.03
1d,none,2,10,60,4.0,15,2471,0.6435,0.0186,1.1887,6.46,4.4,45.92
1d,none,2,10,60,4.0,20,2470,0.6433,0.0183,1.1853,6.36,4.4,45.14
1d,none,2,10,65,2.0,5,2864,0.6006,0.0392,1.1944,10.49,3.5,112.13
1d,none,2,10,65,2.0,10,2632,0.6307,0.0261,1.1152,14.81,4.1,68.7
1d,none,2,10,65,2.0,15,2621,0.6333,0.029,1.1291,13.67,4.2,76.08
1d,none,2,10,65,2.0,20,2618,0.6329,0.0284,1.1262,14.39,4.2,74.39
1d,none,2,10,65,3.0,5,2805,0.6125,0.0402,1.3259,6.05,3.6,112.83
1d,none,2,10,65,3.0,10,2484,0.6437,0.027,1.1879,11.91,4.6,67.05
1d,none,2,10,65,3.0,15,2454,0.6471,0.0327,1.2342,9.88,4.7,80.27
1d,none,2,10,65,3.0,20,2448,0.6462,0.0318,1.2267,10.36,4.8,77.86
1d,none,2,10,65,4.0,5,2790,0.6133,0.0302,1.3279,3.43,3.7,84.33
1d,none,2,10,65,4.0,10,2445,0.6462,0.0192,1.1781,7.81,4.7,46.99
1d,none,2,10,65,4.0,15,2391,0.6474,0.0227,1.215,7.42,4.9,54.3
1d,none,2,10,65,4.0,20,2380,0.6462,0.0217,1.2033,7.87,5.0,51.54
1d,none,2,15,50,2.0,5,3838,0.6068,-0.004,0.9795,38.66,2.8,-15.34
1d,none,2,15,50,2.0,10,3668,0.6131,-0.0044,0.9777,35.65,3.1,-16.27
1d,none,2,15,50,2.0,15,3664,0.613,-0.0046,0.9766,36.36,3.1,-17.04
1d,none,2,15,50,2.0,20,3664,0.613,-0.0046,0.9766,36.36,3.1,-17.04
1d,none,2,15,50,3.0,5,3753,0.6166,0.0099,1.0819,9.27,3.0,37.01
1d,none,2,15,50,3.0,10,3490,0.6221,0.0079,1.0643,10.64,3.4,27.73
1d,none,2,15,50,3.0,15,3480,0.6224,0.0093,1.0756,9.36,3.4,32.26
1d,none,2,15,50,3.0,20,3479,0.6223,0.0091,1.0742,9.36,3.4,31.69
1d,none,2,15,50,4.0,5,3723,0.6167,0.0091,1.1019,7.22,3.0,33.7
1d,none,2,15,50,4.0,10,3423,0.6217,0.0042,1.0452,9.9,3.5,14.51
1d,none,2,15,50,4.0,15,3403,0.6212,0.0055,1.0593,8.97,3.5,18.7
1d,none,2,15,50,4.0,20,3401,0.621,0.0053,1.0573,8.97,3.5,18.08
1d,none,2,15,55,2.0,5,3786,0.5998,-0.0009,0.9953,34.64,3.0,-3.59
1d,none,2,15,55,2.0,10,3575,0.6137,-0.0017,0.992,31.84,3.4,-6.0
1d,none,2,15,55,2.0,15,3569,0.6133,-0.0017,0.992,30.83,3.4,-5.96
1d,none,2,15,55,2.0,20,3568,0.6135,-0.0018,0.9915,31.18,3.4,-6.31
1d,none,2,15,55,3.0,5,3706,0.6106,0.0127,1.1017,8.81,3.2,47.14
1d,none,2,15,55,3.0,10,3385,0.6225,0.0093,1.0709,12.32,3.7,31.53
1d,none,2,15,55,3.0,15,3367,0.6222,0.0109,1.0836,10.47,3.8,36.69
1d,none,2,15,55,3.0,20,3365,0.6223,0.0107,1.0817,10.71,3.8,35.89
1d,none,2,15,55,4.0,5,3678,0.6109,0.0114,1.1243,5.88,3.2,42.1
