timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
4h,ema200_price_above,7,25,60,4.0,5,134,0.5224,-0.0311,0.8095,6.01,4.6,-4.17
4h,ema200_price_above,7,25,60,4.0,10,112,0.4107,-0.0789,0.6685,12.57,8.5,-8.84
4h,ema200_price_above,7,25,60,4.0,15,110,0.4727,-0.0725,0.7138,13.26,11.4,-7.98
4h,ema200_price_above,7,25,60,4.0,20,105,0.4667,-0.1079,0.6352,16.97,13.8,-11.33
4h,ema200_price_above,7,25,65,2.0,5,136,0.5147,-0.0109,0.9602,7.77,4.4,-1.49
4h,ema200_price_above,7,25,65,2.0,10,118,0.3983,-0.0675,0.8346,19.18,7.8,-7.96
4h,ema200_price_above,7,25,65,2.0,15,117,0.4017,-0.0779,0.8323,22.32,10.4,-9.12
4h,ema200_price_above,7,25,65,2.0,20,114,0.3596,-0.1435,0.7459,28.65,11.7,-16.36
4h,ema200_price_above,7,25,65,3.0,5,135,0.5185,-0.0171,0.9126,5.4,4.6,-2.31
4h,ema200_price_above,7,25,65,3.0,10,114,0.4035,-0.0672,0.7689,14.22,8.6,-7.66
4h,ema200_price_above,7,25,65,3.0,15,112,0.4375,-0.0492,0.8433,13.9,11.8,-5.51
4h,ema200_price_above,7,25,65,3.0,20,108,0.3981,-0.106,0.734,19.83,14.2,-11.45
4h,ema200_price_above,7,25,65,4.0,5,134,0.5224,-0.0283,0.8265,5.75,4.7,-3.8
4h,ema200_price_above,7,25,65,4.0,10,112,0.4107,-0.0672,0.7175,12.19,8.9,-7.53
4h,ema200_price_above,7,25,65,4.0,15,110,0.4364,-0.0577,0.7756,12.39,12.3,-6.35
4h,ema200_price_above,7,25,65,4.0,20,105,0.4095,-0.1007,0.6847,16.9,14.9,-10.57
4h,ema200_price_above,7,30,50,2.0,5,305,0.5246,0.003,1.0135,12.16,4.3,0.92
4h,ema200_price_above,7,30,50,2.0,10,266,0.5451,0.0232,1.0808,7.51,6.5,6.17
4h,ema200_price_above,7,30,50,2.0,15,258,0.6085,0.0343,1.1115,7.03,7.4,8.85
4h,ema200_price_above,7,30,50,2.0,20,255,0.6275,0.0297,1.0944,7.15,7.7,7.57
4h,ema200_price_above,7,30,50,3.0,5,301,0.515,-0.0083,0.9472,8.9,4.4,-2.51
4h,ema200_price_above,7,30,50,3.0,10,260,0.5615,0.0106,1.054,5.8,7.1,2.75
4h,ema200_price_above,7,30,50,3.0,15,248,0.6331,0.0191,1.0915,5.84,8.4,4.73
4h,ema200_price_above,7,30,50,3.0,20,244,0.6516,0.0153,1.0713,5.46,9.0,3.73
4h,ema200_price_above,7,30,50,4.0,5,300,0.5167,-0.0157,0.8772,8.42,4.5,-4.72
4h,ema200_price_above,7,30,50,4.0,10,256,0.5625,-0.002,0.9876,5.79,7.3,-0.5
4h,ema200_price_above,7,30,50,4.0,15,244,0.6352,0.0027,1.016,5.53,8.7,0.66
4h,ema200_price_above,7,30,50,4.0,20,240,0.6583,0.0004,1.0022,6.8,9.4,0.09
4h,ema200_price_above,7,30,55,2.0,5,305,0.518,0.0067,1.0298,10.22,4.5,2.05
4h,ema200_price_above,7,30,55,2.0,10,263,0.4943,0.0238,1.079,8.14,7.2,6.26
4h,ema200_price_above,7,30,55,2.0,15,253,0.5534,0.0273,1.08,7.24,8.7,6.9
4h,ema200_price_above,7,30,55,2.0,20,248,0.5887,0.0092,1.025,10.22,9.3,2.28
4h,ema200_price_above,7,30,55,3.0,5,301,0.5083,-0.0058,0.9633,7.67,4.6,-1.76
4h,ema200_price_above,7,30,55,3.0,10,257,0.5019,0.008,1.0383,5.53,7.8,2.05
4h,ema200_price_above,7,30,55,3.0,15,243,0.572,0.0096,1.0409,5.42,9.8,2.34
4h,ema200_price_above,7,30,55,3.0,20,237,0.616,-0.0102,0.9615,9.82,10.9,-2.42
4h,ema200_price_above,7,30,55,4.0,5,300,0.51,-0.0139,0.8926,8.11,4.7,-4.16
4h,ema200_price_above,7,30,55,4.0,10,253,0.502,-0.0049,0.9707,6.06,8.0,-1.24
4h,ema200_price_above,7,30,55,4.0,15,239,0.5732,-0.0059,0.9691,7.13,10.1,-1.41
4h,ema200_price_above,7,30,55,4.0,20,233,0.6266,-0.0225,0.8961,11.64,11.5,-5.24
4h,ema200_price_above,7,30,60,2.0,5,305,0.5115,0.0081,1.0357,8.84,4.6,2.47
4h,ema200_price_above,7,30,60,2.0,10,263,0.4715,0.0374,1.1204,9.27,7.8,9.83
4h,ema200_price_above,7,30,60,2.0,15,249,0.4819,0.0121,1.0321,12.33,9.9,3.01
4h,ema200_price_above,7,30,60,2.0,20,240,0.5125,-0.0074,0.9822,14.45,11.0,-1.78
4h,ema200_price_above,7,30,60,3.0,5,301,0.5017,-0.0046,0.971,6.74,4.7,-1.4
4h,ema200_price_above,7,30,60,3.0,10,257,0.4747,0.0145,1.0673,5.41,8.4,3.72
4h,ema200_price_above,7,30,60,3.0,15,239,0.5146,0.0143,1.057,7.13,11.0,3.42
4h,ema200_price_above,7,30,60,3.0,20,228,0.557,-0.0157,0.9473,11.21,12.7,-3.59
4h,ema200_price_above,7,30,60,4.0,5,300,0.5033,-0.013,0.9002,7.33,4.7,-3.89
4h,ema200_price_above,7,30,60,4.0,10,253,0.4743,0.0001,1.0004,5.06,8.6,0.02
4h,ema200_price_above,7,30,60,4.0,15,235,0.5149,-0.0033,0.9838,6.59,11.3,-0.78
4h,ema200_price_above,7,30,60,4.0,20,224,0.567,-0.0287,0.8825,12.33,13.3,-6.43
4h,ema200_price_above,7,30,65,2.0,5,305,0.5082,0.0033,1.0146,8.25,4.6,1.01
4h,ema200_price_above,7,30,65,2.0,10,262,0.4427,0.0293,1.092,9.43,8.2,7.67
4h,ema200_price_above,7,30,65,2.0,15,246,0.4431,0.0044,1.0109,10.1,10.8,1.07
4h,ema200_price_above,7,30,65,2.0,20,238,0.458,-0.0037,0.9918,12.47,12.4,-0.89
4h,ema200_price_above,7,30,65,3.0,5,301,0.4983,-0.0079,0.9507,6.57,4.8,-2.37
4h,ema200_price_above,7,30,65,3.0,10,255,0.4471,0.0117,1.0527,5.02,8.8,2.99
4h,ema200_price_above,7,30,65,3.0,15,235,0.4766,0.0123,1.0453,7.81,12.0,2.89
4h,ema200_price_above,7,30,65,3.0,20,225,0.4933,-0.0194,0.9424,12.42,14.2,-4.37
4h,ema200_price_above,7,30,65,4.0,5,300,0.5,-0.0154,0.8814,7.37,4.8,-4.62
4h,ema200_price_above,7,30,65,4.0,10,251,0.4462,-0.0009,0.9951,4.17,9.0,-0.22
4h,ema200_price_above,7,30,65,4.0,15,231,0.4762,-0.0071,0.9679,7.04,12.4,-1.64
4h,ema200_price_above,7,30,65,4.0,20,221,0.5023,-0.0273,0.9,12.16,15.0,-6.04
4h,ema200_price_above,10,10,50,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,50,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,55,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,60,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,10,65,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,50,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,55,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,60,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,2.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,2.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,2.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,2.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,3.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,3.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,3.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,4.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,4.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,4.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,15,65,4.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,20,50,2.0,5,2,0.5,-0.2055,0.437,0.73,5.0,-0.41
4h,ema200_price_above,10,20,50,2.0,10,2,0.0,-0.3102,0.0,0.47,10.0,-0.62
4h,ema200_price_above,10,20,50,2.0,15,2,0.0,-0.5249,0.0,1.0,14.0,-1.05
4h,ema200_price_above,10,20,50,2.0,20,2,0.0,-1.0,0.0,1.0,16.5,-2.0
4h,ema200_price_above,10,20,50,3.0,5,2,0.5,-0.137,0.437,0.49,5.0,-0.27
