timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
6h,none,5,10,50,2.0,5,427,0.5105,-0.0065,0.9764,13.5,4.0,-2.8
6h,none,5,10,50,2.0,10,411,0.5742,0.0601,1.1797,10.99,5.9,24.68
6h,none,5,10,50,2.0,15,399,0.5815,0.0155,1.0409,15.91,6.3,6.17
6h,none,5,10,50,2.0,20,398,0.5779,0.0071,1.0184,16.31,6.4,2.81
6h,none,5,10,50,3.0,5,407,0.5651,0.0477,1.298,5.24,4.4,19.41
6h,none,5,10,50,3.0,10,387,0.646,0.1085,1.5745,5.4,6.6,41.98
6h,none,5,10,50,3.0,15,374,0.6631,0.0668,1.2855,8.17,7.5,24.99
6h,none,5,10,50,3.0,20,373,0.6622,0.0708,1.3067,8.17,7.7,26.4
6h,none,5,10,50,4.0,5,403,0.5806,0.0493,1.4435,4.55,4.5,19.89
6h,none,5,10,50,4.0,10,381,0.6614,0.0927,1.6822,3.96,6.9,35.31
6h,none,5,10,50,4.0,15,364,0.6786,0.0523,1.2941,7.1,8.0,19.06
6h,none,5,10,50,4.0,20,363,0.6749,0.0594,1.3474,7.97,8.3,21.57
6h,none,5,10,55,2.0,5,427,0.5059,-0.0092,0.9673,13.17,4.1,-3.91
6h,none,5,10,55,2.0,10,411,0.545,0.058,1.17,10.27,6.5,23.86
6h,none,5,10,55,2.0,15,397,0.5491,0.002,1.0048,15.42,7.5,0.78
6h,none,5,10,55,2.0,20,395,0.5215,-0.0284,0.9352,23.03,7.8,-11.22
6h,none,5,10,55,3.0,5,407,0.5602,0.0451,1.2777,4.87,4.5,18.37
6h,none,5,10,55,3.0,10,387,0.6202,0.108,1.5517,5.64,7.4,41.81
6h,none,5,10,55,3.0,15,373,0.6327,0.0443,1.1615,8.1,8.8,16.52
6h,none,5,10,55,3.0,20,372,0.6102,0.0272,1.0934,9.7,9.4,10.1
6h,none,5,10,55,4.0,5,403,0.5757,0.0484,1.4314,4.5,4.6,19.51
6h,none,5,10,55,4.0,10,381,0.6404,0.0951,1.6843,3.79,7.7,36.25
6h,none,5,10,55,4.0,15,363,0.6529,0.0361,1.1732,7.04,9.4,13.1
6h,none,5,10,55,4.0,20,362,0.6243,0.0271,1.1251,9.52,10.3,9.82
6h,none,5,10,60,2.0,5,427,0.5059,-0.0155,0.9447,14.17,4.2,-6.61
6h,none,5,10,60,2.0,10,411,0.5401,0.0538,1.157,13.16,7.1,22.1
6h,none,5,10,60,2.0,15,397,0.5365,0.0064,1.0149,17.34,8.5,2.52
6h,none,5,10,60,2.0,20,395,0.4785,-0.0643,0.8661,37.79,9.2,-25.39
6h,none,5,10,60,3.0,5,407,0.5602,0.0386,1.2371,5.54,4.6,15.69
6h,none,5,10,60,3.0,10,387,0.615,0.1013,1.5153,5.2,8.2,39.2
6h,none,5,10,60,3.0,15,373,0.6113,0.0367,1.1278,8.42,10.3,13.7
6h,none,5,10,60,3.0,20,372,0.5645,-0.0166,0.9492,14.76,11.5,-6.19
6h,none,5,10,60,4.0,5,403,0.5757,0.0432,1.3849,4.56,4.8,17.41
6h,none,5,10,60,4.0,10,381,0.6352,0.0912,1.656,3.82,8.5,34.76
6h,none,5,10,60,4.0,15,363,0.6281,0.0265,1.1199,7.21,10.9,9.62
6h,none,5,10,60,4.0,20,362,0.5773,-0.0071,0.9709,12.31,12.6,-2.59
6h,none,5,10,65,2.0,5,427,0.5059,-0.0169,0.9398,14.17,4.3,-7.2
6h,none,5,10,65,2.0,10,411,0.5377,0.0521,1.1517,14.23,7.4,21.4
6h,none,5,10,65,2.0,15,397,0.5139,0.0092,1.0209,17.6,9.2,3.64
6h,none,5,10,65,2.0,20,395,0.4354,-0.0865,0.8294,40.67,10.3,-34.19
6h,none,5,10,65,3.0,5,407,0.5602,0.0381,1.2344,5.54,4.6,15.51
6h,none,5,10,65,3.0,10,387,0.6124,0.1004,1.5106,5.56,8.5,38.87
6h,none,5,10,65,3.0,15,373,0.5871,0.0382,1.1301,9.43,11.1,14.24
6h,none,5,10,65,3.0,20,372,0.5215,-0.0419,0.8809,23.1,12.8,-15.59
6h,none,5,10,65,4.0,5,403,0.5757,0.0429,1.3819,4.56,4.8,17.27
6h,none,5,10,65,4.0,10,381,0.6325,0.0888,1.6334,3.96,8.9,33.84
6h,none,5,10,65,4.0,15,363,0.6033,0.0256,1.112,8.0,11.8,9.29
6h,none,5,10,65,4.0,20,362,0.5359,-0.031,0.8849,18.19,14.0,-11.23
6h,none,5,15,50,2.0,5,978,0.5204,-0.0448,0.8422,49.48,4.1,-43.8
6h,none,5,15,50,2.0,10,900,0.5644,0.0142,1.0423,18.36,5.8,12.82
6h,none,5,15,50,2.0,15,871,0.5786,-0.0086,0.9766,33.44,6.3,-7.5
6h,none,5,15,50,2.0,20,870,0.5816,-0.0071,0.9807,30.24,6.3,-6.17
6h,none,5,15,50,3.0,5,951,0.5573,-0.0021,0.9882,14.79,4.3,-1.99
6h,none,5,15,50,3.0,10,846,0.6241,0.0437,1.2029,10.26,6.4,36.99
6h,none,5,15,50,3.0,15,808,0.6473,0.017,1.0686,15.04,7.1,13.71
6h,none,5,15,50,3.0,20,803,0.6476,0.019,1.0778,14.59,7.3,15.29
6h,none,5,15,50,4.0,5,936,0.5684,0.0084,1.0668,7.82,4.5,7.82
6h,none,5,15,50,4.0,10,822,0.6436,0.0385,1.2418,7.76,6.7,31.66
6h,none,5,15,50,4.0,15,782,0.6662,0.0184,1.0998,12.44,7.6,14.38
6h,none,5,15,50,4.0,20,775,0.6658,0.0228,1.1269,12.03,7.9,17.69
6h,none,5,15,55,2.0,5,978,0.5102,-0.0512,0.8222,56.2,4.2,-50.04
6h,none,5,15,55,2.0,10,899,0.535,0.0152,1.0435,19.72,6.4,13.66
6h,none,5,15,55,2.0,15,865,0.5514,-0.0182,0.9548,41.41,7.3,-15.78
6h,none,5,15,55,2.0,20,860,0.5512,-0.0234,0.9432,42.53,7.5,-20.16
6h,none,5,15,55,3.0,5,951,0.5468,-0.0056,0.9688,17.85,4.5,-5.36
6h,none,5,15,55,3.0,10,846,0.5898,0.0487,1.2181,10.96,7.1,41.21
6h,none,5,15,55,3.0,15,796,0.6193,0.0054,1.0191,15.53,8.4,4.28
6h,none,5,15,55,3.0,20,788,0.6206,0.0024,1.0084,16.65,8.8,1.89
6h,none,5,15,55,4.0,5,936,0.5577,0.0057,1.0446,9.42,4.6,5.3
6h,none,5,15,55,4.0,10,822,0.6119,0.0426,1.2579,8.34,7.5,35.05
6h,none,5,15,55,4.0,15,770,0.6351,0.0054,1.0254,13.37,9.0,4.17
6h,none,5,15,55,4.0,20,757,0.6367,0.0059,1.0274,13.46,9.7,4.44
6h,none,5,15,60,2.0,5,978,0.5072,-0.0533,0.8158,57.91,4.3,-52.12
6h,none,5,15,60,2.0,10,898,0.5134,0.0121,1.0337,20.46,7.0,10.86
6h,none,5,15,60,2.0,15,854,0.5141,-0.0193,0.9553,42.06,8.2,-16.49
6h,none,5,15,60,2.0,20,848,0.5177,-0.0206,0.9539,43.91,8.8,-17.46
6h,none,5,15,60,3.0,5,951,0.5436,-0.0072,0.9604,17.33,4.6,-6.82
6h,none,5,15,60,3.0,10,846,0.565,0.0459,1.2003,11.78,7.8,38.83
6h,none,5,15,60,3.0,15,784,0.5753,0.0011,1.0037,19.59,9.6,0.87
6h,none,5,15,60,3.0,20,775,0.5871,-0.0038,0.988,24.42,10.4,-2.92
6h,none,5,15,60,4.0,5,936,0.5545,0.0041,1.032,9.47,4.8,3.82
6h,none,5,15,60,4.0,10,822,0.5876,0.0405,1.2387,8.77,8.3,33.31
6h,none,5,15,60,4.0,15,757,0.5865,-0.0016,0.9929,17.25,10.3,-1.24
6h,none,5,15,60,4.0,20,741,0.6019,-0.0031,0.9871,18.74,11.5,-2.28
6h,none,5,15,65,2.0,5,978,0.5072,-0.054,0.8133,57.91,4.4,-52.84
6h,none,5,15,65,2.0,10,898,0.5056,0.0198,1.0547,18.86,7.3,17.74
6h,none,5,15,65,2.0,15,851,0.4853,-0.0126,0.9719,37.28,8.9,-10.72
6h,none,5,15,65,2.0,20,842,0.4739,-0.0375,0.9219,47.24,9.8,-31.58
6h,none,5,15,65,3.0,5,951,0.5436,-0.0081,0.955,18.19,4.7,-7.75
6h,none,5,15,65,3.0,10,846,0.5556,0.0494,1.2139,10.66,8.3,41.8
6h,none,5,15,65,3.0,15,780,0.5436,0.0082,1.0262,17.66,10.5,6.43
6h,none,5,15,65,3.0,20,768,0.5495,-0.0039,0.9884,20.97,11.8,-3.0
6h,none,5,15,65,4.0,5,936,0.5545,0.0035,1.0272,9.75,4.8,3.25
6h,none,5,15,65,4.0,10,822,0.5766,0.0441,1.2575,7.93,8.7,36.24
6h,none,5,15,65,4.0,15,754,0.5584,0.0063,1.0263,14.22,11.2,4.77
6h,none,5,15,65,4.0,20,731,0.5636,-0.0096,0.9637,21.07,12.9,-7.01
6h,none,5,20,50,2.0,5,1687,0.5092,-0.049,0.8262,88.94,4.0,-82.63
6h,none,5,20,50,2.0,10,1517,0.5676,-0.012,0.9636,29.4,5.7,-18.25
6h,none,5,20,50,2.0,15,1467,0.5869,-0.0244,0.9313,42.9,6.1,-35.85
6h,none,5,20,50,2.0,20,1464,0.5874,-0.0263,0.9263,45.89,6.2,-38.55
6h,none,5,20,50,3.0,5,1636,0.5287,-0.0249,0.8661,44.67,4.2,-40.8
6h,none,5,20,50,3.0,10,1416,0.6003,0.0024,1.0107,18.26,6.4,3.34
6h,none,5,20,50,3.0,15,1348,0.6313,-0.009,0.9626,23.72,7.1,-12.18
6h,none,5,20,50,3.0,20,1334,0.6342,-0.0044,0.9815,20.08,7.3,-5.87
6h,none,5,20,50,4.0,5,1606,0.5342,-0.016,0.8832,30.28,4.4,-25.78
6h,none,5,20,50,4.0,10,1359,0.6144,0.0014,1.0083,12.78,6.7,1.88
6h,none,5,20,50,4.0,15,1290,0.6496,-0.007,0.9617,15.82,7.5,-9.06
6h,none,5,20,50,4.0,20,1268,0.6522,-0.0058,0.9682,15.9,7.8,-7.34
6h,none,5,20,55,2.0,5,1683,0.492,-0.0608,0.7899,108.06,4.2,-102.3
6h,none,5,20,55,2.0,10,1509,0.5401,-0.0182,0.9479,38.45,6.4,-27.43
6h,none,5,20,55,2.0,15,1442,0.5576,-0.0305,0.9216,51.96,7.2,-43.97
6h,none,5,20,55,2.0,20,1433,0.5576,-0.0361,0.9093,61.32,7.4,-51.66
6h,none,5,20,55,3.0,5,1632,0.5116,-0.0318,0.8335,55.35,4.4,-51.94
6h,none,5,20,55,3.0,10,1408,0.5795,0.0008,1.0035,22.52,7.1,1.13
6h,none,5,20,55,3.0,15,1324,0.6088,-0.0136,0.9495,28.64,8.3,-18.04
6h,none,5,20,55,3.0,20,1299,0.6189,-0.0128,0.9532,28.78,8.7,-16.57
6h,none,5,20,55,4.0,5,1602,0.5169,-0.0212,0.8497,38.09,4.6,-33.95
6h,none,5,20,55,4.0,10,1352,0.5962,0.0009,1.0051,12.64,7.4,1.2
6h,none,5,20,55,4.0,15,1264,0.6266,-0.0122,0.9406,20.09,8.9,-15.48
6h,none,5,20,55,4.0,20,1222,0.6334,-0.0169,0.921,23.37,9.5,-20.62
6h,none,5,20,60,2.0,5,1683,0.4837,-0.0666,0.7722,117.97,4.3,-112.11
6h,none,5,20,60,2.0,10,1505,0.5163,-0.0126,0.9649,33.35,7.0,-19.03
6h,none,5,20,60,2.0,15,1425,0.5249,-0.0249,0.94,47.42,8.1,-35.53
6h,none,5,20,60,2.0,20,1409,0.5295,-0.0319,0.9262,54.29,8.6,-44.9
6h,none,5,20,60,3.0,5,1632,0.5037,-0.0348,0.8198,60.54,4.6,-56.84
6h,none,5,20,60,3.0,10,1405,0.5509,0.0077,1.0318,18.72,7.8,10.76
6h,none,5,20,60,3.0,15,1304,0.5698,-0.0166,0.9435,27.61,9.5,-21.7
6h,none,5,20,60,3.0,20,1266,0.5948,-0.0106,0.9649,27.83,10.2,-13.38
6h,none,5,20,60,4.0,5,1601,0.5084,-0.0236,0.8345,41.88,4.7,-37.8
6h,none,5,20,60,4.0,10,1349,0.5701,0.0067,1.037,10.26,8.2,9.07
6h,none,5,20,60,4.0,15,1242,0.5845,-0.017,0.9252,26.82,10.1,-21.09
6h,none,5,20,60,4.0,20,1188,0.6103,-0.0162,0.9319,23.4,11.1,-19.23
6h,none,5,20,65,2.0,5,1683,0.4825,-0.0727,0.7514,126.04,4.4,-122.37
6h,none,5,20,65,2.0,10,1503,0.503,-0.0049,0.9866,29.29,7.4,-7.31
6h,none,5,20,65,2.0,15,1411,0.4911,-0.0274,0.9372,46.61,9.0,-38.6
6h,none,5,20,65,2.0,20,1387,0.4867,-0.0411,0.911,62.9,9.7,-57.05
6h,none,5,20,65,3.0,5,1632,0.5025,-0.0392,0.797,66.27,4.7,-64.05
6h,none,5,20,65,3.0,10,1402,0.5357,0.0107,1.044,18.39,8.2,15.01
6h,none,5,20,65,3.0,15,1291,0.5337,-0.019,0.9389,32.62,10.4,-24.49
6h,none,5,20,65,3.0,20,1243,0.5599,-0.0115,0.9647,28.97,11.6,-14.34
6h,none,5,20,65,4.0,5,1601,0.5072,-0.0271,0.81,45.77,4.8,-43.38
6h,none,5,20,65,4.0,10,1347,0.5553,0.0096,1.0523,10.43,8.6,12.9
6h,none,5,20,65,4.0,15,1232,0.5503,-0.0162,0.932,24.83,11.1,-19.95
6h,none,5,20,65,4.0,20,1163,0.5787,-0.0193,0.9261,27.12,12.5,-22.4
6h,none,5,25,50,2.0,5,2539,0.4994,-0.0567,0.8045,149.66,3.9,-143.87
6h,none,5,25,50,2.0,10,2224,0.5656,-0.0303,0.9072,75.89,5.4,-67.49
6h,none,5,25,50,2.0,15,2145,0.5804,-0.0408,0.8826,92.99,5.8,-87.46
6h,none,5,25,50,2.0,20,2136,0.5805,-0.0431,0.8767,98.72,5.8,-92.02
6h,none,5,25,50,3.0,5,2444,0.511,-0.0385,0.8056,95.42,4.1,-94.08
6h,none,5,25,50,3.0,10,2043,0.5864,-0.02,0.9106,43.96,6.1,-40.77
6h,none,5,25,50,3.0,15,1919,0.6092,-0.0349,0.859,68.87,6.8,-67.0
6h,none,5,25,50,3.0,20,1894,0.6119,-0.0323,0.8684,63.13,6.9,-61.27
6h,none,5,25,50,4.0,5,2405,0.5168,-0.029,0.8053,70.19,4.2,-69.63
6h,none,5,25,50,4.0,10,1967,0.5963,-0.0187,0.8907,37.94,6.4,-36.75
6h,none,5,25,50,4.0,15,1813,0.6194,-0.0329,0.8276,61.04,7.2,-59.59
6h,none,5,25,50,4.0,20,1778,0.6243,-0.0274,0.8535,50.66,7.5,-48.69
6h,none,5,25,55,2.0,5,2525,0.4749,-0.0687,0.7722,176.31,4.1,-173.53
6h,none,5,25,55,2.0,10,2185,0.5281,-0.0396,0.8881,93.73,6.1,-86.46
6h,none,5,25,55,2.0,15,2080,0.5495,-0.0499,0.8705,109.54,6.8,-103.78
6h,none,5,25,55,2.0,20,2055,0.5533,-0.0523,0.8665,115.19,7.0,-107.45
6h,none,5,25,55,3.0,5,2430,0.486,-0.0461,0.7761,112.42,4.4,-111.99
6h,none,5,25,55,3.0,10,2001,0.5537,-0.0261,0.8924,54.72,6.8,-52.2
6h,none,5,25,55,3.0,15,1849,0.5846,-0.044,0.8421,82.76,7.9,-81.4
6h,none,5,25,55,3.0,20,1801,0.5941,-0.0426,0.8486,80.13,8.4,-76.68
6h,none,5,25,55,4.0,5,2391,0.4918,-0.0343,0.7787,81.98,4.5,-81.91
6h,none,5,25,55,4.0,10,1925,0.5652,-0.0232,0.8747,45.12,7.2,-44.64
6h,none,5,25,55,4.0,15,1746,0.5956,-0.0384,0.8199,68.23,8.5,-67.11
6h,none,5,25,55,4.0,20,1676,0.6092,-0.0365,0.8308,63.24,9.2,-61.12
6h,none,5,25,60,2.0,5,2521,0.4597,-0.0731,0.7617,185.46,4.3,-184.32
6h,none,5,25,60,2.0,10,2164,0.4991,-0.0369,0.9007,90.36,6.7,-79.74
6h,none,5,25,60,2.0,15,2036,0.5201,-0.0465,0.8887,100.0,7.7,-94.58
6h,none,5,25,60,2.0,20,2001,0.5302,-0.0501,0.8832,105.97,8.2,-100.2
6h,none,5,25,60,3.0,5,2426,0.4707,-0.0486,0.7679,118.27,4.5,-117.84
6h,none,5,25,60,3.0,10,1981,0.5225,-0.0249,0.903,52.76,7.5,-49.29
6h,none,5,25,60,3.0,15,1801,0.5575,-0.0425,0.8609,78.09,9.1,-76.51
6h,none,5,25,60,3.0,20,1737,0.5803,-0.0422,0.8652,76.55,9.9,-73.33
6h,none,5,25,60,4.0,5,2387,0.4759,-0.0363,0.7694,86.76,4.6,-86.69
6h,none,5,25,60,4.0,10,1903,0.5323,-0.0216,0.8896,41.6,7.9,-41.03
6h,none,5,25,60,4.0,15,1688,0.5664,-0.0401,0.8293,68.24,9.8,-67.72
6h,none,5,25,60,4.0,20,1600,0.5931,-0.0402,0.8353,65.98,10.8,-64.27
6h,none,5,25,65,2.0,5,2521,0.4558,-0.0793,0.7426,201.23,4.4,-199.8
6h,none,5,25,65,2.0,10,2152,0.4782,-0.0305,0.9194,76.93,7.2,-65.71
6h,none,5,25,65,2.0,15,1991,0.4837,-0.0486,0.8902,109.98,8.7,-96.68
6h,none,5,25,65,2.0,20,1943,0.4905,-0.0504,0.891,107.23,9.4,-97.94
6h,none,5,25,65,3.0,5,2426,0.4666,-0.0527,0.7492,128.18,4.6,-127.76
6h,none,5,25,65,3.0,10,1966,0.4985,-0.023,0.9127,48.98,8.1,-45.19
6h,none,5,25,65,3.0,15,1761,0.5224,-0.0427,0.8682,82.81,10.2,-75.2
6h,none,5,25,65,3.0,20,1675,0.554,-0.0403,0.8814,75.58,11.4,-67.5
6h,none,5,25,65,4.0,5,2387,0.4721,-0.0392,0.7516,93.7,4.7,-93.63
6h,none,5,25,65,4.0,10,1889,0.5066,-0.021,0.8949,40.18,8.5,-39.65
6h,none,5,25,65,4.0,15,1653,0.5312,-0.0415,0.8332,73.82,10.9,-68.61
6h,none,5,25,65,4.0,20,1544,0.5687,-0.0383,0.8561,65.98,12.4,-59.09
6h,none,5,30,50,2.0,5,3550,0.52,-0.0419,0.8515,156.83,3.8,-148.75
6h,none,5,30,50,2.0,10,3045,0.5793,-0.0256,0.9193,86.21,5.1,-78.07
6h,none,5,30,50,2.0,15,2915,0.5894,-0.0372,0.8895,114.32,5.5,-108.33
6h,none,5,30,50,2.0,20,2898,0.589,-0.0393,0.8841,119.39,5.5,-113.79
6h,none,5,30,50,3.0,5,3405,0.5278,-0.0342,0.8243,117.14,4.0,-116.59
6h,none,5,30,50,3.0,10,2785,0.5953,-0.0225,0.8966,63.32,5.7,-62.73
6h,none,5,30,50,3.0,15,2585,0.6077,-0.0348,0.8527,91.09,6.4,-90.03
6h,none,5,30,50,3.0,20,2545,0.6094,-0.0343,0.8547,87.89,6.6,-87.26
6h,none,5,30,50,4.0,5,3356,0.5331,-0.0271,0.8163,91.09,4.1,-90.92
6h,none,5,30,50,4.0,10,2676,0.6028,-0.0225,0.8663,60.85,6.0,-60.28
6h,none,5,30,50,4.0,15,2446,0.6141,-0.0321,0.8244,78.78,6.8,-78.43
6h,none,5,30,50,4.0,20,2386,0.6165,-0.0301,0.8331,72.04,7.1,-71.85
6h,none,5,30,55,2.0,5,3508,0.4886,-0.0537,0.8165,193.81,4.1,-188.45
6h,none,5,30,55,2.0,10,2925,0.5285,-0.0493,0.8611,145.41,5.9,-144.32
6h,none,5,30,55,2.0,15,2749,0.5569,-0.0506,0.8659,142.65,6.6,-139.09
6h,none,5,30,55,2.0,20,2705,0.5582,-0.0571,0.8519,155.53,6.8,-154.44
6h,none,5,30,55,3.0,5,3363,0.496,-0.0407,0.7982,137.46,4.3,-136.72
6h,none,5,30,55,3.0,10,2644,0.5458,-0.041,0.8338,108.75,6.7,-108.36
6h,none,5,30,55,3.0,15,2414,0.5824,-0.0473,0.8243,114.48,7.7,-114.24
6h,none,5,30,55,3.0,20,2336,0.5886,-0.0492,0.8211,116.03,8.2,-114.82
6h,none,5,30,55,4.0,5,3315,0.5017,-0.0311,0.7959,103.3,4.4,-103.0
6h,none,5,30,55,4.0,10,2537,0.5542,-0.0348,0.8162,88.37,7.0,-88.26
6h,none,5,30,55,4.0,15,2279,0.5919,-0.0401,0.8064,91.23,8.3,-91.29
6h,none,5,30,55,4.0,20,2171,0.5983,-0.0419,0.8008,91.5,8.9,-91.01
6h,none,5,30,60,2.0,5,3496,0.4703,-0.0602,0.7973,215.53,4.3,-210.47
6h,none,5,30,60,2.0,10,2873,0.495,-0.0507,0.8648,151.07,6.6,-145.74
6h,none,5,30,60,2.0,15,2652,0.5253,-0.0491,0.8804,133.96,7.6,-130.28
6h,none,5,30,60,2.0,20,2580,0.5326,-0.0538,0.8728,140.12,8.0,-138.81
6h,none,5,30,60,3.0,5,3350,0.4767,-0.0446,0.7818,149.96,4.5,-149.35
6h,none,5,30,60,3.0,10,2590,0.5174,-0.0432,0.8351,112.52,7.4,-111.86
6h,none,5,30,60,3.0,15,2317,0.558,-0.0445,0.8487,103.57,8.9,-103.14
6h,none,5,30,60,3.0,20,2203,0.5742,-0.0527,0.8288,117.05,9.7,-116.1
