timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
8h,none,5,10,50,2.0,5,295,0.6271,0.1743,1.8192,3.99,4.2,51.43
8h,none,5,10,50,2.0,10,293,0.5973,0.1737,1.6438,5.7,6.3,50.89
8h,none,5,10,50,2.0,15,288,0.5833,0.1028,1.3086,9.94,7.1,29.6
8h,none,5,10,50,2.0,20,283,0.5866,0.1078,1.327,10.56,7.5,30.52
8h,none,5,10,50,3.0,5,283,0.6396,0.1456,2.1603,2.7,4.5,41.21
8h,none,5,10,50,3.0,10,283,0.6431,0.1541,1.9543,2.73,6.9,43.6
8h,none,5,10,50,3.0,15,270,0.6296,0.0967,1.4511,6.98,8.2,26.11
8h,none,5,10,50,3.0,20,266,0.6391,0.1004,1.4717,7.03,8.8,26.7
8h,none,5,10,50,4.0,5,282,0.6383,0.1069,2.1005,2.02,4.5,30.14
8h,none,5,10,50,4.0,10,280,0.6536,0.1203,1.9979,2.5,7.0,33.68
8h,none,5,10,50,4.0,15,266,0.6466,0.0734,1.446,6.65,8.5,19.51
8h,none,5,10,50,4.0,20,258,0.6512,0.0642,1.3677,7.63,9.0,16.57
8h,none,5,10,55,2.0,5,295,0.6237,0.1829,1.8593,3.99,4.3,53.95
8h,none,5,10,55,2.0,10,293,0.5631,0.1764,1.6313,5.27,7.0,51.68
8h,none,5,10,55,2.0,15,288,0.5556,0.0821,1.2242,11.88,8.2,23.63
8h,none,5,10,55,2.0,20,283,0.5583,0.0926,1.2572,12.3,8.9,26.22
8h,none,5,10,55,3.0,5,283,0.636,0.1507,2.2004,2.7,4.6,42.64
8h,none,5,10,55,3.0,10,283,0.6042,0.1557,1.9275,3.07,7.7,44.06
8h,none,5,10,55,3.0,15,270,0.5926,0.0727,1.2911,7.97,9.5,19.63
8h,none,5,10,55,3.0,20,266,0.6053,0.0765,1.3073,8.62,10.5,20.35
8h,none,5,10,55,4.0,5,282,0.6348,0.1107,2.1394,1.75,4.7,31.21
8h,none,5,10,55,4.0,10,280,0.6143,0.1216,1.9709,2.05,7.8,34.04
8h,none,5,10,55,4.0,15,266,0.6128,0.0549,1.2897,7.56,9.9,14.61
8h,none,5,10,55,4.0,20,254,0.6181,0.0388,1.185,9.36,10.8,9.86
8h,none,5,10,60,2.0,5,295,0.6203,0.1807,1.8479,3.99,4.4,53.31
8h,none,5,10,60,2.0,10,293,0.5358,0.1628,1.5721,5.29,7.4,47.71
8h,none,5,10,60,2.0,15,288,0.5035,0.0331,1.082,11.27,9.1,9.53
8h,none,5,10,60,2.0,20,281,0.4875,0.0099,1.0235,14.19,10.2,2.78
8h,none,5,10,60,3.0,5,283,0.6325,0.1467,2.167,2.77,4.7,41.52
8h,none,5,10,60,3.0,10,283,0.5724,0.1439,1.8358,3.52,8.2,40.72
8h,none,5,10,60,3.0,15,270,0.5333,0.0236,1.082,7.66,10.6,6.38
8h,none,5,10,60,3.0,20,263,0.5247,-0.0028,0.9908,10.11,12.1,-0.74
8h,none,5,10,60,4.0,5,282,0.6312,0.107,2.0997,1.75,4.8,30.17
8h,none,5,10,60,4.0,10,280,0.5857,0.1141,1.891,2.04,8.3,31.95
8h,none,5,10,60,4.0,15,266,0.5564,0.0193,1.0883,7.29,10.9,5.13
8h,none,5,10,60,4.0,20,251,0.5378,-0.0246,0.9055,13.67,12.4,-6.16
8h,none,5,10,65,2.0,5,295,0.6203,0.1851,1.8687,3.99,4.5,54.62
8h,none,5,10,65,2.0,10,292,0.5274,0.1489,1.5197,4.82,7.8,43.48
8h,none,5,10,65,2.0,15,288,0.4688,-0.0057,0.9865,12.03,10.0,-1.65
8h,none,5,10,65,2.0,20,281,0.427,-0.0544,0.8802,19.25,11.6,-15.3
8h,none,5,10,65,3.0,5,283,0.6325,0.1482,2.1788,2.77,4.8,41.94
8h,none,5,10,65,3.0,10,282,0.5638,0.133,1.7669,3.09,8.7,37.5
8h,none,5,10,65,3.0,15,270,0.4926,-0.0119,0.9615,8.92,11.6,-3.2
8h,none,5,10,65,3.0,20,261,0.4559,-0.0608,0.82,17.56,13.7,-15.88
8h,none,5,10,65,4.0,5,282,0.6312,0.1081,2.1112,1.75,4.8,30.49
8h,none,5,10,65,4.0,10,279,0.5771,0.1051,1.8147,2.04,8.8,29.33
8h,none,5,10,65,4.0,15,266,0.5113,-0.009,0.9614,7.79,12.0,-2.4
8h,none,5,10,65,4.0,20,249,0.4618,-0.0764,0.7362,21.53,14.2,-19.03
8h,none,5,15,50,2.0,5,815,0.584,0.0909,1.4139,11.57,4.2,74.06
8h,none,5,15,50,2.0,10,777,0.6242,0.1314,1.4889,9.61,6.1,102.06
8h,none,5,15,50,2.0,15,754,0.6379,0.1163,1.4008,9.37,6.7,87.7
8h,none,5,15,50,2.0,20,739,0.6414,0.1056,1.3539,9.48,6.9,78.05
8h,none,5,15,50,3.0,5,789,0.597,0.081,1.6093,7.17,4.4,63.88
8h,none,5,15,50,3.0,10,745,0.6685,0.111,1.6525,5.89,6.6,82.7
8h,none,5,15,50,3.0,15,711,0.6892,0.1067,1.5853,7.78,7.6,75.89
8h,none,5,15,50,3.0,20,690,0.6942,0.0885,1.4503,10.03,8.0,61.1
8h,none,5,15,50,4.0,5,782,0.6023,0.0666,1.7042,5.83,4.5,52.05
8h,none,5,15,50,4.0,10,732,0.679,0.0883,1.7044,4.99,6.8,64.61
8h,none,5,15,50,4.0,15,689,0.6967,0.077,1.5399,5.72,7.9,53.06
8h,none,5,15,50,4.0,20,660,0.7015,0.0559,1.348,7.71,8.5,36.92
8h,none,5,15,55,2.0,5,815,0.5816,0.1041,1.4739,11.72,4.3,84.85
8h,none,5,15,55,2.0,10,776,0.6057,0.1558,1.5638,9.48,6.7,120.88
8h,none,5,15,55,2.0,15,752,0.629,0.1335,1.433,9.35,7.7,100.39
8h,none,5,15,55,2.0,20,726,0.6253,0.1145,1.3536,9.55,8.3,83.15
8h,none,5,15,55,3.0,5,789,0.5919,0.088,1.6615,7.45,4.6,69.45
