year,allocator_pct,independent_sum_pct,donchian_pct,rsimr_pct,consecdown_pct
2021,67.04,12.39,25.03,0.52,11.63
2022,-9.16,-2.4,-5.84,0.38,-1.06
2023,-1.95,1.14,-1.89,7.51,-1.44
2024,105.28,19.87,39.17,3.13,16.08
2025,70.18,12.02,28.16,1.33,0.93
2026,-31.55,-2.41,-4.49,-2.07,0.65
