date,regime,breadth_pct,btc_above_ema,entries,open_pos
2021-01-01,BEAR,0.0,False,0,0
2021-01-02,MIXED,53.8,True,0,0
2021-01-03,BULL,76.9,True,0,0
2021-01-04,BULL,76.9,True,0,0
2021-01-05,BULL,84.6,True,0,0
2021-01-06,BULL,96.2,True,0,0
2021-01-07,BULL,88.5,True,0,0
2021-01-08,BULL,88.5,True,0,0
2021-01-09,BULL,88.5,True,0,0
2021-01-10,BULL,92.3,True,0,0
2021-01-11,BULL,80.8,True,0,0
2021-01-12,BULL,80.8,True,0,0
2021-01-13,BULL,88.5,True,0,0
2021-01-14,BULL,88.5,True,0,0
2021-01-15,BULL,88.5,True,0,0
2021-01-16,BULL,96.2,True,0,0
2021-01-17,BULL,96.2,True,0,0
2021-01-18,BULL,96.2,True,0,0
2021-01-19,BULL,100.0,True,0,0
2021-01-20,BULL,100.0,True,0,0
2021-01-21,BULL,88.5,True,0,0
2021-01-22,BULL,96.2,True,0,0
2021-01-23,BULL,96.2,True,2,2
2021-01-24,BULL,96.2,True,1,3
2021-01-25,BULL,96.2,True,1,4
2021-01-26,BULL,96.2,True,0,4
2021-01-27,MIXED,84.6,False,1,5
2021-01-28,BULL,92.3,True,1,6
2021-01-29,BULL,96.2,True,1,7
2021-01-30,BULL,96.2,True,2,8
2021-01-31,BULL,96.2,True,1,9
2021-02-01,BULL,100.0,True,2,11
2021-02-02,BULL,100.0,True,2,12
2021-02-03,BULL,100.0,True,2,14
2021-02-04,BULL,100.0,True,0,14
2021-02-05,BULL,100.0,True,0,14
2021-02-06,BULL,100.0,True,0,14
2021-02-07,BULL,100.0,True,0,14
2021-02-08,BULL,100.0,True,0,14
2021-02-09,BULL,100.0,True,0,14
2021-02-10,BULL,100.0,True,0,14
2021-02-11,BULL,100.0,True,0,14
2021-02-12,BULL,100.0,True,0,14
2021-02-13,BULL,100.0,True,0,14
2021-02-14,BULL,100.0,True,0,14
2021-02-15,BULL,100.0,True,0,14
2021-02-16,BULL,100.0,True,0,14
2021-02-17,BULL,100.0,True,1,14
2021-02-18,BULL,100.0,True,0,14
2021-02-19,BULL,100.0,True,0,14
2021-02-20,BULL,100.0,True,0,14
2021-02-21,BULL,100.0,True,0,14
2021-02-22,BULL,100.0,True,0,14
2021-02-23,BULL,100.0,True,1,14
2021-02-24,BULL,100.0,True,0,14
2021-02-25,BULL,100.0,True,0,14
2021-02-26,BULL,100.0,True,0,14
2021-02-27,BULL,100.0,True,0,14
2021-02-28,BULL,100.0,True,0,14
2021-03-01,BULL,100.0,True,0,14
2021-03-02,BULL,100.0,True,0,14
2021-03-03,BULL,100.0,True,0,14
2021-03-04,BULL,100.0,True,0,14
2021-03-05,BULL,100.0,True,0,14
2021-03-06,BULL,100.0,True,0,14
2021-03-07,BULL,100.0,True,0,14
2021-03-08,BULL,100.0,True,0,14
2021-03-09,BULL,100.0,True,0,14
2021-03-10,BULL,100.0,True,0,14
2021-03-11,BULL,100.0,True,0,14
2021-03-12,BULL,100.0,True,0,14
2021-03-13,BULL,100.0,True,0,14
2021-03-14,BULL,100.0,True,0,14
2021-03-15,BULL,100.0,True,0,14
2021-03-16,BULL,100.0,True,1,14
2021-03-17,BULL,100.0,True,0,14
2021-03-18,BULL,100.0,True,0,14
2021-03-19,BULL,100.0,True,0,14
2021-03-20,BULL,100.0,True,0,14
2021-03-21,BULL,100.0,True,0,14
2021-03-22,BULL,100.0,True,0,14
2021-03-23,BULL,100.0,True,0,14
2021-03-24,BULL,100.0,True,0,14
2021-03-25,BULL,100.0,True,0,14
2021-03-26,BULL,100.0,True,0,14
2021-03-27,BULL,100.0,True,0,14
2021-03-28,BULL,100.0,True,0,14
2021-03-29,BULL,100.0,True,0,14
2021-03-30,BULL,100.0,True,0,14
2021-03-31,BULL,100.0,True,0,14
2021-04-01,BULL,100.0,True,0,14
2021-04-02,BULL,100.0,True,0,14
2021-04-03,BULL,100.0,True,0,14
2021-04-04,BULL,100.0,True,0,14
2021-04-05,BULL,100.0,True,0,14
2021-04-06,BULL,100.0,True,0,14
2021-04-07,BULL,100.0,True,0,14
2021-04-08,BULL,100.0,True,0,14
2021-04-09,BULL,100.0,True,0,14
2021-04-10,BULL,100.0,True,0,14
2021-04-11,BULL,100.0,True,0,14
2021-04-12,BULL,100.0,True,0,14
2021-04-13,BULL,100.0,True,0,14
2021-04-14,BULL,100.0,True,0,14
2021-04-15,BULL,100.0,True,0,14
2021-04-16,BULL,100.0,True,0,14
2021-04-17,BULL,100.0,True,0,14
2021-04-18,BULL,100.0,True,0,14
2021-04-19,BULL,100.0,True,0,14
2021-04-20,BULL,100.0,True,0,14
2021-04-21,BULL,100.0,True,0,14
2021-04-22,BULL,100.0,True,0,14
2021-04-23,BULL,100.0,True,0,14
2021-04-24,BULL,100.0,True,0,14
2021-04-25,BULL,100.0,True,0,14
2021-04-26,BULL,100.0,True,0,14
2021-04-27,BULL,100.0,True,0,14
2021-04-28,BULL,100.0,True,0,14
2021-04-29,BULL,100.0,True,0,14
2021-04-30,BULL,100.0,True,0,14
2021-05-01,BULL,100.0,True,0,14
2021-05-02,BULL,100.0,True,0,14
2021-05-03,BULL,100.0,True,0,14
2021-05-04,BULL,100.0,True,0,14
2021-05-05,BULL,100.0,True,0,14
2021-05-06,BULL,100.0,True,0,14
2021-05-07,BULL,100.0,True,0,14
2021-05-08,BULL,100.0,True,0,14
2021-05-09,BULL,100.0,True,0,14
2021-05-10,BULL,100.0,True,0,14
2021-05-11,BULL,96.3,True,0,14
2021-05-12,BULL,96.3,True,0,14
