entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime_entry
2021-01-28,2021-01-30,DOGE_USDT,Donchian,0.0364995,0.03077813,1,-1.0,-105.0,stop,Donchian
2021-01-30,2021-02-02,XRP_USDT,Donchian,0.44372,0.35750714,2,-1.0,-104.6325,stop,Donchian
2021-01-27,2021-02-17,HBAR_USDT,ConsecDownDays,0.07946,0.1387,20,1.8421,138.1591,time_exit,ConsecDownDays
2021-02-17,2021-02-23,BTC_USDT,Donchian,52119.71,45272.78,5,-1.0,-104.7498,stop,Donchian
2021-02-23,2021-03-16,ATOM_USDT,ConsecDownDays,20.08,21.008,20,0.1131,11.8018,time_exit,ConsecDownDays
2021-01-31,2021-05-19,GRT_USDT,Donchian,0.79448,0.54768857,107,-1.0,-104.6325,stop,Donchian
2021-02-02,2021-05-19,INJ_USDT,Donchian,11.5025,8.31858571,105,-1.0,-104.2663,stop,Donchian
2021-01-23,2021-05-23,LINK_USDT,Donchian,24.8046,18.02551429,119,-1.0,-105.0,stop,Donchian
2021-02-03,2021-05-23,DOT_USDT,Donchian,20.8538,16.62194286,108,-1.0,-104.2663,stop,Donchian
2021-01-23,2021-05-24,AAVE_USDT,Donchian,213.304,387.06,120,2.8612,300.4243,backstop,Donchian
2021-01-24,2021-05-25,UNI_USDT,Donchian,12.0505,25.106,120,4.2682,448.1628,backstop,Donchian
2021-01-25,2021-05-26,ZEN_USDT,Donchian,34.617,108.62,120,6.6994,703.4324,backstop,Donchian
2021-01-29,2021-05-30,FET_USDT,Donchian,0.11164,0.30984,120,6.0157,631.6481,backstop,Donchian
2021-01-30,2021-05-31,SOL_USDT,Donchian,4.228,32.75,120,27.7544,2904.0115,backstop,Donchian
2021-02-01,2021-06-02,ADA_USDT,Donchian,0.40876,1.7534,120,14.6907,1537.1249,backstop,Donchian
2021-02-01,2021-06-02,BNB_USDT,Donchian,51.4781,401.54,120,49.8563,5216.5917,backstop,Donchian
2021-02-02,2021-06-03,ETH_USDT,Donchian,1511.87,2857.25,120,4.2524,443.3858,backstop,Donchian
2021-02-03,2021-06-04,CHZ_USDT,Donchian,0.024063,0.26967,120,51.4206,5361.4389,backstop,Donchian
2021-05-19,2021-06-09,BTC_USDT,RSI_MR,36690.09,37388.05,20,0.0464,3.4361,time_exit,RSI_MR
2021-05-25,2021-06-15,ICP_USDT,RSI_MR,134.04,60.39,20,-0.3747,-28.2585,time_exit,RSI_MR
2021-03-16,2021-06-21,FIL_USDT,Donchian,63.6062,54.83577143,96,-1.0,-104.4245,stop,Donchian
2021-06-19,2021-06-21,DOGE_USDT,ConsecDownDays,0.28567,0.23711429,1,-1.0,-117.347,stop,ConsecDownDays
2021-06-08,2021-06-22,ZEN_USDT,ConsecDownDays,83.05,55.32285714,13,-1.0,-117.4091,stop,ConsecDownDays
2021-06-19,2021-06-22,ADA_USDT,ConsecDownDays,1.3839,1.14167143,2,-1.0,-117.347,stop,ConsecDownDays
2021-06-11,2021-07-02,LPT_USDT,RSI_MR,26.11,17.26428571,20,-1.0,-164.3847,stop,RSI_MR
2021-06-15,2021-07-06,ICP_USDT,RSI_MR,60.39,46.2,20,-0.3132,-51.4496,time_exit,RSI_MR
2021-07-12,2021-08-02,LPT_USDT,RSI_MR,14.7,17.06,20,0.5341,86.4897,time_exit,RSI_MR
2021-07-30,2021-08-03,BTC_USDT,Donchian,42206.37,37906.40714286,3,-1.0,-115.6661,stop,Donchian
2021-07-16,2021-08-06,ICP_USDT,RSI_MR,32.37,48.27,20,1.1681,189.1593,time_exit,RSI_MR
2021-07-16,2021-08-06,ADA_USDT,ConsecDownDays,1.1708,1.4025,20,1.5079,174.4132,time_exit,ConsecDownDays
2021-08-05,2021-09-07,AAVE_USDT,Donchian,372.78,317.79142857,32,-1.0,-115.5932,stop,Donchian
2021-08-07,2021-09-07,DOGE_USDT,Donchian,0.26189,0.22886857,30,-1.0,-116.5021,stop,Donchian
2021-07-31,2021-09-21,UNI_USDT,Donchian,21.767,18.72271429,51,-1.0,-115.6661,stop,Donchian
2021-08-06,2021-09-21,CHZ_USDT,Donchian,0.28959,0.25498714,45,-1.0,-116.5021,stop,Donchian
2021-08-09,2021-09-21,BCH_USDT,Donchian,591.37,517.46857143,42,-1.0,-163.103,stop,Donchian
2021-09-07,2021-09-21,NEAR_USDT,Donchian,8.674,6.9483,13,-1.0,-162.2906,stop,Donchian
