date,equity,dd_pct
2021-01-01,10000.0,0.0
2021-01-02,10000.0,0.0
2021-01-03,10000.0,0.0
2021-01-04,10000.0,0.0
2021-01-05,10000.0,0.0
2021-01-06,10000.0,0.0
2021-01-07,10000.0,0.0
2021-01-08,10000.0,0.0
2021-01-09,10000.0,0.0
2021-01-10,10000.0,0.0
2021-01-11,10000.0,0.0
2021-01-12,10000.0,0.0
2021-01-13,10000.0,0.0
2021-01-14,10000.0,0.0
2021-01-15,10000.0,0.0
2021-01-16,10000.0,0.0
2021-01-17,10000.0,0.0
2021-01-18,10000.0,0.0
2021-01-19,10000.0,0.0
2021-01-20,10000.0,0.0
2021-01-21,10000.0,0.0
2021-01-22,10000.0,0.0
2021-01-23,10000.0,0.0
2021-01-24,10000.0,0.0
2021-01-25,10000.0,0.0
2021-01-26,10000.0,0.0
2021-01-27,10000.0,0.0
2021-01-28,10000.0,0.0
2021-01-29,10000.0,0.0
2021-01-30,10000.0,0.0
2021-01-31,10000.0,0.0
2021-02-01,10000.0,0.0
2021-02-02,10000.0,0.0
2021-02-03,10000.0,0.0
2021-02-04,10000.0,0.0
2021-02-05,10000.0,0.0
2021-02-06,10000.0,0.0
2021-02-07,10000.0,0.0
2021-02-08,10000.0,0.0
2021-02-09,10000.0,0.0
2021-02-10,10000.0,0.0
2021-02-11,10000.0,0.0
2021-02-12,10000.0,0.0
2021-02-13,10000.0,0.0
2021-02-14,10000.0,0.0
2021-02-15,10000.0,0.0
2021-02-16,10000.0,0.0
2021-02-17,10046.053,0.0
2021-02-18,10046.053,0.0
2021-02-19,10046.053,0.0
2021-02-20,10046.053,0.0
2021-02-21,10046.053,0.0
2021-02-22,10046.053,0.0
2021-02-23,10046.053,0.0
2021-02-24,10046.053,0.0
2021-02-25,10046.053,0.0
2021-02-26,10046.053,0.0
2021-02-27,10046.053,0.0
2021-02-28,10046.053,0.0
2021-03-01,10046.053,0.0
2021-03-02,10046.053,0.0
2021-03-03,10046.053,0.0
2021-03-04,10046.053,0.0
2021-03-05,10046.053,0.0
2021-03-06,10046.053,0.0
2021-03-07,10046.053,0.0
2021-03-08,10046.053,0.0
2021-03-09,10046.053,0.0
2021-03-10,10051.2858,0.0
2021-03-11,10051.2858,0.0
2021-03-12,10051.2858,0.0
2021-03-13,10051.2858,0.0
2021-03-14,10039.7364,-0.1149
2021-03-15,10039.7364,-0.1149
2021-03-16,10039.7364,-0.1149
2021-03-17,10039.7364,-0.1149
2021-03-18,10039.7364,-0.1149
2021-03-19,10052.3954,0.0
2021-03-20,10052.3954,0.0
2021-03-21,10052.3954,0.0
2021-03-22,10052.3954,0.0
2021-03-23,10052.3954,0.0
2021-03-24,10052.3954,0.0
2021-03-25,10051.2863,-0.011
2021-03-26,10051.2863,-0.011
2021-03-27,10051.2863,-0.011
2021-03-28,10051.2863,-0.011
2021-03-29,10051.2863,-0.011
2021-03-30,10051.2863,-0.011
2021-03-31,10051.2863,-0.011
2021-04-01,10051.2863,-0.011
2021-04-02,10051.2863,-0.011
2021-04-03,10051.2863,-0.011
2021-04-04,10051.2863,-0.011
2021-04-05,10051.2863,-0.011
2021-04-06,10051.2863,-0.011
2021-04-07,10051.2863,-0.011
2021-04-08,10051.2863,-0.011
2021-04-09,10051.2863,-0.011
2021-04-10,10051.2863,-0.011
2021-04-11,10051.2863,-0.011
2021-04-12,10051.2863,-0.011
2021-04-13,10051.2863,-0.011
2021-04-14,10428.3848,0.0
2021-04-15,11053.5273,0.0
2021-04-16,11053.5273,0.0
2021-04-17,11053.5273,0.0
2021-04-18,11053.5273,0.0
2021-04-19,11053.5273,0.0
2021-04-20,11053.5273,0.0
2021-04-21,11053.5273,0.0
2021-04-22,11028.399,-0.2273
2021-04-23,11028.399,-0.2273
2021-04-24,11028.399,-0.2273
2021-04-25,11028.399,-0.2273
2021-04-26,11028.399,-0.2273
2021-04-27,11028.399,-0.2273
2021-04-28,11028.399,-0.2273
2021-04-29,11028.399,-0.2273
2021-04-30,11028.399,-0.2273
2021-05-01,11028.399,-0.2273
2021-05-02,11028.399,-0.2273
2021-05-03,11028.399,-0.2273
2021-05-04,11028.399,-0.2273
2021-05-05,11028.399,-0.2273
2021-05-06,11028.399,-0.2273
2021-05-07,11028.399,-0.2273
2021-05-08,11028.399,-0.2273
2021-05-09,11028.399,-0.2273
2021-05-10,11058.4479,0.0
2021-05-11,11058.4479,0.0
2021-05-12,11066.0364,0.0
2021-05-13,11066.0364,0.0
2021-05-14,11066.0364,0.0
2021-05-15,11066.0364,0.0
2021-05-16,11105.8405,0.0
2021-05-17,11105.8405,0.0
2021-05-18,11105.8405,0.0
2021-05-19,11050.6234,-0.4972
2021-05-20,11050.6234,-0.4972
2021-05-21,11050.6234,-0.4972
2021-05-22,11050.6234,-0.4972
2021-05-23,11050.6234,-0.4972
2021-05-24,11050.6234,-0.4972
2021-05-25,11050.6234,-0.4972
2021-05-26,11050.6234,-0.4972
2021-05-27,11050.6234,-0.4972
2021-05-28,11050.6234,-0.4972
2021-05-29,11050.6234,-0.4972
2021-05-30,11050.6234,-0.4972
2021-05-31,11050.6234,-0.4972
2021-06-01,11050.6234,-0.4972
2021-06-02,11050.6234,-0.4972
2021-06-03,11050.6234,-0.4972
2021-06-04,11050.6234,-0.4972
2021-06-05,11050.6234,-0.4972
2021-06-06,11050.6234,-0.4972
2021-06-07,11050.6234,-0.4972
2021-06-08,11050.6234,-0.4972
2021-06-09,11050.6234,-0.4972
2021-06-10,11050.6234,-0.4972
2021-06-11,11050.6234,-0.4972
2021-06-12,11050.6234,-0.4972
2021-06-13,11050.6234,-0.4972
2021-06-14,11050.6234,-0.4972
2021-06-15,11050.6234,-0.4972
2021-06-16,11050.6234,-0.4972
2021-06-17,11050.6234,-0.4972
2021-06-18,11050.6234,-0.4972
2021-06-19,11050.6234,-0.4972
2021-06-20,11050.6234,-0.4972
2021-06-21,11022.9968,-0.7459
2021-06-22,10967.7437,-1.2435
2021-06-23,10967.7437,-1.2435
2021-06-24,10967.7437,-1.2435
2021-06-25,10967.7437,-1.2435
2021-06-26,10967.7437,-1.2435
2021-06-27,10967.7437,-1.2435
2021-06-28,10967.7437,-1.2435
2021-06-29,10967.7437,-1.2435
2021-06-30,10967.7437,-1.2435
2021-07-01,10967.7437,-1.2435
2021-07-02,10967.7437,-1.2435
2021-07-03,10967.7437,-1.2435
2021-07-04,10967.7437,-1.2435
2021-07-05,10967.7437,-1.2435
2021-07-06,10967.7437,-1.2435
2021-07-07,10967.7437,-1.2435
2021-07-08,10967.7437,-1.2435
2021-07-09,10967.7437,-1.2435
2021-07-10,10967.7437,-1.2435
2021-07-11,10967.7437,-1.2435
2021-07-12,10967.7437,-1.2435
2021-07-13,10967.7437,-1.2435
2021-07-14,10967.7437,-1.2435
2021-07-15,10967.7437,-1.2435
2021-07-16,10967.7437,-1.2435
2021-07-17,10967.7437,-1.2435
2021-07-18,10967.7437,-1.2435
2021-07-19,10967.7437,-1.2435
2021-07-20,10967.7437,-1.2435
2021-07-21,10967.7437,-1.2435
2021-07-22,10967.7437,-1.2435
2021-07-23,10967.7437,-1.2435
2021-07-24,10967.7437,-1.2435
2021-07-25,10967.7437,-1.2435
