date,equity,peak,dd_pct,open_pos,heat_pct,regime
2021-01-01,30000.0,30000.0,0.0,0,0.0,BEAR
2021-01-02,30000.0,30000.0,0.0,0,0.0,MIXED
2021-01-03,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-04,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-05,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-06,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-07,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-08,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-09,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-10,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-11,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-12,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-13,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-14,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-15,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-16,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-17,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-18,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-19,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-20,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-21,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-22,30000.0,30000.0,0.0,0,0.0,BULL
2021-01-23,30000.0,30000.0,0.0,2,0.7,BULL
2021-01-24,30000.0,30000.0,0.0,3,1.05,BULL
2021-01-25,30000.0,30000.0,0.0,4,1.4,BULL
2021-01-26,30000.0,30000.0,0.0,4,1.4,BULL
2021-01-27,30000.0,30000.0,0.0,5,1.65,MIXED
2021-01-28,30000.0,30000.0,0.0,6,2.0,BULL
2021-01-29,30000.0,30000.0,0.0,7,2.35,BULL
2021-01-30,29895.0,30000.0,-0.35,8,2.7,BULL
2021-01-31,29895.0,30000.0,-0.35,9,3.05,BULL
2021-02-01,29895.0,30000.0,-0.35,11,3.75,BULL
2021-02-02,29790.3675,30000.0,-0.6988,12,4.1,BULL
2021-02-03,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-04,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-05,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-06,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-07,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-08,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-09,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-10,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-11,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-12,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-13,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-14,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-15,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-16,29790.3675,30000.0,-0.6988,14,4.8,BULL
2021-02-17,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-18,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-19,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-20,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-21,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-22,29928.5266,30000.0,-0.2382,14,4.9,BULL
2021-02-23,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-02-24,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-02-25,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-02-26,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-02-27,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-02-28,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-01,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-02,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-03,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-04,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-05,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-06,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-07,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-08,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-09,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-10,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-11,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-12,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-13,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-14,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-15,29823.7768,30000.0,-0.5874,14,4.9,BULL
2021-03-16,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-17,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-18,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-19,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-20,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-21,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-22,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-23,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-24,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-25,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-26,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-27,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-28,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-29,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-30,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-03-31,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-04-01,29835.5786,30000.0,-0.5481,14,4.9,BULL
2021-04-02,29835.5786,30000.0,-0.5481,14,4.9,BULL
