date,equity,dd_pct
2021-01-01,10000.0,0.0
2021-01-02,10000.0,0.0
2021-01-03,10000.0,0.0
2021-01-04,10000.0,0.0
2021-01-05,10000.0,0.0
2021-01-06,10000.0,0.0
2021-01-07,10000.0,0.0
2021-01-08,10000.0,0.0
2021-01-09,10000.0,0.0
2021-01-10,10000.0,0.0
2021-01-11,10000.0,0.0
2021-01-12,10000.0,0.0
2021-01-13,10000.0,0.0
2021-01-14,10000.0,0.0
2021-01-15,10000.0,0.0
2021-01-16,10000.0,0.0
2021-01-17,10000.0,0.0
2021-01-18,10000.0,0.0
2021-01-19,10000.0,0.0
2021-01-20,10000.0,0.0
2021-01-21,10000.0,0.0
2021-01-22,10000.0,0.0
2021-01-23,10000.0,0.0
2021-01-24,10000.0,0.0
2021-01-25,10000.0,0.0
2021-01-26,10000.0,0.0
2021-01-27,10000.0,0.0
2021-01-28,10000.0,0.0
2021-01-29,10000.0,0.0
2021-01-30,9975.0,-0.25
2021-01-31,9975.0,-0.25
2021-02-01,9975.0,-0.25
2021-02-02,9950.0625,-0.4994
2021-02-03,9950.0625,-0.4994
2021-02-04,9950.0625,-0.4994
2021-02-05,9950.0625,-0.4994
2021-02-06,9950.0625,-0.4994
2021-02-07,9950.0625,-0.4994
2021-02-08,9950.0625,-0.4994
2021-02-09,9950.0625,-0.4994
2021-02-10,9950.0625,-0.4994
2021-02-11,9950.0625,-0.4994
2021-02-12,9950.0625,-0.4994
2021-02-13,9950.0625,-0.4994
2021-02-14,9950.0625,-0.4994
2021-02-15,9950.0625,-0.4994
2021-02-16,9950.0625,-0.4994
2021-02-17,9950.0625,-0.4994
2021-02-18,9950.0625,-0.4994
2021-02-19,9950.0625,-0.4994
2021-02-20,9950.0625,-0.4994
2021-02-21,9950.0625,-0.4994
2021-02-22,9950.0625,-0.4994
2021-02-23,9950.0625,-0.4994
2021-02-24,9950.0625,-0.4994
2021-02-25,9950.0625,-0.4994
2021-02-26,9950.0625,-0.4994
2021-02-27,9950.0625,-0.4994
2021-02-28,9950.0625,-0.4994
2021-03-01,9950.0625,-0.4994
2021-03-02,9950.0625,-0.4994
2021-03-03,9950.0625,-0.4994
2021-03-04,9950.0625,-0.4994
2021-03-05,9950.0625,-0.4994
2021-03-06,9950.0625,-0.4994
2021-03-07,9950.0625,-0.4994
2021-03-08,9950.0625,-0.4994
2021-03-09,9950.0625,-0.4994
2021-03-10,9950.0625,-0.4994
2021-03-11,9950.0625,-0.4994
2021-03-12,9950.0625,-0.4994
2021-03-13,9950.0625,-0.4994
2021-03-14,9950.0625,-0.4994
2021-03-15,9950.0625,-0.4994
2021-03-16,9950.0625,-0.4994
2021-03-17,9950.0625,-0.4994
2021-03-18,9950.0625,-0.4994
2021-03-19,9950.0625,-0.4994
2021-03-20,9950.0625,-0.4994
2021-03-21,9950.0625,-0.4994
2021-03-22,9950.0625,-0.4994
2021-03-23,9950.0625,-0.4994
2021-03-24,9950.0625,-0.4994
2021-03-25,9950.0625,-0.4994
2021-03-26,9950.0625,-0.4994
2021-03-27,9950.0625,-0.4994
2021-03-28,9950.0625,-0.4994
2021-03-29,9950.0625,-0.4994
2021-03-30,9950.0625,-0.4994
2021-03-31,9950.0625,-0.4994
2021-04-01,9950.0625,-0.4994
2021-04-02,9950.0625,-0.4994
2021-04-03,9950.0625,-0.4994
2021-04-04,9950.0625,-0.4994
2021-04-05,9950.0625,-0.4994
2021-04-06,9950.0625,-0.4994
2021-04-07,9950.0625,-0.4994
2021-04-08,9950.0625,-0.4994
2021-04-09,9950.0625,-0.4994
2021-04-10,9950.0625,-0.4994
2021-04-11,9950.0625,-0.4994
2021-04-12,9950.0625,-0.4994
2021-04-13,9950.0625,-0.4994
2021-04-14,9950.0625,-0.4994
2021-04-15,9950.0625,-0.4994
2021-04-16,9950.0625,-0.4994
2021-04-17,9950.0625,-0.4994
2021-04-18,9950.0625,-0.4994
2021-04-19,9950.0625,-0.4994
2021-04-20,9950.0625,-0.4994
2021-04-21,9950.0625,-0.4994
2021-04-22,9950.0625,-0.4994
2021-04-23,9950.0625,-0.4994
2021-04-24,9950.0625,-0.4994
2021-04-25,9950.0625,-0.4994
2021-04-26,9950.0625,-0.4994
2021-04-27,9950.0625,-0.4994
2021-04-28,9950.0625,-0.4994
2021-04-29,9950.0625,-0.4994
2021-04-30,9950.0625,-0.4994
2021-05-01,9950.0625,-0.4994
2021-05-02,9950.0625,-0.4994
2021-05-03,9950.0625,-0.4994
2021-05-04,9950.0625,-0.4994
2021-05-05,9950.0625,-0.4994
2021-05-06,9950.0625,-0.4994
2021-05-07,9950.0625,-0.4994
2021-05-08,9950.0625,-0.4994
2021-05-09,9950.0625,-0.4994
2021-05-10,9950.0625,-0.4994
2021-05-11,9950.0625,-0.4994
2021-05-12,9950.0625,-0.4994
2021-05-13,9950.0625,-0.4994
2021-05-14,9950.0625,-0.4994
2021-05-15,9950.0625,-0.4994
2021-05-16,9950.0625,-0.4994
2021-05-17,9950.0625,-0.4994
2021-05-18,9950.0625,-0.4994
2021-05-19,9925.125,-0.7488
2021-05-20,9925.125,-0.7488
2021-05-21,9925.125,-0.7488
2021-05-22,9925.125,-0.7488
2021-05-23,9900.125,-0.9988
2021-05-24,9971.6546,-0.2835
2021-05-25,10078.36,0.0
2021-05-26,10245.8439,0.0
2021-05-27,10245.8439,0.0
2021-05-28,10245.8439,0.0
2021-05-29,10245.8439,0.0
2021-05-30,10396.2363,0.0
2021-05-31,11088.3615,0.0
2021-06-01,11088.3615,0.0
2021-06-02,11088.3615,0.0
2021-06-03,11452.1025,0.0
2021-06-04,11452.1025,0.0
2021-06-05,11452.1025,0.0
2021-06-06,11452.1025,0.0
2021-06-07,11452.1025,0.0
2021-06-08,11452.1025,0.0
2021-06-09,11452.1025,0.0
2021-06-10,11452.1025,0.0
2021-06-11,11452.1025,0.0
2021-06-12,11452.1025,0.0
2021-06-13,11452.1025,0.0
2021-06-14,11452.1025,0.0
2021-06-15,11452.1025,0.0
2021-06-16,11452.1025,0.0
2021-06-17,11452.1025,0.0
2021-06-18,11452.1025,0.0
2021-06-19,11452.1025,0.0
2021-06-20,11452.1025,0.0
2021-06-21,11452.1025,0.0
2021-06-22,11452.1025,0.0
2021-06-23,11452.1025,0.0
2021-06-24,11452.1025,0.0
2021-06-25,11452.1025,0.0
2021-06-26,11452.1025,0.0
2021-06-27,11452.1025,0.0
2021-06-28,11452.1025,0.0
2021-06-29,11452.1025,0.0
2021-06-30,11452.1025,0.0
2021-07-01,11452.1025,0.0
2021-07-02,11452.1025,0.0
2021-07-03,11452.1025,0.0
2021-07-04,11452.1025,0.0
2021-07-05,11452.1025,0.0
2021-07-06,11452.1025,0.0
2021-07-07,11452.1025,0.0
2021-07-08,11452.1025,0.0
2021-07-09,11452.1025,0.0
2021-07-10,11452.1025,0.0
2021-07-11,11452.1025,0.0
2021-07-12,11452.1025,0.0
2021-07-13,11452.1025,0.0
2021-07-14,11452.1025,0.0
2021-07-15,11452.1025,0.0
2021-07-16,11452.1025,0.0
2021-07-17,11452.1025,0.0
2021-07-18,11452.1025,0.0
2021-07-19,11452.1025,0.0
2021-07-20,11452.1025,0.0
2021-07-21,11452.1025,0.0
