exit_time,trade_id,symbol,net_r,equity_r,peak_r,dd_r,exit_reason,chan_activated
1970-01-01 00:28:32.016000+00:00,20,ADX/USDT,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,0.0,initial_stop,False
1970-01-01 00:28:32.275200+00:00,76,ATA/USDT,-1.0,-2.0,-1.0000000000000002,-0.9999999999999998,initial_stop,False
1970-01-01 00:28:32.275200+00:00,129,ICP/USDT,-0.6499419605331622,-2.6499419605331624,-1.0000000000000002,-1.6499419605331622,midline_exit,False
1970-01-01 00:28:32.793600+00:00,70,ASR/USDT,1.5594365109996142,-1.0905054495335482,-1.0000000000000002,-0.090505449533548,chandelier_stop,True
1970-01-01 00:28:32.793600+00:00,101,BCH/USDT,-0.0628519051983761,-1.1533573547319242,-1.0000000000000002,-0.15335735473192402,midline_exit,False
1970-01-01 00:28:32.880000+00:00,31,ALCX/USDT,-0.9999999999999999,-2.153357354731924,-1.0000000000000002,-1.1533573547319238,initial_stop,False
1970-01-01 00:28:36.422400+00:00,110,BTC/USDT,-0.9999999999999989,-3.1533573547319227,-1.0000000000000002,-2.1533573547319227,initial_stop,False
1970-01-01 00:28:36.422400+00:00,134,LINK/USDT,-1.0000000000000004,-4.153357354731924,-1.0000000000000002,-3.1533573547319236,initial_stop,False
1970-01-01 00:28:36.508800+00:00,148,SOL/USDT,-1.0000000000000004,-5.153357354731924,-1.0000000000000002,-4.153357354731924,initial_stop,False
1970-01-01 00:28:37.286400+00:00,89,AUDIO/USDT,-0.6393924546790798,-5.792749809411004,-1.0000000000000002,-4.792749809411004,midline_exit,False
1970-01-01 00:28:37.286400+00:00,169,UNI/USDT,0.09219301686936172,-5.700556792541642,-1.0000000000000002,-4.700556792541642,midline_exit,False
1970-01-01 00:28:37.459200+00:00,38,ALICE/USDT,3.8380553766902765,-1.8625014158513653,-1.0000000000000002,-0.8625014158513651,chandelier_stop,True
1970-01-01 00:28:37.718400+00:00,79,ATM/USDT,-1.0,-2.8625014158513653,-1.0000000000000002,-1.862501415851365,initial_stop,False
1970-01-01 00:28:37.718400+00:00,85,AUCTION/USDT,-1.0,-3.8625014158513653,-1.0000000000000002,-2.862501415851365,initial_stop,False
