chan_activate_r,chan_atr_mult,trades,total_r,avg_r,pf,max_dd_r,win_rate_pct,avg_mfe_r,chan_activated_pct
3.0,2.0,181,38.6800788690767,0.2137020931993188,1.3560852739779008,-11.604203429913348,29.2817679558011,1.952120923598725,23.204419889502763
2.5,2.0,184,36.22794816752058,0.19689102264956837,1.3355020794273738,-10.03664749187548,30.978260869565215,1.8708388456942657,28.26086956521739
2.5,2.5,181,30.38135344400619,0.16785278145859775,1.2804209639986697,-12.929230652907375,30.386740331491712,1.9968845903655035,28.176795580110497
2.5,3.0,178,30.15749527771193,0.16942413077366253,1.2809479042942657,-19.890265379940185,29.775280898876407,2.1768066971123767,27.528089887640448
3.0,3.0,177,27.3633212852193,0.15459503550971357,1.2556696199049542,-20.38358000597812,28.8135593220339,2.1742729604727558,22.598870056497177
1.5,2.0,189,26.57137157236999,0.1405892675786772,1.2500343854923457,-10.036647491875481,37.56613756613756,1.7241912197954163,37.56613756613756
3.0,2.5,180,25.9223150142681,0.14401286119037834,1.23996345302843,-13.763740177428666,29.444444444444446,2.0001755419898855,23.333333333333332
2.0,2.0,187,22.7230324873954,0.12151354271334439,1.209522463703402,-10.036647491875481,33.155080213903744,1.7409041304810493,32.0855614973262
1.0,2.0,191,22.684766675030758,0.11876841191115581,1.2357567707031503,-11.376972287485287,40.83769633507853,1.6157867789505846,50.261780104712045
2.0,3.0,179,16.941426633203776,0.09464484152627807,1.1583362039257346,-18.91469537294273,30.726256983240223,2.0751331984685977,31.28491620111732
2.0,2.5,184,14.877519576912308,0.08085608465713211,1.1367265904776382,-12.815528912910008,32.608695652173914,1.8627762806976498,32.06521739130435
1.0,3.0,180,12.106399865041128,0.06725777702800627,1.1122468105061125,-24.40576001942846,28.888888888888886,2.041559856507814,48.333333333333336
1.0,2.5,186,12.020285532397466,0.06462519103439499,1.1163458152699894,-14.199122779651201,31.72043010752688,1.7864062896880244,48.924731182795696
1.5,3.0,180,11.774954323121419,0.0654164129062301,1.1087853301207768,-24.187648574744824,29.444444444444446,2.0432618082248064,36.111111111111114
1.5,2.5,185,11.627309566035159,0.06285032197856842,1.1072977306396021,-16.092232880792533,34.054054054054056,1.829241695093168,36.75675675675676
