symbol,trades,total_r,avg_r,win_rate_pct,profit_factor,max_dd_r,avg_mfe_r
TRX/USDT,9,15.907500071298195,1.7675000079220216,44.44444444444444,4.411977998247198,-1.9999999999999982,3.4805460446848375
ALGO/USDT,4,11.95751399419293,2.9893784985482323,75.0,20.936121882492124,-0.5997913769123784,5.236754803632112
XRP/USDT,8,11.88262031135839,1.4853275389197989,50.0,4.628956668645764,-2.0,3.1785701665657964
ADA/USDT,5,7.851088529024955,1.570217705804991,60.0,4.925544264512478,-2.0,3.1873525273307455
ANKR/USDT,1,7.518824027072756,7.518824027072756,100.0,inf,0.0,10.663071065989843
ALCX/USDT,3,6.538101003069491,2.1793670010231634,66.66666666666666,7.5381010030694915,0.0,3.999382105150248
ARDR/USDT,3,5.150566066993104,1.716855355664368,66.66666666666666,6.150566066993106,0.0,3.2840049166284744
ASR/USDT,6,5.045645314944364,0.8409408858240607,33.33333333333333,2.5098406722880955,-1.7182660532624894,2.5633304399019594
SUI/USDT,5,4.0489186257658885,0.8097837251531776,80.0,5.0489186257658885,0.0,2.328825210190801
LINK/USDT,5,3.886825976033271,0.7773651952066543,40.0,2.883974928081256,-1.0630985678731024,2.4181196447753184
DOGE/USDT,6,3.46236582887616,0.57706097147936,33.33333333333333,2.0448493938569396,-2.313746315241895,2.431172478860502
ETH/USDT,5,3.125900827658803,0.6251801655317606,60.0,3.1209557324350037,-1.0000000000000009,2.0828375125070253
AUCTION/USDT,4,2.0960608989850167,0.5240152247462542,25.0,1.6986869663283388,-1.0,2.668108727585464
AMP/USDT,3,1.8415790734330075,0.6138596911443358,66.66666666666666,2.8415790734330084,-0.9999999999999996,2.5181896568996023
ALICE/USDT,3,1.8380553766902765,0.6126851255634255,33.33333333333333,1.9190276883451383,-2.0,2.2799770786103966
AVAX/USDT,3,1.6635424329777981,0.5545141443259327,33.33333333333333,4.028339633165727,-0.5493249220658867,2.870500519103469
BTC/USDT,5,1.40780669027968,0.281561338055936,40.0,1.6859768713667056,-1.0522655340767355,1.7309470095133594
BCH/USDT,3,1.3835853986610533,0.4611951328870178,33.33333333333333,2.84646886982902,-0.6864623243933586,1.8258481702679752
ATOM/USDT,2,1.075556940333386,0.537778470166693,50.0,2.075556940333387,-0.9999999999999991,2.1343287553184256
NEAR/USDT,4,-0.3185633343000216,-0.0796408335750054,25.0,0.8587145530470606,-1.7368744243168561,1.5999790083113097
BNB/USDT,6,-0.5978823515368583,-0.09964705858947638,33.33333333333333,0.8505294121157854,-1.9999999999999998,1.7204671652795096
AUDIO/USDT,1,-0.6393924546790798,-0.6393924546790798,0.0,0.0,0.0,2.3076923076923075
ICP/USDT,5,-0.7338614878263527,-0.14677229756527055,20.0,0.7989388610115995,-2.999999999999999,1.4833998998467854
API3/USDT,1,-0.9268590998043056,-0.9268590998043056,0.0,0.0,0.0,1.2431506849315064
ALPINE/USDT,7,-0.9666979178982342,-0.1380997025568906,28.57142857142857,0.8017275511469563,-1.8756038647342999,2.442371380551085
1000CHEEMS/USDT,1,-0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,1.3797740720817657
ACM/USDT,1,-0.9999999999999997,-0.9999999999999997,0.0,0.0,0.0,0.8556461001164154
AWE/USDT,1,-0.9999999999999998,-0.9999999999999998,0.0,0.0,0.0,3.4706288873531443
AR/USDT,1,-1.0,-1.0,0.0,0.0,0.0,0.43141592920354
1MBABYDOGE/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.09064226519336972
ARB/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.06116605934409066
AXL/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.13532883642495838
AI/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.7317930452713468
AVA/USDT,2,-1.0032313657906073,-0.5016156828953037,0.0,0.0,-1.0000000000000002,1.513400169824433
ARKM/USDT,2,-1.0310701510280489,-0.5155350755140244,0.0,0.0,-0.4847801578354006,1.296363093561565
1INCH/USDT,2,-1.3420655861289104,-0.6710327930644552,0.0,0.0,-0.3420655861289106,1.3661681974252213
ARK/USDT,3,-1.6601664386445294,-0.5533888128815098,0.0,0.0,-1.3031088082901559,0.5144934626821963
APE/USDT,2,-2.0,-1.0,0.0,0.0,-0.9999999999999998,1.0246898076420414
ARPA/USDT,2,-2.0000000000000004,-1.0000000000000002,0.0,0.0,-1.0000000000000002,0.5937930831370152
DOT/USDT,3,-2.03028610705387,-0.6767620356846233,0.0,0.0,-1.0302861070538707,1.1353117653337585
AAVE/USDT,5,-2.1055775552699334,-0.4211155110539867,20.0,0.42843065982115874,-2.683853221747529,1.0800977080086782
UNI/USDT,5,-2.191633266856164,-0.43832665337123283,40.0,0.2278545914535494,-2.283826283725526,1.3610509196487204
ATM/USDT,4,-2.4961820453841734,-0.6240455113460434,25.0,0.0034436363917313,-1.4961820453841734,1.5101065939913738
ACH/USDT,4,-2.85139588136082,-0.712848970340205,0.0,0.0,-1.8513958813608202,0.7825895982606758
APT/USDT,3,-2.999999999999999,-0.9999999999999997,0.0,0.0,-1.9999999999999991,0.4328472501285363
ATA/USDT,3,-3.000000000000001,-1.0000000000000002,0.0,0.0,-2.000000000000001,0.052007685926877795
AXS/USDT,4,-3.0404572309273057,-0.7601143077318264,0.0,0.0,-2.0404572309273057,0.9491398286732463
ADX/USDT,4,-3.342082616179001,-0.8355206540447503,0.0,0.0,-2.3420826161790007,0.9848827963146871
SOL/USDT,7,-3.49679467821858,-0.49954209688836854,28.57142857142857,0.2470193304118111,-2.83128374325135,1.02332649404473
LTC/USDT,5,-4.491978605450956,-0.8983957210901912,0.0,0.0,-3.491978605450956,0.37876675777236407
AGLD/USDT,6,-5.735800344234079,-0.9559667240390132,0.0,0.0,-4.999999999999999,0.48033185593300104
