trade_id,symbol,chan_activate_r,chan_atr_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mfe_r,mae_r,chan_activated
20,ADX/USDT,3.0,2.0,1970-01-01 00:28:31.756800+00:00,1970-01-01 00:28:32.016000+00:00,0.3476,0.28457333333333334,0.28457333333333334,0.06302666666666666,initial_stop,3,-1.0000000000000002,0.05077215993230348,-1.0614554685847264,False
76,ATA/USDT,3.0,2.0,1970-01-01 00:28:32.188800+00:00,1970-01-01 00:28:32.275200+00:00,0.248,0.20478666666666667,0.20478666666666667,0.043213333333333326,initial_stop,1,-1.0,0.11570502931194088,-1.469453872261648,False
129,ICP/USDT,3.0,2.0,1970-01-01 00:28:31.411200+00:00,1970-01-01 00:28:32.275200+00:00,19.019,16.854,15.687933333333332,3.331066666666667,midline_exit,10,-0.6499419605331622,0.5902013369090985,-0.7529119801464993,False
70,ASR/USDT,3.0,2.0,1970-01-01 00:28:32.102400+00:00,1970-01-01 00:28:32.793600+00:00,3.924,5.0014666666666665,3.2330666666666668,0.6909333333333332,chandelier_stop,8,1.5594365109996142,3.728290235430337,-0.18236202238517935,True
101,BCH/USDT,3.0,2.0,1970-01-01 00:28:31.670400+00:00,1970-01-01 00:28:32.793600+00:00,620.6,614.2,518.7733333333333,101.82666666666667,midline_exit,13,-0.0628519051983761,0.9712583475186589,-0.5784339400288069,False
31,ALCX/USDT,3.0,2.0,1970-01-01 00:28:32.448000+00:00,1970-01-01 00:28:32.880000+00:00,39.0,32.68266666666667,32.68266666666667,6.317333333333331,initial_stop,5,-0.9999999999999999,0.718657661460532,-1.530709159983116,False
110,BTC/USDT,3.0,2.0,1970-01-01 00:28:36.163200+00:00,1970-01-01 00:28:36.422400+00:00,71446.62,66396.79066666667,66396.79066666667,5049.829333333333,initial_stop,3,-0.9999999999999989,0.10542534506776824,-1.0167591142354102,False
134,LINK/USDT,3.0,2.0,1970-01-01 00:28:36.163200+00:00,1970-01-01 00:28:36.422400+00:00,17.262,15.5612,15.5612,1.7008,initial_stop,3,-1.0000000000000004,0.10406867356538076,-1.070084666039511,False
148,SOL/USDT,3.0,2.0,1970-01-01 00:28:36.163200+00:00,1970-01-01 00:28:36.508800+00:00,186.7,164.34133333333332,164.34133333333332,22.358666666666654,initial_stop,4,-1.0000000000000004,0.0979485956228755,-1.0823543443258394,False
89,AUDIO/USDT,3.0,2.0,1970-01-01 00:28:36.422400+00:00,1970-01-01 00:28:37.286400+00:00,0.2088,0.1914,0.18158666666666667,0.027213333333333336,midline_exit,10,-0.6393924546790798,2.3076923076923075,-0.676139147476727,False
169,UNI/USDT,3.0,2.0,1970-01-01 00:28:36.163200+00:00,1970-01-01 00:28:37.286400+00:00,9.328,9.422,8.308399999999999,1.0195999999999998,midline_exit,13,0.09219301686936172,2.4244801883091425,-0.6973322871714385,False
38,ALICE/USDT,3.0,2.0,1970-01-01 00:28:37.113600+00:00,1970-01-01 00:28:37.459200+00:00,1.612,2.4067333333333334,1.4049333333333334,0.20706666666666668,chandelier_stop,4,3.8380553766902765,5.684159690920798,-0.4684481648422418,True
79,ATM/USDT,3.0,2.0,1970-01-01 00:28:37.459200+00:00,1970-01-01 00:28:37.718400+00:00,3.535,3.0218000000000003,3.0218000000000003,0.5131999999999999,initial_stop,3,-1.0,1.1983632112236953,-1.260717069368668,False
85,AUCTION/USDT,3.0,2.0,1970-01-01 00:28:36.940800+00:00,1970-01-01 00:28:37.718400+00:00,24.26,19.797333333333334,19.797333333333334,4.462666666666667,initial_stop,9,-1.0,1.0352554526441582,-1.2907080968031075,False
124,ETH/USDT,3.0,2.0,1970-01-01 00:28:36.163200+00:00,1970-01-01 00:28:37.718400+00:00,3661.78,3678.32,3353.5013333333336,308.2786666666665,midline_exit,18,0.053652755731826964,1.022516424533647,-0.5312725715694468,False
104,BNB/USDT,3.0,2.0,1970-01-01 00:28:37.459200+00:00,1970-01-01 00:28:37.977600+00:00,685.7,644.0866666666667,644.0866666666667,41.61333333333334,initial_stop,6,-1.0000000000000002,0.867510413329059,-1.7398269785325238,False
24,AGLD/USDT,3.0,2.0,1970-01-01 00:28:37.372800+00:00,1970-01-01 00:28:38.064000+00:00,1.631,1.46,1.3986,0.2323999999999999,midline_exit,8,-0.7358003442340796,0.5120481927710845,-0.907917383820999,False
160,TRX/USDT,3.0,2.0,1970-01-01 00:28:40.828800+00:00,1970-01-01 00:28:41.606400+00:00,0.13946,0.132124,0.132124,0.007335999999999998,initial_stop,9,-1.0000000000000016,0.09814612868047964,-1.0577971646673925,False
39,ALICE/USDT,3.0,2.0,1970-01-01 00:28:41.174400+00:00,1970-01-01 00:28:41.692800+00:00,1.362,1.1577333333333335,1.1577333333333335,0.20426666666666662,initial_stop,6,-0.9999999999999999,1.1504569190600518,-1.013381201044387,False
149,SOL/USDT,3.0,2.0,1970-01-01 00:28:41.520000+00:00,1970-01-01 00:28:42.384000+00:00,184.49,171.71,164.64333333333335,19.846666666666675,midline_exit,10,-0.6439368491770237,0.47816593886462766,-0.9608666442727585,False
174,XRP/USDT,3.0,2.0,1970-01-01 00:28:41.088000+00:00,1970-01-01 00:28:42.556800+00:00,0.5793,0.5607,0.5115133333333334,0.06778666666666668,midline_exit,17,-0.2743902439024399,1.1698465774980318,-0.5797600314712824,False
155,SUI/USDT,3.0,2.0,1970-01-01 00:28:43.420800+00:00,1970-01-01 00:28:43.680000+00:00,1.0143,0.82778,0.82778,0.18652,initial_stop,3,-1.0000000000000002,0.0117949817713917,-1.0250911430409604,False
86,AUCTION/USDT,3.0,2.0,1970-01-01 00:28:44.112000+00:00,1970-01-01 00:28:44.284800+00:00,20.21,17.404666666666667,17.404666666666667,2.805333333333333,initial_stop,2,-1.0000000000000002,1.6147813688212922,-1.019486692015209,False
161,TRX/USDT,3.0,2.0,1970-01-01 00:28:44.025600+00:00,1970-01-01 00:28:44.284800+00:00,0.1432,0.15674666666666667,0.13614666666666667,0.007053333333333325,chandelier_stop,3,1.9206049149338416,3.317580340264655,-0.15595463137996096,True
5,AAVE/USDT,3.0,2.0,1970-01-01 00:28:44.198400+00:00,1970-01-01 00:28:44.716800+00:00,140.16,122.184,122.184,17.976000000000003,initial_stop,6,-0.9999999999999998,0.4789719626168231,-1.2800400534045386,False
162,TRX/USDT,3.0,2.0,1970-01-01 00:28:44.371200+00:00,1970-01-01 00:28:45.321600+00:00,0.1583,0.1503,0.14622,0.012079999999999995,midline_exit,11,-0.6622516556291399,0.9685430463576176,-0.6622516556291399,False
60,ARDR/USDT,3.0,2.0,1970-01-01 00:28:46.876800+00:00,1970-01-01 00:28:46.963200+00:00,0.108,0.09246933333333333,0.09246933333333333,0.01553066666666667,initial_stop,1,-0.9999999999999997,0.04507211538461577,-1.448102678571428,False
55,APT/USDT,3.0,2.0,1970-01-01 00:28:46.876800+00:00,1970-01-01 00:28:47.740800+00:00,8.25,7.378,7.378,0.872,initial_stop,10,-0.9999999999999999,0.447247706422019,-1.1697247706422014,False
66,ARKM/USDT,3.0,2.0,1970-01-01 00:28:47.049600+00:00,1970-01-01 00:28:47.740800+00:00,1.439,1.332,1.2431333333333334,0.19586666666666658,midline_exit,8,-0.5462899931926483,1.3835942818243705,-0.8219877467665083,False
115,DOGE/USDT,3.0,2.0,1970-01-01 00:28:47.395200+00:00,1970-01-01 00:28:47.740800+00:00,0.12351,0.112078,0.112078,0.011432000000000003,initial_stop,4,-0.9999999999999996,0.7513995801259621,-1.8290762771168643,False
144,NEAR/USDT,3.0,2.0,1970-01-01 00:28:47.049600+00:00,1970-01-01 00:28:47.740800+00:00,5.177,4.839,4.524333333333333,0.6526666666666667,midline_exit,8,-0.5178753830439211,1.063329928498469,-0.893258426966291,False
156,SUI/USDT,3.0,2.0,1970-01-01 00:28:46.617600+00:00,1970-01-01 00:28:48+00:00,1.3141,1.6384400000000001,1.11846,0.19563999999999998,chandelier_stop,16,1.6578409323246786,3.565221836025353,-0.03220200368022885,True
41,ALPINE/USDT,3.0,2.0,1970-01-01 00:28:48.259200+00:00,1970-01-01 00:28:48.345600+00:00,1.642,1.3596,1.3596,0.28240000000000004,initial_stop,1,-0.9999999999999998,1.550991501416431,-1.0056657223796026,False
80,ATM/USDT,3.0,2.0,1970-01-01 00:28:48.259200+00:00,1970-01-01 00:28:49.382400+00:00,2.261,2.086,1.9143333333333334,0.34666666666666673,midline_exit,13,-0.504807692307693,1.6269230769230767,-0.6605769230769232,False
25,AGLD/USDT,3.0,2.0,1970-01-01 00:28:48.950400+00:00,1970-01-01 00:28:49.555200+00:00,1.179,1.0494,1.0494,0.12960000000000002,initial_stop,7,-0.9999999999999993,0.9876543209876534,-1.0416666666666665,False
52,APE/USDT,3.0,2.0,1970-01-01 00:28:49.382400+00:00,1970-01-01 00:28:49.555200+00:00,1.491,1.2742,1.2742,0.21680000000000005,initial_stop,2,-1.0000000000000002,1.236162361623615,-1.0931734317343176,False
68,ARPA/USDT,3.0,2.0,1970-01-01 00:28:49.382400+00:00,1970-01-01 00:28:49.555200+00:00,0.06023,0.05162866666666666,0.05162866666666666,0.008601333333333334,initial_stop,2,-1.0000000000000002,0.8638195628584714,-1.2672453883118895,False
102,BCH/USDT,3.0,2.0,1970-01-01 00:28:48.864000+00:00,1970-01-01 00:28:49.641600+00:00,369.6,348.1,338.28000000000003,31.32000000000001,midline_exit,9,-0.6864623243933586,0.5491698595146866,-0.9897828863346101,False
21,ADX/USDT,3.0,2.0,1970-01-01 00:28:48.432000+00:00,1970-01-01 00:28:49.814400+00:00,0.1696,0.1643,0.15410666666666667,0.01549333333333333,midline_exit,16,-0.34208261617900176,2.710843373493977,-0.9294320137693631,False
116,DOGE/USDT,3.0,2.0,1970-01-01 00:28:49.209600+00:00,1970-01-01 00:28:50.419200+00:00,0.13716,0.15631466666666666,0.12360133333333334,0.013558666666666667,chandelier_stop,14,1.4127249483725037,3.144852001180056,-0.691070901760253,True
15,ADA/USDT,3.0,2.0,1970-01-01 00:28:50.937600+00:00,1970-01-01 00:28:51.283200+00:00,0.4065,0.5865666666666667,0.36452666666666667,0.04197333333333332,chandelier_stop,4,4.290025412960612,6.037166454891999,-0.0643265565438369,True
