n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,slow_n,fast_n,quantile,rebalance_n,side,profitable,gate_avgr,zone_frac,gate_stability,all_gates
541,0.5449690822929365,294.82827352047866,0.39926062846580407,1.9088304532367883,2.384700809069032,108.21481380065717,150,0.3992104042166743,0.2844486611238023,False,180,30,0.2,14,long_only,True,True,0.8666666666666667,True,False
776,0.5220113085096778,405.08077540350996,0.42010309278350516,2.1115783247542654,3.348514074638853,155.22124863088717,163,0.35558967367669053,0.18555952816073443,False,180,30,0.2,7,long_only,True,True,0.8666666666666667,True,False
281,0.48273647488507,135.64894944270466,0.3665480427046263,1.8103396163264058,2.2822522524801427,56.20769441401971,118,0.5010446254832852,0.35827404121233647,False,180,30,0.1,14,long_only,True,True,0.8666666666666667,True,False
410,0.47902930157948553,196.40201364758906,0.4121951219512195,1.9807310735181187,2.969226130827877,82.01122672508214,129,0.30229020581843086,0.22632935481052455,False,180,30,0.1,7,long_only,True,True,0.8666666666666667,True,False
588,0.38196384307741754,224.5947397295215,0.42346938775510207,1.753090940635129,3.601187065560171,117.61610076670317,143,0.37806913403048287,0.1773912240026285,False,180,20,0.2,14,long_only,True,True,0.8666666666666667,True,False
291,0.3785878705022255,110.16907031614761,0.41237113402061853,1.7096782187590902,2.57569530809839,58.207968236582694,112,0.43532024243456596,0.37637788838528125,False,180,20,0.1,14,long_only,True,True,0.8666666666666667,True,False
447,0.307903051663033,137.63266409337575,0.38031319910514544,1.6231280213016666,2.3872666185850084,89.41223986856517,130,0.5308843466148527,0.2846550156627891,False,180,20,0.1,7,long_only,True,True,0.8666666666666667,True,False
901,0.2536492485043266,228.53797290239825,0.38179800221975585,1.5401972778905921,2.973523957248934,180.2246714129244,161,0.5013251962296742,0.22622338995538765,False,180,20,0.2,7,long_only,True,True,0.8666666666666667,True,False
1635,0.23376990018549693,382.21378680328746,0.44587155963302755,1.555232560816065,3.051596013256398,327.0447699890471,199,0.330436267694717,0.19740537906419214,False,180,30,0.2,7,long_short,True,False,0.6666666666666666,False,False
894,0.18260877637120704,163.2522460758591,0.44966442953020136,1.4150635188072986,2.312931824329723,178.82447973713033,180,0.32285003474155316,0.27251916717786845,False,180,30,0.1,7,long_short,True,False,0.6666666666666666,False,False
1126,0.17378818081261127,195.6854915950003,0.4280639431616341,1.2968162051086394,1.5190586419881913,225.23083242059144,195,0.48416833913955604,0.4294483547080781,False,180,30,0.2,14,long_short,True,False,0.6666666666666666,False,False
549,0.17262601398000677,94.77168167502371,0.3879781420765027,1.354991821705737,1.6080358690788064,109.81503285870755,114,0.9679809901427174,0.33233544858710434,False,365,30,0.2,7,long_only,True,False,0.8666666666666667,True,False
281,0.16550473957895112,46.50683182168527,0.3736654804270463,1.3409643895714873,0.9611030685259578,56.20769441401971,87,1.3375581303256014,0.7684518911595563,False,365,30,0.1,7,long_only,True,False,0.8666666666666667,True,False
1237,0.16344935805718144,202.18685591673344,0.46321746160064675,1.332960515156945,2.856585572942236,247.43387185104052,192,0.36125512682836824,0.19151719628186445,False,180,20,0.2,14,long_short,True,False,0.6666666666666666,False,False
448,0.12455360793446693,55.80001635464119,0.40625,1.2042348354153425,1.286758289474474,89.61226725082146,105,0.7466319869091135,0.39334953507581594,False,365,20,0.2,14,long_only,True,False,0.8666666666666667,True,False
662,0.12379316675278569,81.95107639034413,0.4788519637462236,1.2458019774773303,1.6660541664637116,132.41812705366922,172,0.49637540300426497,0.5043777627851107,False,180,20,0.1,14,long_short,True,False,0.6666666666666666,False,False
222,0.11621743780730123,25.800271193220873,0.3738738738738739,1.1888129181490799,0.8419484113343607,44.406078860898134,82,0.7008762649612332,0.5971308517504553,False,365,20,0.1,14,long_only,True,False,0.8666666666666667,True,False
619,0.1054009396417841,65.24318163826436,0.40387722132471726,1.181110699613483,1.000940391486669,123.8169496166484,175,0.9672936719320832,0.7290020466541796,False,180,30,0.1,14,long_short,True,False,0.6666666666666666,False,False
1013,0.09218977115198573,93.38823817696155,0.4244817374136229,1.2145664784589256,1.5017333134264161,202.62773822562977,185,0.6599743724221098,0.4356730391399599,False,180,20,0.1,7,long_short,True,False,0.6666666666666666,False,False
402,0.07573207735688073,30.444295097466053,0.3582089552238806,1.118173068974626,0.5449585074890075,80.41100766703175,107,2.5471074481067113,1.0209976685609201,False,365,30,0.2,14,long_only,True,False,0.8666666666666667,True,False
1924,0.07453316511585466,143.40180968290437,0.41216216216216217,1.1751583100894398,1.7273362364751197,384.8526834611172,199,0.7029529327917714,0.3305815635081544,False,180,20,0.2,7,long_short,True,False,0.6666666666666666,False,False
1176,0.06919233919607405,81.37019089458309,0.43537414965986393,1.1452131642576504,1.2123519919793104,235.23220153340634,154,0.9567446262745606,0.3941660371297388,False,365,30,0.2,7,long_short,True,False,0.6666666666666666,False,False
641,0.05017249375382957,32.16056849620475,0.43369734789391573,1.1078307149676412,0.6033161995367713,128.21755202628697,139,1.6949772394191525,1.1112447489673853,False,365,30,0.1,7,long_short,True,False,0.6666666666666666,False,False
202,0.01544199985433861,3.119283970576399,0.297029702970297,1.0228707045077166,0.0693649078515587,40.40553121577218,81,16.88195868175176,11.688869758455096,False,365,30,0.1,14,long_only,True,False,0.8666666666666667,True,False
962,0.014537874333787568,13.98543510910364,0.4397089397089397,1.0259203595052626,0.2619988264412549,192.4263417305586,146,2.376051220356729,1.7884617804743717,False,365,20,0.2,14,long_short,True,False,0.6666666666666666,False,False
720,-0.010041738543490256,-7.230051751312985,0.32222222222222224,0.9831551751270168,-0.13741663643512905,144.0197152245345,117,7.01748000967803,1.448441582810869,False,365,20,0.2,7,long_only,False,False,0.9333333333333333,True,False
514,-0.0149504824075538,-7.684547957482653,0.42412451361867703,0.973203632684403,-0.19990397803591725,102.81407447973713,129,1.8123053492049628,1.5616016633386158,False,365,20,0.1,14,long_short,False,False,0.7333333333333333,True,False
358,-0.018032665697056208,-6.455694319546122,0.3435754189944134,0.9666520288067839,-0.18847749312221562,71.60980284775465,90,3.393602574721676,1.073206135235349,False,365,20,0.1,7,long_only,False,False,0.9333333333333333,True,False
842,-0.05806447784652707,-48.89029034677579,0.41211401425178146,0.9116127285910757,-0.7410112420342772,168.42305585980284,146,0.9857705375914052,0.2580199728326159,False,365,30,0.2,14,long_short,False,False,0.7333333333333333,True,False
770,-0.09390987306190542,-72.31060225766717,0.38441558441558443,0.8065674985434258,-1.8184683226050018,154.02108433734938,136,0.2838562948031767,0.12269630408245055,False,365,20,0.1,7,long_short,False,False,0.7333333333333333,True,False
457,-0.0955518895882585,-43.66721354183414,0.38293216630196936,0.8526219295639664,-0.8600682587689409,91.41251369112814,130,0.5130297481707051,0.19498932494060728,False,365,30,0.1,14,long_short,False,False,0.7333333333333333,True,False
1485,-0.11334832163157928,-168.32225762289522,0.3643097643097643,0.7910639031245607,-2.761538332943361,297.04066265060237,156,0.3050456517891572,0.0699998507710047,False,365,20,0.2,7,long_short,False,False,0.7333333333333333,True,False
