donchian_n,atr_mult,n,avg_r,avg_r_raw,avg_fc,total_r,sharpe,win_rate,pf,y2022_r,y2022_n,zone_pass,zone_pct,gate_avgr,gate_2022,all_gates
15,1.5,545,0.3724212238144117,0.5247423087343234,0.15232108491991164,202.96956697885437,2.117686212337582,0.23486238532110093,1.4953672729439433,-54.706823860021814,93,True,1.0,True,False,False
15,2.0,488,0.39574046359327636,0.5356884794286833,0.13994801583540684,193.12134623351886,2.569646621870605,0.28688524590163933,1.6186928882858758,-38.009544201514615,86,True,1.0,True,False,False
15,2.5,474,0.306382010867268,0.4255225226749676,0.11914051180769966,145.22507315108504,2.395273400498064,0.30168776371308015,1.5505153583877604,-35.18165977511644,84,True,1.0,True,False,False
20,1.5,453,0.9059845283831903,1.0939778582918436,0.18799332990865322,410.4109913575852,2.507384100224911,0.23399558498896247,2.153153320888672,-49.44672856809466,81,True,1.0,True,False,False
20,2.0,398,0.9049637794351391,1.0813118859614164,0.17634810652627736,360.1755842151853,2.861560584822958,0.2964824120603015,2.3297611597525245,-38.755730854457596,75,True,1.0,True,False,False
20,2.5,380,0.7628591589141622,0.9166468372494572,0.15378767833529502,289.88648038738165,2.7578155024728934,0.3263157894736842,2.2376765112566175,-37.296637237358475,72,True,1.0,True,False,False
25,1.5,426,1.1623593723604035,1.3591067338673408,0.19674736150693742,495.1650926255319,2.435777165651934,0.22065727699530516,2.43662881776637,-49.93053126566046,79,True,1.0,True,False,False
25,2.0,363,1.2010127239777642,1.392774217562843,0.19176149358507852,435.9676188039284,2.816555523719104,0.2865013774104683,2.706172541617371,-38.44268230330064,72,True,1.0,True,False,False
25,2.5,347,0.9892596477505815,1.1570408042150486,0.16778115646446692,343.2730977694518,2.7461459014651943,0.3112391930835735,2.53670527196701,-38.3633861508307,71,True,1.0,True,False,False
30,1.5,399,1.2088497895925385,1.4175718318508888,0.20872204225835053,482.33106604742284,2.424572506220439,0.20300751879699247,2.4416887656859485,-47.59394721202277,74,True,1.0,True,False,False
30,2.0,337,1.2646162510290533,1.4734925756426538,0.20887632461360078,426.17567659679094,2.7872242638456464,0.27299703264094954,2.6826690633907972,-37.89072514590972,68,True,1.0,True,False,False
30,2.5,320,1.056613631759657,1.2396464549980781,0.18303282323842104,338.11636216309023,2.7418352718064134,0.303125,2.5284528172384717,-38.57752008229636,67,True,1.0,True,False,False
