symbol,raw_r,funding_cost_r,net_r,year,exit_reason,bars_held
1000SHIBUSDT,-1.0,0.00572132764612239,-1.0057213276461223,2022,stop,3
1INCHUSDT,-1.0,0.03583474736941132,-1.0358347473694114,2021,stop,7
1INCHUSDT,-1.0,0.058979258049267055,-1.058979258049267,2021,stop,3
1INCHUSDT,1.7138977989246884,0.06403730335158404,1.6498604955731044,2021,stop,8
AAVEUSDT,-1.0,0.07206607592883009,-1.07206607592883,2021,stop,7
AAVEUSDT,-0.3740487297801343,0.08676066964289135,-0.4608093994230257,2021,donchian_exit,21
AAVEUSDT,-1.0,0.018131831426918443,-1.0181318314269185,2022,stop,8
ADAUSDT,88.63318400912614,2.7707165918373726,85.86246741728877,2020,stop,204
ADAUSDT,3.521002748919035,0.3740881831437248,3.1469145657753104,2021,stop,54
ALGOUSDT,8.380962694810933,0.7170317832069927,7.66393091160394,2021,stop,69
ALGOUSDT,-1.0,0.4473591064857629,-1.447359106485763,2021,stop,25
ALGOUSDT,-1.0,0.029179904080582027,-1.029179904080582,2021,stop,3
ALGOUSDT,4.08132499623251,0.2837398625388177,3.7975851336936923,2021,stop,61
ALICEUSDT,-1.0,0.002396910432289984,-1.00239691043229,2021,stop,1
ALICEUSDT,-1.0,0.02846768745706643,-1.0284676874570664,2021,stop,14
ANKRUSDT,-1.0,0.03606077436781744,-1.0360607743678174,2021,stop,2
ANKRUSDT,-1.0,0.0482741122813387,-1.0482741122813386,2021,stop,9
ANKRUSDT,-1.0,0.08222038560076193,-1.082220385600762,2021,stop,34
ANKRUSDT,-1.0,0.015734557616054495,-1.0157345576160546,2022,stop,7
ATOMUSDT,-1.0,0.03819174288133331,-1.0381917428813332,2020,stop,9
ATOMUSDT,-1.0,0.09533966332385105,-1.095339663323851,2020,stop,5
ATOMUSDT,-1.0,0.01083175570313823,-1.0108317557031383,2020,stop,2
ATOMUSDT,-1.0,0.1250205639479006,-1.1250205639479005,2021,stop,5
ATOMUSDT,5.73065507026669,0.8047014389291862,4.925953631337504,2021,donchian_exit,68
ATOMUSDT,-1.0,0.16673846622719873,-1.1667384662271987,2021,stop,4
ATOMUSDT,-1.0,0.040841031849755426,-1.0408410318497554,2021,stop,5
ATOMUSDT,7.8971127793171005,0.2965546426207941,7.600558136696306,2021,donchian_exit,60
ATOMUSDT,-1.0,0.01250348509560967,-1.0125034850956096,2021,stop,1
ATOMUSDT,-1.0,0.02040096193479645,-1.0204009619347965,2022,stop,21
ATOMUSDT,-1.0,0.0006061147910218991,-1.000606114791022,2022,stop,4
ATOMUSDT,-1.0,0.004870970056291398,-1.0048709700562914,2022,stop,5
ATOMUSDT,-1.0,0.0018250895105574353,-1.0018250895105574,2022,stop,8
AVAXUSDT,14.132235522417878,0.34550447128287276,13.786731051135005,2021,donchian_exit,58
AVAXUSDT,-0.007950147645964422,0.11003563316536731,-0.11798578081133174,2021,stop,31
AXSUSDT,42.55652051062864,-0.35196213175264024,42.90848264238128,2021,donchian_exit,69
AXSUSDT,0.3433986126458918,-0.5521947507832548,0.8955933634291465,2021,donchian_exit,64
AXSUSDT,-1.0,-0.08448694420213299,-0.915513055797867,2022,stop,8
BANDUSDT,-1.0,0.4393782843990552,-1.4393782843990552,2021,stop,18
BANDUSDT,-1.0,0.021181108180890567,-1.0211811081808906,2021,stop,5
BANDUSDT,-1.0,0.011338259017011045,-1.011338259017011,2021,stop,1
BANDUSDT,-1.0,-0.5064964009845554,-0.4935035990154446,2022,stop,5
BATUSDT,-1.0,0.14313629047254123,-1.1431362904725413,2020,stop,18
BATUSDT,10.297164758033974,1.1114378334620267,9.185726924571947,2021,donchian_exit,115
BATUSDT,-1.0,0.26064927543749156,-1.2606492754374916,2021,stop,45
BATUSDT,0.7764876723076677,0.002697751177489146,0.7737899211301785,2021,stop,1
BATUSDT,-1.0,0.024441781659988757,-1.0244417816599887,2022,stop,10
BCHUSDT,-1.0,0.20943292505803715,-1.2094329250580371,2020,stop,6
BCHUSDT,-1.0,0.10015232481129,-1.1001523248112899,2020,stop,20
BCHUSDT,-1.0,0.08680936044258591,-1.086809360442586,2020,stop,5
BCHUSDT,-0.6689492538596564,0.263584481006561,-0.9325337348662175,2021,donchian_exit,24
BCHUSDT,-1.0,0.26751435315885636,-1.2675143531588564,2021,stop,11
BCHUSDT,-1.0,0.41446750730993837,-1.4144675073099384,2021,stop,44
BCHUSDT,-0.5850319630137901,0.2433316628823802,-0.8283636258961703,2021,donchian_exit,44
BCHUSDT,-1.0,0.00793114978999142,-1.0079311497899914,2021,stop,1
BELUSDT,-1.0,0.13368017227316,-1.13368017227316,2021,stop,23
BELUSDT,-1.0,0.02963041625220787,-1.0296304162522079,2021,stop,7
BELUSDT,-1.0,-0.003827022079781317,-0.9961729779202186,2022,stop,1
BNBUSDT,-1.0,0.06217571072836318,-1.0621757107283631,2020,stop,2
BNBUSDT,-1.0,-0.12199678453067372,-0.8780032154693262,2020,stop,9
BNBUSDT,-1.0,0.052450282322732744,-1.0524502823227326,2020,stop,1
BNBUSDT,39.054168237220495,0.8527026915207344,38.20146554569976,2020,stop,53
BNBUSDT,3.242532481194781,0.5449169110816576,2.6976155701131237,2021,donchian_exit,46
BNBUSDT,1.6077761927093588,0.2580716645818065,1.3497045281275524,2021,donchian_exit,31
BNBUSDT,1.0602206569708903,-0.05800191274875985,1.1182225697196502,2021,donchian_exit,36
BNBUSDT,-1.0,0.001025897042006856,-1.001025897042007,2022,stop,12
BNBUSDT,-1.0,-0.05183037318942354,-0.9481696268105765,2022,stop,11
BTCDOMUSDT,-1.0,0.021702435469726736,-1.0217024354697268,2022,stop,6
BTCDOMUSDT,2.2771456873562266,-0.19956510025450105,2.4767107876107275,2022,donchian_exit,56
BTCDOMUSDT,5.867562270365225,1.3994076696008237,4.468154600764401,2022,stop,56
BTCDOMUSDT,-0.8453751732172913,0.5134340514534804,-1.3588092246707717,2022,donchian_exit,40
BTCUSDT,1.429086862690944,0.679614855611999,0.7494720070789451,2020,stop,127
BTCUSDT,62.01617718239635,3.5920391564311505,58.4241380259652,2020,donchian_exit,166
BTCUSDT,-1.0,0.16051853575829841,-1.1605185357582983,2021,stop,5
BTCUSDT,-1.0,0.11203740641747181,-1.1120374064174718,2021,stop,18
BTCUSDT,0.2791736442214183,0.3319500744472639,-0.05277643022584555,2021,donchian_exit,43
BTCUSDT,-1.0,0.035487365530907804,-1.0354873655309078,2022,stop,11
CELRUSDT,-1.0,0.004546548381231983,-1.004546548381232,2022,stop,3
CELRUSDT,-1.0,0.009883089963179456,-1.0098830899631794,2022,stop,4
CHRUSDT,3.6006218134828027,0.1175347867444405,3.4830870267383625,2021,donchian_exit,34
CHRUSDT,-1.0,0.012608885765200195,-1.0126088857652003,2022,stop,8
CHZUSDT,-1.0,0.26277089188703084,-1.2627708918870308,2021,stop,29
CHZUSDT,-1.0,0.004642068139801941,-1.0046420681398018,2021,stop,1
CHZUSDT,-1.0,0.02171868509028169,-1.0217186850902817,2022,stop,10
CHZUSDT,0.2955350891777668,0.06151357141482817,0.2340215177629386,2022,donchian_exit,57
CHZUSDT,-1.0,0.00643751415280292,-1.006437514152803,2022,stop,4
COMPUSDT,2.8786020203135223,0.30628160706882257,2.5723204132446997,2021,donchian_exit,55
COMPUSDT,-1.0,0.053014922021901965,-1.053014922021902,2021,stop,3
COMPUSDT,0.41021099194872196,0.06474451873186848,0.3454664732168535,2021,donchian_exit,23
COMPUSDT,-1.0,-0.0008528928241771781,-0.9991471071758228,2021,stop,8
COMPUSDT,-1.0,0.053448034477855046,-1.053448034477855,2021,stop,11
COMPUSDT,-1.0,0.06059177507064081,-1.0605917750706408,2021,stop,7
COTIUSDT,-1.0,0.060252156544592914,-1.0602521565445928,2021,stop,10
CRVUSDT,-1.0,0.334447781160604,-1.334447781160604,2021,stop,20
CRVUSDT,-1.0,0.1200745693551582,-1.1200745693551581,2021,stop,28
CRVUSDT,-1.0,0.007562419036432111,-1.007562419036432,2021,stop,7
CRVUSDT,-1.0,0.13275918950477647,-1.1327591895047764,2021,stop,43
CRVUSDT,-1.0,0.003731186523171447,-1.0037311865231715,2022,stop,6
DASHUSDT,2.0413074127061,0.388556243983232,1.6527511687228682,2020,stop,76
DASHUSDT,0.9068300685964,0.040247658235078414,0.8665824103613217,2021,stop,2
DASHUSDT,-1.0,0.10673834395484595,-1.106738343954846,2021,stop,3
DASHUSDT,0.5300772532397671,0.5282744685057339,0.0018027847340331693,2021,donchian_exit,43
DASHUSDT,1.0141640127828335,0.1800861928112191,0.8340778199716145,2021,donchian_exit,29
DASHUSDT,-1.0,0.07458841393833204,-1.074588413938332,2021,stop,7
DASHUSDT,-1.0,0.011379753029994914,-1.0113797530299948,2021,stop,1
DOGEUSDT,2.6698639095512595,0.007519914066458657,2.6623439954848007,2021,stop,1
DOGEUSDT,18.04841134861925,0.17088017361448157,17.87753117500477,2021,stop,5
DOGEUSDT,-1.0,0.055631607307428325,-1.0556316073074283,2021,stop,8
DOGEUSDT,-1.0,0.3003204190918009,-1.300320419091801,2021,stop,31
DOGEUSDT,-1.0,0.04449651064902239,-1.0444965106490225,2021,stop,3
DOGEUSDT,-1.0,0.0947436257479918,-1.0947436257479919,2021,stop,13
DOGEUSDT,-1.0,0.0022942581490026826,-1.0022942581490026,2022,stop,1
DOGEUSDT,-1.0,0.007771976146929277,-1.0077719761469293,2022,stop,10
DOTUSDT,-1.0,0.4364927830070523,-1.4364927830070524,2021,stop,16
DOTUSDT,5.992020203883059,0.41218935678617025,5.579830847096889,2021,donchian_exit,101
EGLDUSDT,-1.0,0.44990284220056953,-1.4499028422005695,2021,stop,16
EGLDUSDT,13.745854261529507,-0.13288686186310517,13.878741123392611,2021,stop,120
EGLDUSDT,-1.0,0.020495433104059834,-1.0204954331040599,2022,stop,10
ENJUSDT,-1.0,0.18965010904353766,-1.1896501090435376,2021,stop,28
ENJUSDT,1.6529701634972895,0.23700537201702157,1.415964791480268,2021,stop,45
