date,trend,funding,vol_mult,auto_equity,manual_equity
2021-01-01,BULL,HIGH,1.25,60051.15348123317,60030.6252473285
2021-01-02,MIXED,HIGH,1.25,60090.312461265996,60061.26612641989
2021-01-03,BULL,HIGH,1.25,60141.54293911237,60091.92264525296
2021-01-04,BULL,HIGH,1.25,60192.81709391352,60122.59481181056
2021-01-05,BULL,HIGH,1.25,60244.1349629066,60153.2826340796
2021-01-06,BULL,HIGH,1.25,60295.49658336049,60183.98612005109
2021-01-07,BULL,HIGH,1.25,60346.90199257584,60214.70527772012
2021-01-08,BULL,HIGH,1.25,60398.35122788512,60245.440115085825
2021-01-09,BULL,HIGH,1.25,60449.844326652616,60276.190640151464
2021-01-10,BULL,HIGH,1.25,60501.381326274466,60306.956860924365
2021-01-11,BULL,HIGH,1.25,60552.9622641787,60337.738785415946
2021-01-12,BULL,HIGH,1.25,60604.587177825255,60368.53642164171
2021-01-13,BULL,HIGH,1.25,60656.25610470599,60399.34977762124
2021-01-14,BULL,HIGH,1.25,60707.96908234476,60430.17886137824
2021-01-15,BULL,HIGH,1.25,60759.72614829738,60461.02368094049
2021-01-16,BULL,HIGH,1.25,60811.5273401517,60491.88424433987
2021-01-17,BULL,HIGH,1.25,60863.37269552761,60522.76055961236
2021-01-18,BULL,HIGH,1.25,60915.26225207707,60553.652634798054
2021-01-19,BULL,HIGH,1.25,60967.19604748415,60584.56047794113
2021-01-20,BULL,HIGH,1.25,61019.17411946504,60615.48409708988
2021-01-21,BULL,HIGH,1.25,61071.19650576809,60646.42350029671
2021-01-22,BULL,HIGH,1.25,61123.26324417384,60677.37869561813
2021-01-23,BULL,HIGH,1.25,61175.37437249502,60708.34969111476
2021-01-24,BULL,HIGH,1.25,61227.5299285766,60739.33649485135
2021-01-25,BULL,HIGH,1.25,61279.72995029584,60770.33911489674
2021-01-26,BULL,HIGH,1.25,61331.974475562274,60801.357559323915
2021-01-27,BULL,HIGH,1.25,61384.26354231775,60832.39183620996
2021-01-28,BULL,HIGH,1.25,61436.59718853648,60863.44195363609
2021-01-29,BULL,HIGH,1.25,61488.97545222503,60894.50791968765
2021-01-30,BULL,HIGH,1.25,61541.398371422394,60925.5897424541
2021-01-31,BULL,HIGH,1.25,61593.86598419998,60956.68743002906
