fast,slow,hb,thr,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
10,30,25,5e-05,7631,0.20965446504010826,1599.8732227210662,0.48460228017297863,1.465254221685003,3,-1.4241282691552062,-0.4747094230517354,172,-5.659128742993454,-0.032901911296473574,493,46.81929460191459,0.0949681432087517,912,328.89405746215806,0.36062944897166455,1020,88.62482614890905,0.08688708445971476,1614,440.82745403550234,0.27312729494145127,2494,649.1482312208893,0.26028397402601816,923,52.64261626384143,0.0570342538069788,True,0.4057497944223463,True
10,30,25,0.0001,4888,0.2553033816451432,1247.92292948146,0.48936170212765956,1.5802416796239647,3,-1.4241282691552062,-0.4747094230517354,171,-5.447781305951335,-0.03185837021024173,483,40.43721671106033,0.08372094557155348,767,294.91255315512194,0.38450137308360094,890,115.06105743035172,0.1292820870003952,1118,390.01945717329534,0.348854612856257,1096,405.2867677669591,0.3697871968676634,360,9.077786819777991,0.025216074499383307,True,0.32476906882011125,False
10,30,25,0.0002,440,0.20711669652770567,91.1313464721905,0.4159090909090909,1.4431663064547091,0,0.0,,44,19.976406360485413,0.4540092354655776,163,-54.3001286715507,-0.3331296237518448,4,-0.16844459380805898,-0.042111148452014746,29,1.6467536955589424,0.056784610191687665,141,120.74369941876051,0.8563382937500745,35,5.104336174504897,0.14583817641442562,24,-1.8712759117605229,-0.07796982965668846,False,0.056010762181183484,False
10,30,30,5e-05,7525,0.22101600183751416,1663.145413827294,0.46458471760797343,1.4596745061665206,3,-0.5684625869079223,-0.18948752896930743,168,10.989510701582077,0.06541375417608379,488,40.88079381118281,0.08377211846553854,896,393.7854412147585,0.4394926799271858,1004,151.97416054785185,0.1513686858046333,1594,449.10156737574397,0.28174502344776914,2460,615.9809638125346,0.25039876577745307,912,1.0014389505481915,0.0010980690247238943,True,0.37037108041864814,False
10,30,30,0.0001,4829,0.2755336790098841,1330.5521359387305,0.4733899358045144,1.590055069923385,3,-0.5684625869079223,-0.18948752896930743,167,11.989510701582077,0.0717934772549825,478,35.252140827273756,0.07374924859262293,758,365.7814949052838,0.48256133892517655,878,177.50956812539218,0.20217490674873825,1105,381.20870701072164,0.34498525521332274,1086,366.8607769387037,0.3378091868680513,354,-7.481599983318727,-0.021134463229713917,True,0.2757207079900527,False
10,30,30,0.0002,437,0.21917717570462772,95.78042578292231,0.4279176201372998,1.4533111756104942,0,0.0,,44,23.760726799567344,0.540016518171985,160,-54.546839806007874,-0.3409177487875492,4,0.10638415263064172,0.02659603815766043,29,9.032748073949147,0.31147407151548784,141,117.16092094757532,0.8309285173586902,35,5.722998234633751,0.16351423527525002,24,-5.456512619426038,-0.2273546924760849,True,0.059751229834835044,False
10,30,35,5e-05,7383,0.2624467219212192,1937.6441479443615,0.4502234863876473,1.5154441041609819,3,-0.7807821127310302,-0.2602607042436767,164,8.87368405851227,0.054107829625074814,476,37.61784728884669,0.07902909094295522,864,435.0638859999501,0.5035461643517941,973,209.50048748710338,0.2153139645293971,1575,472.03069924129045,0.2997020312643114,2430,786.7191818067865,0.32375274971472695,898,-11.380855825396953,-0.012673558825609079,True,0.4060184026264129,True
10,30,35,0.0001,4733,0.3134456743126871,1483.538376521948,0.4597506866680752,1.6328195597302906,3,-0.7807821127310302,-0.2602607042436767,163,9.873684058512268,0.06057474882522864,467,30.357665267282748,0.06500570721045557,732,396.7680795254238,0.5420328955265352,856,229.75390241082462,0.26840409160143064,1089,384.6875236514497,0.3532484147396232,1075,451.4613301603077,0.41996402805610017,348,-18.583026439121866,-0.053399501261844444,True,0.30431388719362096,False
10,30,35,0.0002,431,0.21841211795258422,94.1356228375638,0.42923433874709976,1.4243053143066793,0,0.0,,44,14.012344582708417,0.3184623768797368,157,-49.36406265823494,-0.31442078126264295,4,-0.5521393003554689,-0.13803482508886722,29,9.648186020177596,0.3326960696612964,138,121.78678562342628,0.8825129393001905,35,6.727862881499497,0.1922246537571285,24,-8.123354311657565,-0.3384730963190652,False,0.07146989289175677,False
10,50,25,5e-05,6182,0.18136454630854512,1121.195625279426,0.48867680362342286,1.407299874533613,2,-0.5471546339037957,-0.27357731695189785,140,6.585537848915356,0.04703955606368112,409,31.820548439468016,0.07780085193023965,675,209.69487367872574,0.31065907211663074,850,69.40045600770752,0.08164759530318531,1380,402.1371649172609,0.2914037426936673,1987,431.5153815117983,0.2171692911483635,739,-29.411182490546093,-0.0397986231265847,True,0.3848707324417676,False
