timestamp_utc,open_positions_before,open_positions_after,closed_recovered,events_logged,errors,closed_equity_usdt,drawdown_pct,portfolio_heat_pct,reserved_margin_usdt,kill_switch_triggered
2026-05-16T19:00:26.505169+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-17T10:29:35.661151+00:00,5,5,0,2,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-17T10:32:55.262045+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-17T16:33:28.061362+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-17T22:33:59.396487+00:00,5,5,0,2,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-18T04:34:30.445065+00:00,5,5,0,5,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-18T10:35:02.322392+00:00,5,5,0,1,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-18T16:35:36.035953+00:00,5,5,0,1,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-18T22:36:06.685623+00:00,5,5,0,4,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-19T04:36:39.276644+00:00,5,5,0,2,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-19T10:37:11.007335+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-19T16:37:44.325022+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-19T22:38:16.281619+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-20T04:38:47.547070+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-20T10:39:18.501333+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-20T16:39:50.395380+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-20T22:40:23.533174+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-21T04:40:54.686425+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-21T10:41:26.249616+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-21T16:42:08.423216+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-22T08:40:11.641131+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-22T08:40:58.400399+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-22T14:40:42.835476+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-23T10:05:56.641860+00:00,5,5,0,5,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-23T16:06:30.880800+00:00,5,5,0,3,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-23T22:07:00.973680+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-24T04:07:37.144296+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
2026-05-24T10:08:09.167292+00:00,5,5,0,0,0,9950.0,-0.5,1.254396984924623,869.2761856112525,False
