timestamp_utc,closed_equity_usdt,peak_equity_usdt,drawdown_pct,closed_trade_count,open_positions,open_risk_amount_usdt,portfolio_heat_pct,reserved_margin_usdt,kill_switch_triggered
2026-05-14T23:14:24.136880+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-14T23:19:09.929520+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-14T23:34:36.763908+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-14T23:50:02.771792+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T00:05:28.168860+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T00:20:53.869348+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T00:36:18.768661+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T00:51:44.167186+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T01:07:09.392031+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T01:22:35.956332+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T01:38:01.107371+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T01:53:27.614730+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T02:08:52.774381+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T02:24:18.311299+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T02:39:43.939974+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T02:55:10.848822+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T03:10:35.595001+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T03:26:01.294916+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T03:41:27.202398+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T03:56:52.775917+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T04:12:19.925356+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T04:27:45.199898+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T04:43:10.760861+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T04:58:36.216822+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T05:14:01.236285+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T05:29:26.345768+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T05:43:46.007733+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T05:45:01.607322+00:00,10000.0,10000.0,0.0,0,1,25.0,0.25,184.0342043186357,False
2026-05-15T06:00:28.239851+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T06:15:54.642770+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T06:31:21.100341+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T06:46:47.700856+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T07:02:13.578366+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T07:17:39.665681+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T07:33:06.019781+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T07:48:31.965863+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T08:03:58.914859+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T08:19:25.345773+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T08:34:53.891274+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T08:50:20.004391+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T09:05:48.039011+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T09:21:13.524587+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T09:36:38.843756+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T09:52:05.260963+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T10:07:31.699024+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T10:22:57.253991+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T10:38:26.597086+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T10:53:53.114380+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T11:09:19.288275+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T11:24:45.391418+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T11:40:13.066574+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T11:55:39.086035+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T12:11:05.496565+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T12:26:31.479545+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T12:41:58.198205+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T12:57:24.135171+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T13:12:50.132434+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T13:28:16.651277+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T13:43:42.756700+00:00,10000.0,10000.0,0.0,0,5,125.0,1.25,640.3445971865598,False
2026-05-15T19:47:27.575493+00:00,9975.0,10000.0,-0.25,1,5,124.9375,1.2525062656641603,771.3362576405411,False
2026-05-15T20:02:57.891469+00:00,9975.0,10000.0,-0.25,1,5,124.9375,1.2525062656641603,771.3362576405411,False
