timestamp_utc,symbol,timeframe,bar_time,side,entry_price,initial_stop,atr,ema50,ema50_slope,donchian_high_entry,donchian_low_entry,signal,skip_reason,closed_equity_usdt,open_positions,portfolio_heat_pct
2026-05-14T23:19:09.722140+00:00,DOGE/USDT,6h,2026-05-14 12:00:00+00:00,LONG,0.11591,0.11066142857142858,0.002624285714285714,0.10979699302239976,0.0013647199293720519,0.11546,0.10643,BUY,SYMBOL_ALREADY_OPEN,10000.0,1,0.25
2026-05-14T23:34:36.569046+00:00,DOGE/USDT,6h,2026-05-14 12:00:00+00:00,LONG,0.11591,0.11066142857142858,0.002624285714285714,0.10979699302239976,0.0013647199293720519,0.11546,0.10643,BUY,SYMBOL_ALREADY_OPEN,10000.0,1,0.25
2026-05-14T23:50:02.592973+00:00,DOGE/USDT,6h,2026-05-14 12:00:00+00:00,LONG,0.11591,0.11066142857142858,0.002624285714285714,0.10979699302239976,0.0013647199293720519,0.11546,0.10643,BUY,SYMBOL_ALREADY_OPEN,10000.0,1,0.25
2026-05-15T06:00:28.136504+00:00,ALPINE/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.454,0.477,0.011499999999999986,0.47376040423380694,-0.002440310872707241,0.527,0.458,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:00:28.140165+00:00,ALT/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.00717,0.007677142857142857,0.00025357142857142847,0.007837534536535528,-0.00014090851123128162,0.00844,0.00723,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:00:28.174559+00:00,ARK/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.1745,0.18215714285714285,0.003828571428571425,0.18020222557303595,-0.0007380593958696835,0.1923,0.1747,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:00:28.193394+00:00,ASTR/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.008657,0.009174,0.00025850000000000016,0.008889443294777708,-8.621750053054711e-06,0.009571,0.008667,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:00:28.217462+00:00,AVA/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.2603,0.2756285714285714,0.007664285714285711,0.27449672726541235,-0.002690240008824618,0.2931,0.2605,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:00:28.231331+00:00,AXS/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,1.23,1.3052857142857142,0.03764285714285714,1.3509820052657415,-0.03319158005279532,1.458,1.245,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.454712+00:00,APT/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,1.011,1.079142857142857,0.03407142857142853,1.0547955229523882,-0.00016331672653624452,1.239,1.022,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:15:54.461813+00:00,ICP/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,2.749,2.971857142857143,0.11142857142857143,3.004728383903918,-0.007769825832082855,3.612,2.796,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:15:54.518356+00:00,AEVO/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.0281,0.030399999999999996,0.001149999999999999,0.029393861171684525,-4.5891666005739434e-05,0.0334,0.0282,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:15:54.535235+00:00,ALGO/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.1157,0.12322857142857142,0.00376428571428571,0.12070900227303763,-0.000851128784384661,0.1312,0.1162,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:15:54.545636+00:00,ALPINE/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.454,0.477,0.011499999999999986,0.47376040423380694,-0.002440310872707241,0.527,0.458,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.548963+00:00,ALT/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.00717,0.007677142857142857,0.00025357142857142847,0.007837534536535528,-0.00014090851123128162,0.00844,0.00723,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.579382+00:00,ARK/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.1745,0.18215714285714285,0.003828571428571425,0.18020222557303595,-0.0007380593958696835,0.1923,0.1747,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.596380+00:00,ASTR/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.008657,0.009174,0.00025850000000000016,0.008889443294777708,-8.621750053054711e-06,0.009571,0.008667,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.620172+00:00,AVA/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.2603,0.2756285714285714,0.007664285714285711,0.27449672726541235,-0.002690240008824618,0.2931,0.2605,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:15:54.633878+00:00,AXS/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,1.23,1.3052857142857142,0.03764285714285714,1.3509820052657415,-0.03319158005279532,1.458,1.245,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:31:20.915986+00:00,APT/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,1.011,1.079142857142857,0.03407142857142853,1.0547955229523882,-0.00016331672653624452,1.239,1.022,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:31:20.923909+00:00,ICP/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,2.749,2.971857142857143,0.11142857142857143,3.004728383903918,-0.007769825832082855,3.612,2.796,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:31:20.975015+00:00,AEVO/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.0281,0.030399999999999996,0.001149999999999999,0.029393861171684525,-4.5891666005739434e-05,0.0334,0.0282,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:31:20.990979+00:00,ALGO/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.1157,0.12322857142857142,0.00376428571428571,0.12070900227303763,-0.000851128784384661,0.1312,0.1162,SELL,SYMBOL_ALREADY_OPEN,10000.0,5,1.25
2026-05-15T06:31:21.000949+00:00,ALPINE/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.454,0.477,0.011499999999999986,0.47376040423380694,-0.002440310872707241,0.527,0.458,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:31:21.004393+00:00,ALT/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.00717,0.007677142857142857,0.00025357142857142847,0.007837534536535528,-0.00014090851123128162,0.00844,0.00723,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:31:21.035367+00:00,ARK/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.1745,0.18215714285714285,0.003828571428571425,0.18020222557303595,-0.0007380593958696835,0.1923,0.1747,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
2026-05-15T06:31:21.052745+00:00,ASTR/USDT,6h,2026-05-15 00:00:00+00:00,SHORT,0.008657,0.009174,0.00025850000000000016,0.008889443294777708,-8.621750053054711e-06,0.009571,0.008667,SELL,MAX_OPEN_POSITIONS,10000.0,5,1.25
