symbol,entry_time,exit_time,entry_price,exit_price,initial_risk,exit_reason,net_r,mfe_r
ETH/USDT,2023-01-14 00:00:00+00:00,2023-02-10 00:00:00+00:00,1549.9,1513.06,86.54255244950407,midline_exit,-0.42568654329320343,1.9040344355009169
DUSK/USDT,2023-01-24 00:00:00+00:00,2023-02-11 00:00:00+00:00,0.1292,0.18985006798106732,0.01467330506142391,chandelier_stop,4.133361074903037,9.118600031819684
VET/USDT,2023-02-07 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.02595,0.023308151982051863,0.0026418480179481387,initial_stop,-0.9999999999999999,0.29146264083656137
DUSK/USDT,2023-02-15 00:00:00+00:00,2023-02-20 00:00:00+00:00,0.2836,0.22298588420809498,0.060614115791905045,initial_stop,-0.9999999999999999,0.3035596537144781
IOST/USDT,2023-02-20 00:00:00+00:00,2023-02-21 00:00:00+00:00,0.01435,0.01291302860904921,0.0014369713909507897,initial_stop,-0.9999999999999999,0.36883128177612495
LTC/USDT,2023-01-08 00:00:00+00:00,2023-03-08 00:00:00+00:00,78.68,82.76,7.085210433451687,midline_exit,0.5758473990746882,3.814989018869809
VET/USDT,2023-02-17 00:00:00+00:00,2023-03-03 00:00:00+00:00,0.02761,0.024432277889650054,0.0031777221103499453,initial_stop,-1.0,1.5545726871176875
BAT/USDT,2023-02-22 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.3274,0.2850398203496764,0.04236017965032365,initial_stop,-0.9999999999999996,0.08262476762119354
ARDR/USDT,2023-02-24 00:00:00+00:00,2023-03-02 00:00:00+00:00,0.1153,0.10042623744651526,0.014873762553484743,initial_stop,-1.0,0.24876019007935082
ARDR/USDT,2023-04-05 00:00:00+00:00,2023-04-07 00:00:00+00:00,0.1001,0.1202129767237242,0.010387599850690547,chandelier_stop,1.936248701608114,4.418730087773708
ETH/USDT,2023-03-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,1699.4,1848.78,153.33503970844484,midline_exit,0.9742065498142813,2.883489650119739
VET/USDT,2023-04-14 00:00:00+00:00,2023-04-19 00:00:00+00:00,0.02586,0.023349831893630935,0.002510168106369065,initial_stop,-1.0000000000000004,0.2948009729397768
LTC/USDT,2023-04-16 00:00:00+00:00,2023-04-19 00:00:00+00:00,100.01,91.30685485578427,8.703145144215735,initial_stop,-1.0000000000000004,0.3941103983862238
DUSK/USDT,2023-04-16 00:00:00+00:00,2023-04-19 00:00:00+00:00,0.2062,0.17966682915785734,0.026533170842142646,initial_stop,-1.0000000000000004,0.21859430350434625
LTC/USDT,2023-05-17 00:00:00+00:00,2023-05-24 00:00:00+00:00,93.88,84.92115188751598,8.958848112484015,initial_stop,-1.0000000000000007,0.03683509262090831
ETH/USDT,2023-05-28 00:00:00+00:00,2023-06-05 00:00:00+00:00,1908.64,1797.1707747381954,111.46922526180471,initial_stop,-0.9999999999999999,0.170271211228229
LTC/USDT,2023-06-03 00:00:00+00:00,2023-06-05 00:00:00+00:00,96.03,88.01575255865407,8.014247441345924,initial_stop,-1.0000000000000007,0.05864555635944607
ETC/USDT,2023-06-30 00:00:00+00:00,2023-07-05 00:00:00+00:00,20.92,18.716569536348633,2.2034304636513675,initial_stop,-1.0000000000000007,1.0801339271927979
LTC/USDT,2023-06-30 00:00:00+00:00,2023-07-05 00:00:00+00:00,108.7,99.39815605870886,9.301843941291137,initial_stop,-1.0000000000000002,0.6772850673224183
ETH/USDT,2023-07-13 00:00:00+00:00,2023-07-17 00:00:00+00:00,2004.49,1892.9406327744184,111.54936722558168,initial_stop,-0.9999999999999992,0.22070945458804694
OGN/USDT,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00,0.1228,0.11436543267908253,0.00843456732091748,initial_stop,-0.9999999999999996,0.9247658715884827
OGN/USDT,2023-09-08 00:00:00+00:00,2023-09-10 00:00:00+00:00,0.102,0.09054121627734128,0.011458783722658706,initial_stop,-1.0000000000000004,0.3054425395148239
OGN/USDT,2023-09-30 00:00:00+00:00,2023-10-03 00:00:00+00:00,0.1433,0.12717123174288816,0.016128768257111858,initial_stop,-0.9999999999999993,0.9114149180932113
ARDR/USDT,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,0.1016,0.09258683333929797,0.009013166660702029,initial_stop,-0.9999999999999994,2.873573847571867
ETH/USDT,2023-10-23 00:00:00+00:00,2023-11-17 00:00:00+00:00,1765.46,1933.087055542316,90.72436763017753,chandelier_stop,1.8476519585743396,4.095151167263889
BAT/USDT,2023-10-23 00:00:00+00:00,2023-11-21 00:00:00+00:00,0.2042,0.1966,0.016196043615582682,midline_exit,-0.469250403394062,3.7046084478478596
ETC/USDT,2023-10-31 00:00:00+00:00,2023-11-21 00:00:00+00:00,17.48,18.06,1.320646361111139,midline_exit,0.43917888776220876,3.3014137080055783
TFUEL/USDT,2023-10-31 00:00:00+00:00,2023-11-21 00:00:00+00:00,0.04011,0.04002,0.003216094187962036,midline_exit,-0.02798425504354731,3.9302331527826526
IOST/USDT,2023-11-01 00:00:00+00:00,2023-11-13 00:00:00+00:00,0.00841,0.009888258931539391,0.0007866532112246295,chandelier_stop,1.87917485169621,4.23312325238715
VET/USDT,2023-11-04 00:00:00+00:00,2023-11-21 00:00:00+00:00,0.0203,0.01929,0.0016139741860118951,midline_exit,-0.6257844820279878,1.7038686391851219
ARDR/USDT,2023-11-11 00:00:00+00:00,2023-11-20 00:00:00+00:00,0.1025,0.13289441392413476,0.015413282420587659,chandelier_stop,1.9719624343959774,5.222768116704034
TFUEL/USDT,2023-11-30 00:00:00+00:00,2023-12-01 00:00:00+00:00,0.05305,0.04759037391413686,0.005459626085863138,initial_stop,-1.0,0.08608648149311743
WIN/USDT,2023-12-03 00:00:00+00:00,2023-12-07 00:00:00+00:00,8.24e-05,9.089309689345966e-05,6.067070241257974e-06,chandelier_stop,1.3998679025840095,4.8623139055471585
BAT/USDT,2023-12-04 00:00:00+00:00,2023-12-18 00:00:00+00:00,0.2471,0.21744074841253994,0.02965925158746006,initial_stop,-0.9999999999999997,0.4214536554686705
IOST/USDT,2023-12-04 00:00:00+00:00,2023-12-15 00:00:00+00:00,0.00978,0.011350017312442486,0.0010208256526208492,chandelier_stop,1.5379877145638445,4.271052543405639
ETC/USDT,2023-12-07 00:00:00+00:00,2023-12-11 00:00:00+00:00,21.98,20.10562142340396,1.8743785765960406,initial_stop,-0.9999999999999999,0.7682546194137093
OGN/USDT,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,0.1416,0.12393221025592352,0.017667789744076488,initial_stop,-0.9999999999999998,0.31696098273285805
LTC/USDT,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,78.5,72.84041608552118,5.659583914478815,initial_stop,-1.0000000000000002,0.18199217743992982
DUSK/USDT,2023-11-10 00:00:00+00:00,2024-01-03 00:00:00+00:00,0.146,0.17363735088080068,0.01723238159119338,chandelier_stop,1.603803324255817,4.665634844175483
VET/USDT,2023-12-04 00:00:00+00:00,2024-01-03 00:00:00+00:00,0.02409,0.03126210844541262,0.0022885468623050223,chandelier_stop,3.1339137351939033,6.41455075349181
