trade_idx,symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
0,FIL_USDT,2021-05-19 00:00:00+00:00,2021-06-08 00:00:00+00:00,0.2033,5.08,10005.08,2021
1,BTC_USDT,2021-05-19 00:00:00+00:00,2021-06-08 00:00:00+00:00,-0.22,-5.5,9999.58,2021
2,ICP_USDT,2021-05-25 00:00:00+00:00,2021-06-14 00:00:00+00:00,-0.3427,-8.57,9991.01,2021
3,LPT_USDT,2021-06-11 00:00:00+00:00,2021-07-01 00:00:00+00:00,-0.8784,-21.94,9969.07,2021
4,ICP_USDT,2021-06-15 00:00:00+00:00,2021-07-05 00:00:00+00:00,-0.3127,-7.79,9961.28,2021
5,LPT_USDT,2021-07-12 00:00:00+00:00,2021-08-01 00:00:00+00:00,0.4888,12.17,9973.45,2021
6,ICP_USDT,2021-07-16 00:00:00+00:00,2021-08-05 00:00:00+00:00,0.7148,17.82,9991.27,2021
7,LINK_USDT,2021-12-05 00:00:00+00:00,2021-12-25 00:00:00+00:00,0.3377,8.44,9999.71,2021
8,AAVE_USDT,2021-12-06 00:00:00+00:00,2021-12-26 00:00:00+00:00,1.1798,29.49,10029.2,2021
9,TRX_USDT,2022-01-08 00:00:00+00:00,2022-01-28 00:00:00+00:00,-0.7315,-18.34,10010.86,2022
10,BCH_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.4021,10.06,10020.93,2022
11,ZEC_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.6949,17.41,10038.33,2022
12,ETH_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.7558,18.97,10057.3,2022
13,INJ_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,-0.1331,-3.35,10053.96,2022
14,BTC_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,1.1406,28.67,10082.62,2022
15,ZEN_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.4329,10.91,10093.54,2022
16,FIL_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,0.2697,6.81,10100.34,2022
17,DASH_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,0.211,5.33,10105.67,2022
18,CHZ_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,0.4288,10.83,10116.5,2022
19,INJ_USDT,2022-04-30 00:00:00+00:00,2022-05-20 00:00:00+00:00,-1.3184,-33.34,10083.16,2022
20,ATOM_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.5273,-13.29,10069.87,2022
21,BTC_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.101,-2.54,10067.32,2022
22,DOT_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.154,-3.88,10063.45,2022
23,BNB_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,0.1416,3.56,10067.01,2022
24,XRP_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.6908,-17.39,10049.63,2022
25,LINK_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.4633,-11.64,10037.99,2022
26,AVAX_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.7743,-19.43,10018.55,2022
27,FET_USDT,2022-05-11 00:00:00+00:00,2022-05-31 00:00:00+00:00,0.3569,8.94,10027.49,2022
28,DASH_USDT,2022-05-11 00:00:00+00:00,2022-05-31 00:00:00+00:00,0.2267,5.68,10033.18,2022
29,INJ_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.185,-4.64,10028.54,2022
30,ETH_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.3626,-9.09,10019.45,2022
31,LPT_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0575,-1.44,10018.0,2022
32,FIL_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0187,-0.47,10017.54,2022
33,LTC_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.5527,13.84,10031.38,2022
34,DOGE_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.795,19.94,10051.32,2022
35,ATOM_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.6613,16.62,10067.93,2022
36,BNB_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0701,-1.76,10066.17,2022
37,BCH_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.5242,-13.19,10052.98,2022
38,BTC_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.6201,-15.58,10037.39,2022
39,ADA_USDT,2022-10-14 00:00:00+00:00,2022-11-03 00:00:00+00:00,0.4746,11.91,10049.3,2022
40,NEAR_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.5199,-13.06,10036.24,2022
41,SOL_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.0593,-1.49,10034.75,2022
42,ZEC_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.3715,9.32,10044.07,2022
43,BTC_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.1773,4.45,10048.52,2022
44,TRX_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.0148,-0.37,10048.15,2022
45,APT_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.2501,6.28,10054.43,2022
46,ADA_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.1585,3.98,10058.42,2022
47,BNB_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.6979,17.55,10075.97,2022
48,LPT_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,-0.7496,-18.88,10057.09,2022
49,FIL_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.3,7.54,10064.63,2022
50,SOL_USDT,2022-12-28 00:00:00+00:00,2023-01-17 00:00:00+00:00,5.7295,144.16,10208.79,2022
51,APT_USDT,2022-12-29 00:00:00+00:00,2023-01-18 00:00:00+00:00,5.9446,151.72,10360.51,2022
52,CHZ_USDT,2022-12-30 00:00:00+00:00,2023-01-19 00:00:00+00:00,1.4416,37.34,10397.85,2022
53,LPT_USDT,2023-01-06 00:00:00+00:00,2023-01-26 00:00:00+00:00,3.4635,90.03,10487.88,2023
54,DOGE_USDT,2023-03-09 00:00:00+00:00,2023-03-29 00:00:00+00:00,0.8167,21.41,10509.3,2023
55,ZEC_USDT,2023-03-10 00:00:00+00:00,2023-03-30 00:00:00+00:00,0.7248,19.04,10528.34,2023
56,LTC_USDT,2023-03-10 00:00:00+00:00,2023-03-30 00:00:00+00:00,1.1533,30.36,10558.69,2023
57,LPT_USDT,2023-03-11 00:00:00+00:00,2023-03-31 00:00:00+00:00,1.2117,31.98,10590.68,2023
58,DASH_USDT,2023-03-11 00:00:00+00:00,2023-03-31 00:00:00+00:00,0.7764,20.56,10611.24,2023
59,ZEN_USDT,2023-05-08 00:00:00+00:00,2023-05-28 00:00:00+00:00,0.4475,11.87,10623.11,2023
60,SUI_USDT,2023-05-17 00:00:00+00:00,2023-06-06 00:00:00+00:00,-0.9915,-26.33,10596.77,2023
61,PEPE_USDT,2023-05-19 00:00:00+00:00,2023-06-08 00:00:00+00:00,-0.2796,-7.41,10589.37,2023
62,CHZ_USDT,2023-05-25 00:00:00+00:00,2023-06-14 00:00:00+00:00,-3.1328,-82.94,10506.43,2023
63,BNB_USDT,2023-06-05 00:00:00+00:00,2023-06-25 00:00:00+00:00,-1.6417,-43.12,10463.31,2023
64,SUI_USDT,2023-06-07 00:00:00+00:00,2023-06-27 00:00:00+00:00,-0.163,-4.26,10459.05,2023
65,PEPE_USDT,2023-06-09 00:00:00+00:00,2023-06-29 00:00:00+00:00,0.8931,23.35,10482.4,2023
66,ADA_USDT,2023-06-09 00:00:00+00:00,2023-06-29 00:00:00+00:00,-0.3975,-10.42,10471.98,2023
67,DASH_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.9543,24.98,10496.97,2023
68,NEAR_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.6751,17.72,10514.68,2023
69,ZEN_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,1.7551,46.14,10560.82,2023
70,UNI_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,1.7476,46.14,10606.96,2023
71,ATOM_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.6513,17.27,10624.23,2023
72,SOL_USDT,2023-06-14 00:00:00+00:00,2023-07-04 00:00:00+00:00,0.9784,25.99,10650.22,2023
73,ARKM_USDT,2023-08-01 00:00:00+00:00,2023-08-21 00:00:00+00:00,-0.4867,-12.96,10637.26,2023
74,SUI_USDT,2023-08-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,-0.3943,-10.49,10626.77,2023
75,ETH_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.3734,-9.92,10616.85,2023
76,ZEC_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,0.2025,5.37,10622.23,2023
77,LTC_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.1575,-4.18,10618.04,2023
78,NEAR_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,0.0631,1.67,10619.72,2023
79,ATOM_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.4939,-13.11,10606.61,2023
80,GRT_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.0505,-1.34,10605.27,2023
81,ARB_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.6013,-15.94,10589.32,2023
82,FIL_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.3406,-9.02,10580.31,2023
83,CHZ_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.4515,38.39,10618.7,2023
84,GRT_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.2558,33.34,10652.04,2023
85,DOT_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,0.6296,16.77,10668.8,2023
86,ARB_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.5382,41.03,10709.83,2023
87,ICP_USDT,2023-09-14 00:00:00+00:00,2023-10-04 00:00:00+00:00,0.6451,17.27,10727.1,2023
88,PEPE_USDT,2023-09-17 00:00:00+00:00,2023-10-07 00:00:00+00:00,0.6,16.09,10743.19,2023
89,ZEC_USDT,2024-01-08 00:00:00+00:00,2024-01-28 00:00:00+00:00,0.1258,3.38,10746.57,2024
90,TRX_USDT,2024-03-19 00:00:00+00:00,2024-04-08 00:00:00+00:00,0.9847,26.46,10773.03,2024
91,TIA_USDT,2024-04-12 00:00:00+00:00,2024-05-02 00:00:00+00:00,0.3919,10.55,10783.58,2024
92,LINK_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.2061,5.56,10789.14,2024
93,ZEC_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.4188,11.3,10800.44,2024
94,UNI_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.2203,5.95,10806.38,2024
95,ARB_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.0863,2.33,10808.72,2024
96,ATOM_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.3055,8.26,10816.97,2024
97,SEI_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.3709,10.03,10827.0,2024
98,APT_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.0646,1.75,10828.75,2024
99,SAGA_USDT,2024-04-23 00:00:00+00:00,2024-05-13 00:00:00+00:00,-0.6206,-16.8,10811.95,2024
100,TAO_USDT,2024-04-25 00:00:00+00:00,2024-05-15 00:00:00+00:00,-0.3022,-8.17,10803.78,2024
101,SAGA_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.6889,18.61,10822.39,2024
102,SUI_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.6756,18.28,10840.67,2024
103,FET_USDT,2024-06-11 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.5334,-14.46,10826.21,2024
104,ALT_USDT,2024-06-14 00:00:00+00:00,2024-07-04 00:00:00+00:00,-1.2289,-33.26,10792.95,2024
105,SAGA_USDT,2024-06-17 00:00:00+00:00,2024-07-07 00:00:00+00:00,-0.5708,-15.4,10777.55,2024
106,WLD_USDT,2024-06-17 00:00:00+00:00,2024-07-07 00:00:00+00:00,-0.9847,-26.53,10751.02,2024
107,NEAR_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,-0.1647,-4.43,10746.59,2024
108,DASH_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,-0.0268,-0.72,10745.87,2024
109,ZEN_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,1.4101,37.88,10783.75,2024
110,ARB_USDT,2024-07-04 00:00:00+00:00,2024-07-24 00:00:00+00:00,0.4831,13.02,10796.78,2024
