n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,lookback,pattern,trigger_n,exit_n,profitable,gate_avgr,zone_frac,gate_stability,all_gates
154,0.23455523472757195,36.12150614804608,0.5324675324675324,1.709435322928639,2.4936828475833983,30.80421686746988,103,0.7239526104269738,0.1496515936431889,False,30,climax,20,10,True,False,0.7142857142857143,True,False
435,0.10955813220835009,47.65778751063229,0.4804597701149425,1.2499454822096858,1.817623052323332,87.01191128148959,163,1.1708928186954264,0.17435022370571254,False,30,climax,10,10,True,False,0.7142857142857143,True,False
55,0.07493059524077815,4.121182738242799,0.6545454545454545,1.1765472316579184,0.4432751311939516,11.001506024096384,45,1.0720226685387144,0.6442894644937592,False,60,climax,20,20,True,False,0.7142857142857143,True,False
153,0.07269648652369852,11.122562438125874,0.5228758169934641,1.1497049402546042,0.6794471389273814,30.60418948521358,103,2.2810889003354005,0.4804018092184218,False,30,climax,20,20,True,False,0.7142857142857143,True,False
218,0.04975915907529307,10.847496678413888,0.4954128440366973,1.1053037672330637,0.5662380044318717,43.60596933187294,112,2.5388949007136907,0.542711133712937,False,30,declining,20,10,True,False,0.14285714285714285,False,False
55,0.04577678450380639,2.5177231477093516,0.6545454545454545,1.1238655692496955,0.30421205410996605,11.001506024096384,45,1.4115395502827701,1.1577694022985043,False,60,climax,20,10,True,False,0.7142857142857143,True,False
642,0.040952955529054515,26.291797449652996,0.4797507788161994,1.084651054418623,0.8080994535391388,128.41757940854325,178,2.4399280684890914,0.3362684020625167,False,30,declining,10,10,True,False,0.14285714285714285,False,False
426,0.012086797231403972,5.148975620578092,0.5046948356807511,1.020178813963316,0.1659709020138201,85.21166484118291,163,10.864489848785334,1.2988838485174836,False,30,climax,10,20,True,False,0.7142857142857143,True,False
214,-0.03650251613322061,-7.81153845250921,0.49065420560747663,0.9455666150165827,-0.333333443608744,42.805859802847756,112,3.4811215108413878,0.8637931126385963,False,30,declining,20,20,False,False,0.2857142857142857,False,False
262,-0.05607386674161981,-14.691353086304389,0.5458015267175572,0.9045484154300217,-0.6379723195076428,52.40717415115005,132,1.5198351459826656,0.4597298261853279,False,60,climax,10,20,False,False,0.8571428571428571,True,False
355,-0.06641404082528149,-23.57698449297493,0.4619718309859155,0.870900847332471,-1.0062933298736763,71.00972070098575,151,1.2332752205414346,0.2448661400610536,False,60,declining,10,10,False,False,0.2857142857142857,False,False
264,-0.07809280119735512,-20.61649951610175,0.49242424242424243,0.8443530475400425,-1.0878279907541502,52.80722891566265,132,0.5569689952690395,0.2667261078551769,False,60,climax,10,10,False,False,0.8571428571428571,True,False
351,-0.08824608882175597,-30.974377176436345,0.4586894586894587,0.8643104333789701,-1.0849621647043355,70.20961117196056,151,1.451364365188004,0.26231569635018,False,60,declining,10,20,False,False,0.2857142857142857,False,False
622,-0.11261207086041451,-70.04470807517782,0.4565916398713826,0.8357219235994706,-1.808048881770041,124.4170317634173,178,1.3562433339657092,0.1588623011048337,False,30,declining,10,20,False,False,0.2857142857142857,False,False
98,-0.17198691820482587,-16.854717984072934,0.42857142857142855,0.760063512885081,-1.0546446119002584,19.602683461117195,66,0.41873788827518965,0.29037313748879146,False,60,declining,20,20,False,False,0.2857142857142857,False,False
98,-0.22019189062019617,-21.578805280779225,0.3979591836734694,0.6141288445786209,-1.7087079536887877,19.602683461117195,66,0.26795936057003256,0.2268039068355357,False,60,declining,20,10,False,False,0.2857142857142857,False,False
