variant,time,open_positions,open_longs,accepted_signals_this_time,portfolio_heat_pct
T5_LINREG_B_max3,2024-05-17 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max3,2024-05-20 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-05-23 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-05-25 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-05-29 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-06-03 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-06-04 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-06-05 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-06-06 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max3,2024-07-15 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-07-19 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-07-20 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-08-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max3,2024-08-20 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max3,2024-08-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max3,2024-09-18 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max3,2024-09-21 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max3,2024-09-23 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max3,2024-09-26 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-10-07 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-10-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max3,2024-10-18 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max3,2024-10-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max3,2024-10-20 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-10-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max3,2024-11-06 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max3,2024-11-07 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-11-08 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-11-11 00:00:00+00:00,3,3,0,0.75
T5_LINREG_B_max3,2024-11-12 00:00:00+00:00,3,3,0,0.75
