variant,closed_trade_index,portfolio_exit_time,symbol,side,timeframe,portfolio_net_r,equity_r,peak_r,dd_r
T5_LINREG_B_max3,1,2024-06-06 00:00:00+00:00,LINK/USDT,LONG,1d,0.5139384027343891,0.5139384027343891,0.5139384027343891,0.0
T5_LINREG_B_max3,2,2024-06-07 00:00:00+00:00,ETH/USDT,LONG,1d,0.0496631618024391,0.5636015645368282,0.5636015645368282,0.0
T5_LINREG_B_max3,3,2024-06-08 00:00:00+00:00,BTC/USDT,LONG,1d,-0.3674764534610023,0.19612511107582592,0.5636015645368282,-0.3674764534610023
T5_LINREG_B_max3,4,2024-06-11 00:00:00+00:00,AVA/USDT,LONG,1d,-1.0000000000000002,-0.8038748889241742,0.5636015645368282,-1.3674764534610024
T5_LINREG_B_max3,5,2024-07-25 00:00:00+00:00,BCH/USDT,LONG,1d,-1.0,-1.8038748889241742,0.5636015645368282,-2.3674764534610024
T5_LINREG_B_max3,6,2024-07-25 00:00:00+00:00,ETH/USDT,LONG,1d,-0.9999999999999998,-2.803874888924174,0.5636015645368282,-3.367476453461002
T5_LINREG_B_max3,7,2024-08-02 00:00:00+00:00,BTC/USDT,LONG,1d,-0.7618848017982276,-3.5657596907224014,0.5636015645368282,-4.12936125525923
T5_LINREG_B_max3,8,2024-08-15 00:00:00+00:00,SUI/USDT,LONG,1d,-1.0000000000000002,-4.565759690722402,0.5636015645368282,-5.12936125525923
T5_LINREG_B_max3,9,2024-08-21 00:00:00+00:00,TRX/USDT,LONG,1d,-0.9999999999999988,-5.565759690722401,0.5636015645368282,-6.129361255259229
T5_LINREG_B_max3,10,2024-08-22 00:00:00+00:00,AUCTION/USDT,LONG,1d,-1.0,-6.565759690722401,0.5636015645368282,-7.129361255259229
T5_LINREG_B_max3,11,2024-08-27 00:00:00+00:00,AAVE/USDT,LONG,1d,-0.5820624287343203,-7.1478221194567215,0.5636015645368282,-7.71142368399355
T5_LINREG_B_max3,12,2024-08-27 00:00:00+00:00,TRX/USDT,LONG,1d,-0.999999999999999,-8.14782211945672,0.5636015645368282,-8.711423683993548
T5_LINREG_B_max3,13,2024-09-22 00:00:00+00:00,ARDR/USDT,LONG,1d,-1.0,-9.14782211945672,0.5636015645368282,-9.711423683993548
T5_LINREG_B_max3,14,2024-10-01 00:00:00+00:00,APT/USDT,LONG,1d,-0.9999999999999996,-10.14782211945672,0.5636015645368282,-10.711423683993548
T5_LINREG_B_max3,15,2024-10-03 00:00:00+00:00,ARKM/USDT,LONG,1d,-0.6707317073170737,-10.818553826773794,0.5636015645368282,-11.382155391310622
T5_LINREG_B_max3,16,2024-10-08 00:00:00+00:00,ALPINE/USDT,LONG,1d,-0.9999999999999994,-11.818553826773794,0.5636015645368282,-12.382155391310622
T5_LINREG_B_max3,17,2024-10-08 00:00:00+00:00,ASR/USDT,LONG,1d,-1.0,-12.818553826773794,0.5636015645368282,-13.382155391310622
T5_LINREG_B_max3,18,2024-10-10 00:00:00+00:00,SUI/USDT,LONG,1d,3.118884166939087,-9.699669659834708,0.5636015645368282,-10.263271224371536
T5_LINREG_B_max3,19,2024-10-19 00:00:00+00:00,ATM/USDT,LONG,1d,-0.9999999999999996,-10.699669659834708,0.5636015645368282,-11.263271224371536
T5_LINREG_B_max3,20,2024-10-22 00:00:00+00:00,APE/USDT,LONG,1d,-1.0000000000000004,-11.699669659834708,0.5636015645368282,-12.263271224371536
T5_LINREG_B_max3,21,2024-10-25 00:00:00+00:00,DOGE/USDT,LONG,1d,-0.4421221864951767,-12.141791846329884,0.5636015645368282,-12.705393410866712
