trade_id,symbol,timeframe,side,filter_mode,linreg_n,linreg_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,pnl_pct,mae_r,mfe_r,source_trade_id,variant,portfolio_entry_time,open_positions_before_entry,skip_reason,portfolio_status
168,SOL/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-05-20 00:00:00+00:00,2024-05-26 00:00:00+00:00,186.7,161.86,161.86,24.84,initial_stop,6,-1.0000000000000002,-13.304767005891804,-1.034621578099839,0.0881642512077293,3,T5_LINREG_B_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
99,AUDIO/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-05-23 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.2088,0.1765854545454545,0.1765854545454545,0.0322145454545454,initial_stop,15,-1.0000000000000004,-15.428422152560085,-1.288237950107236,1.949429958234564,4,T5_LINREG_B_max3,2024-05-23 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
187,UNI/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-05-25 00:00:00+00:00,2024-06-01 00:00:00+00:00,11.329,9.910127272727271,9.910127272727271,1.4188727272727275,initial_stop,7,-1.0000000000000002,-12.524253925966343,-1.0353289423101573,0.3319536635997847,5,T5_LINREG_B_max3,2024-05-25 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
93,AUCTION/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-05-29 00:00:00+00:00,2024-06-04 00:00:00+00:00,24.26,20.759636363636364,20.759636363636364,3.500363636363637,initial_stop,6,-1.0000000000000002,-14.428539309000977,-1.1113131103261995,1.3198628713899845,6,T5_LINREG_B_max3,2024-05-29 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
23,AGLD/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-06-03 00:00:00+00:00,2024-06-11 00:00:00+00:00,1.631,1.4321272727272727,1.4321272727272727,0.1988727272727272,initial_stop,8,-1.0000000000000002,-12.193300261969798,-1.0609800694825382,0.5983726458219052,7,T5_LINREG_B_max3,2024-06-03 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
36,ALICE/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-06-03 00:00:00+00:00,2024-06-04 00:00:00+00:00,2.355,2.1244545454545456,2.1244545454545456,0.2305454545454545,initial_stop,1,-0.9999999999999992,-9.78961590426558,-1.1190851735015772,0.1301261829652988,8,T5_LINREG_B_max3,2024-06-03 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
83,ATM/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-06-04 00:00:00+00:00,2024-06-07 00:00:00+00:00,3.535,2.9995818181818183,2.9995818181818183,0.5354181818181818,initial_stop,3,-1.0,-15.146200334319149,-1.2084012496604188,1.1486348818255914,9,T5_LINREG_B_max3,2024-06-04 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
123,BNB/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-06-04 00:00:00+00:00,2024-06-10 00:00:00+00:00,685.7,636.82,636.82,48.88,initial_stop,6,-1.0,-7.128481843371737,-1.481178396072015,0.7385433715220932,10,T5_LINREG_B_max3,2024-06-04 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
37,ALICE/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-06-05 00:00:00+00:00,2024-06-07 00:00:00+00:00,2.183,1.9103454545454543,1.9103454545454543,0.2726545454545455,initial_stop,2,-1.0,-12.489901303460629,-2.097892771405707,0.3007468658308893,11,T5_LINREG_B_max3,2024-06-05 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
164,NEAR/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-07-15 00:00:00+00:00,2024-07-30 00:00:00+00:00,5.915,5.151,5.023181818181818,0.8918181818181817,midline_exit,15,-0.8566768603465854,-12.916314454776002,-0.9508664627930682,0.6436289500509683,16,T5_LINREG_B_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
169,SOL/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-07-15 00:00:00+00:00,2024-08-01 00:00:00+00:00,159.38,167.37,140.8101818181818,18.56981818181819,midline_exit,17,0.430268079190084,5.013176057221735,-0.3667241075449899,1.8632384906103736,17,T5_LINREG_B_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
192,XRP/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,0.5372,0.5607,0.4948472727272727,0.0423527272727272,midline_exit,18,0.5548639134541077,4.374534623976167,-0.1487507512664199,2.8664033656735635,18,T5_LINREG_B_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
60,AR/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-07-19 00:00:00+00:00,2024-08-01 00:00:00+00:00,34.005,28.07489090909091,28.07489090909091,5.930109090909091,initial_stop,13,-1.0000000000000002,-17.438932777265382,-1.290870013122555,0.1844822722868801,19,T5_LINREG_B_max3,2024-07-19 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
135,DOGE/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-07-20 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.13424,0.1185592727272727,0.1185592727272727,0.0156807272727272,initial_stop,12,-1.0000000000000002,-11.681113880160366,-1.4112865822549971,0.6052015212652473,20,T5_LINREG_B_max3,2024-07-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
136,DOGE/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-09-26 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.11818,0.1058076363636363,0.1058076363636363,0.0123723636363636,initial_stop,5,-1.0000000000000002,-10.469084139756005,-1.2592581707030328,1.1250881730543147,30,T5_LINREG_B_max3,2024-09-26 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
84,ATM/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-10-07 00:00:00+00:00,2024-10-08 00:00:00+00:00,2.261,2.0494000000000003,2.0494000000000003,0.2116,initial_stop,1,-0.999999999999999,-9.358690844758945,-1.082230623818526,0.7986767485822308,33,T5_LINREG_B_max3,2024-10-07 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
72,ARPA/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-10-20 00:00:00+00:00,2024-10-21 00:00:00+00:00,0.06023,0.0546678181818181,0.0546678181818181,0.0055621818181818,initial_stop,1,-1.0000000000000002,-9.234902570449645,-1.4454759414225935,1.3358067468619244,38,T5_LINREG_B_max3,2024-10-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
15,ADA/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-07 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4065,1.0034,0.3714309090909091,0.0350690909090909,midline_exit,32,17.020686437163008,146.83886838868392,-0.0769908751555365,26.23107631688097,43,T5_LINREG_B_max3,2024-11-07 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
71,ARKM/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-07 00:00:00+00:00,2024-11-13 00:00:00+00:00,2.325,2.0215454545454548,2.0215454545454548,0.3034545454545454,initial_stop,6,-1.0,-13.051808406647114,-1.1105452366686646,0.7513481126423001,44,T5_LINREG_B_max3,2024-11-07 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
148,ETH/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,2961.75,3712.0,2741.521272727273,220.22872727272727,midline_exit,31,3.406685446040398,25.331307504009448,-0.0365074988152811,5.112775312939109,45,T5_LINREG_B_max3,2024-11-08 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
158,LINK/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-08 00:00:00+00:00,2024-12-10 00:00:00+00:00,13.69,22.12,12.408181818181818,1.2818181818181815,midline_exit,32,6.576595744680852,61.57779401022645,-0.7645390070921976,10.70354609929078,46,T5_LINREG_B_max3,2024-11-08 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
24,AGLD/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-12 00:00:00+00:00,1.625,1.4614363636363636,1.4614363636363636,0.1635636363636363,initial_stop,2,-0.9999999999999998,-10.065454545454545,-1.9197421076033796,0.3362605602489991,47,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
31,ALCX/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,17.63,24.09,15.820181818181815,1.8098181818181815,midline_exit,29,3.5694193289130003,36.64208735110608,-0.276270845891099,6.696805304400242,48,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
34,ALGO/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.1454,0.416,0.13268,0.0127199999999999,midline_exit,29,21.273584905660385,186.1072902338377,-0.4795597484276727,36.83176100628933,49,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
107,AVAX/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,31.89,45.02,28.73109090909091,3.158909090909092,midline_exit,29,4.156498215724645,41.1727814361869,-0.4115344768044205,7.565903073558188,50,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
122,BCH/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-13 00:00:00+00:00,441.3,404.9181818181818,404.9181818181818,36.38181818181819,initial_stop,3,-0.9999999999999996,-8.24423706816637,-1.0472263868065972,1.1351824087956022,51,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
132,BTC/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-25 00:00:00+00:00,80370.01,93010.01,76067.05109090908,4302.9589090909085,midline_exit,15,2.937513526632879,15.727259459094256,-0.035789326194736,4.466229031236604,52,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
143,DOT/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-14 00:00:00+00:00,5.241,4.834672727272727,4.834672727272727,0.4063272727272727,initial_stop,4,-1.0000000000000002,-7.75285771278903,-1.3658940397350985,1.471720064435298,53,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
170,SOL/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-25 00:00:00+00:00,210.07,234.18,192.83654545454544,17.233454545454546,midline_exit,15,1.3990230418636065,11.477126672061711,-0.5454507089804189,3.1520087778528016,54,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
175,SUI/USDT,1d,LONG,ema200_price,55,3.0,2.0,2024-11-10 00:00:00+00:00,2024-11-25 00:00:00+00:00,3.0331,3.1926,2.640616363636364,0.3924836363636363,midline_exit,15,0.4063863693217088,5.258646269493261,-0.5340350031964275,2.312962671286817,55,T5_LINREG_B_max3,2024-11-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
