variant,timeframe,side,max_open,input_signals,accepted_trades,skipped_signals,acceptance_rate,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,max_open_observed,avg_open_positions,assets_accepted
T5_LINREG_B_max3,1d,LONG,3,196,95,101,0.4846938775510204,-16.636875495608827,-0.17512500521693503,0.16842105263157894,0.7703421571843972,-26.969569074609847,10.85665294924554,-1.000000000000001,15,3,2.2735042735042734,40
T5_LINREG_B_max5,1d,LONG,5,196,115,81,0.5867346938775511,-4.104391484849236,-0.03569036073781944,0.2,0.9518821251727518,-29.969569074609847,17.020686437163008,-1.000000000000001,15,5,3.0256410256410255,42
T5_LINREG_B_max8,1d,LONG,8,196,136,60,0.6938775510204082,-5.151552797841212,-0.037879064690008915,0.21323529411764705,0.948573580239958,-34.013336714032285,17.020686437163008,-1.000000000000001,15,8,3.8632478632478633,44
T5_LINREG_B_max10,1d,LONG,10,196,143,53,0.7295918367346939,19.780741683008166,0.13832686491614102,0.23076923076923078,1.1932298429108519,-34.013336714032285,21.273584905660385,-1.000000000000001,15,10,4.316239316239316,46
T5_LINREG_B_uncap,1d,LONG,99,196,196,0,1.0,71.03644091087318,0.36243082097384277,0.2653061224489796,1.5276558498662742,-41.01333671403228,39.28250755040403,-1.000000000000001,20,38,6.735042735042735,51
