removed_k,removed,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score
1,['ZEC_USDT'],169,0.514792899408284,0.41537633136094676,2.156814050792071,16.243399999999998,70.1986,1.6737343021870028,3.2262541913829934
3,"['ZEC_USDT', 'TRX_USDT', 'DOGE_USDT']",156,0.5064102564102564,0.32184871794871794,1.8858956194320984,15.2434,50.2084,1.4242756918014188,2.8224094688222383
5,"['ZEC_USDT', 'TRX_USDT', 'DOGE_USDT', 'LPT_USDT', 'SOL_USDT']",145,0.496551724137931,0.25642344827586205,1.6868590957373113,14.127699999999999,37.1814,1.3222134525743499,2.3352864839047
