removed_k,months,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score
1,2021-03,168,0.4880952380952381,0.3320625,1.869464588798025,16.4135,55.7865,1.594006659152857,2.700127939626999
2,"2021-03, 2024-11",162,0.4691358024691358,0.18740308641975306,1.4731670976077704,16.4135,30.359299999999998,1.3504844647360887,1.7662194125829154
3,"2021-03, 2024-11, 2024-02",156,0.4551282051282051,0.10709102564102566,1.264498059748044,16.4135,16.706200000000003,1.2355145224859883,1.0825987531558479
