split,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score
count_h1,89,0.5393258426966292,0.5255280898876404,2.6724594150039334,16.413499999999992,46.772,1.6863245713674002,2.94001651197288
count_h2,90,0.4888888888888889,0.4142311111111111,2.0267364362434592,8.232600000000005,37.2808,1.7849907518499257,2.2015471858145363
time_h1,90,0.5333333333333333,0.5085777777777778,2.580197472899261,16.413499999999992,45.772,1.6845168915530622,2.864199498127891
time_h2,89,0.4943820224719101,0.43012134831460674,2.0841348060039646,8.232600000000005,38.2808,1.7886910033769938,2.26856213668757
