block_size,p05_total_r,p50_total_r,p95_total_r,prob_positive,pf_p05,mc_pass
1,45.517450000000004,83.18084999999999,122.64079499999998,1.0,1.6329366946501087,True
5,31.091704999999994,82.8135,139.16758,0.997,1.4252951585762277,True
10,23.75179,81.18875,147.688545,0.9935,1.3131836515370043,True
20,17.427455000000005,73.15285,135.97306,0.9845,1.2147432500328008,True
