n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,formation,quantile,rebalance_n,side,profitable,gate_avgr,zone_frac,gate_stability,all_gates
425,0.6685274392687202,284.12416168920606,0.39294117647058824,2.149289038120572,2.6511459803889155,85.01163745892661,149,0.2967835235843387,0.25134055083338697,False,90,0.1,14,long_only,True,True,1.0,True,False
749,0.614465569454791,460.2347115216385,0.40053404539385845,1.958594930584122,3.460032886107584,149.82050930996712,177,0.19137262814602043,0.14815244867152305,True,90,0.2,14,long_only,True,True,1.0,True,True
967,0.5294714844846234,511.9989254966308,0.40537745604963804,1.8969367910689743,3.795703321779719,193.42647864184008,186,0.23151797507420632,0.13936596188232037,True,60,0.2,14,long_only,True,True,1.0,True,True
609,0.4564001751050106,277.94770663895144,0.3891625615763547,1.8915874198167184,2.617652972131139,121.81667579408543,158,0.28859227893473705,0.267775755078062,False,90,0.1,7,long_only,True,True,1.0,True,False
1053,0.45491089097242315,479.02116819396156,0.402659069325736,1.8397589824564606,3.424920365889267,210.6288335158817,182,0.19114030592728948,0.15253206447882053,True,90,0.2,7,long_only,True,True,1.0,True,True
1348,0.44821620506886267,604.1954444328269,0.3983679525222552,1.8508069204819453,4.0405968191629436,269.6369112814896,190,0.29504037604450506,0.1215612470713204,False,60,0.2,7,long_only,True,True,1.0,True,False
1394,0.3741490418457619,521.5637643329922,0.4282639885222382,1.709088510800241,3.969694714908723,278.83817086527927,196,0.20493948275357096,0.10803680559386696,True,30,0.2,14,long_only,True,True,1.0,True,True
769,0.32628938745237496,250.91653895087634,0.4187256176853056,1.631423672069564,2.8340579073787153,153.8210569550931,180,0.31936900450694267,0.22975537769215604,False,30,0.1,14,long_only,True,True,1.0,True,False
535,0.30818001730799005,164.87630925977467,0.394392523364486,1.5431061557911352,2.5849368978485794,107.01464950711939,166,0.3378878107329735,0.15852874605116435,False,60,0.1,14,long_only,True,True,1.0,True,False
1951,0.30470660473022426,594.4825858286675,0.40953357252690925,1.619171298002132,4.115846681842774,390.2534227820372,199,0.2923888327079392,0.09333868927717923,False,30,0.2,7,long_only,True,True,1.0,True,False
1077,0.30235793225175916,325.6394930351446,0.38904363974001854,1.6368196681517375,3.020170725869952,215.42949069003285,186,0.4210819986883624,0.16862613185354544,False,30,0.1,7,long_only,True,True,1.0,True,False
751,0.25220601641706686,189.40671832921723,0.38615179760319573,1.4876205514005412,2.3630413738176537,150.22056407447974,173,0.3594639439239978,0.21148661561456025,False,60,0.1,7,long_only,True,True,1.0,True,False
2982,0.09156762252149223,273.0546503590898,0.44701542588866533,1.1580190594632516,1.671338871183546,596.4816538882803,203,0.5056754384693207,0.2553459534890357,False,60,0.2,7,long_short,True,False,0.9090909090909091,True,False
2398,0.08516361416323755,204.22234676344362,0.4395329441201001,1.1883792251725591,1.76505541050761,479.66566265060237,201,0.5397235347859946,0.28893367648707385,False,30,0.1,7,long_short,True,False,0.8571428571428571,True,False
2942,0.08302696991179788,244.26534548050935,0.4619306594153637,1.1427306189186857,1.6491486854989672,588.4805585980284,203,0.27781792111917875,0.227250128763023,False,30,0.2,14,long_short,True,False,0.8571428571428571,True,False
4249,0.07226333248326906,307.0468997214102,0.44739938809131563,1.1450740315709094,1.9558981232972155,849.9163472070098,203,0.37876161661380175,0.171353230566434,False,30,0.2,7,long_short,True,False,0.8571428571428571,True,False
1612,0.07031136694130373,113.3419235093816,0.46153846153846156,1.1265846481322994,1.0955478648216854,322.44414019715225,200,0.6485747375312001,0.5392727741895025,False,30,0.1,14,long_short,True,False,0.8571428571428571,True,False
2105,0.06784946873723695,142.8231316918838,0.46080760095011875,1.0933557964159508,0.9305291173586955,421.0576396495071,203,0.7817625621270079,0.4812948157903413,False,60,0.2,14,long_short,True,False,0.9090909090909091,True,False
1433,0.0539131560948026,77.25755268385213,0.44731332868108864,1.090741345527156,0.6439634448942216,286.6392387732749,198,0.9012854689385695,0.9795357786712229,False,90,0.1,7,long_short,True,False,0.8571428571428571,True,False
2396,0.042141969049417805,100.97215784240505,0.44824707846410683,1.064313589475498,0.6350142145035206,479.2656078860898,203,0.850786467130229,0.7269204428599743,False,90,0.2,7,long_short,True,False,0.8571428571428571,True,False
991,0.025592875875199442,25.362539992322645,0.4581231079717457,1.0320273408059315,0.19417712976886498,198.22713581599123,195,2.8901512659422655,2.904993047825257,False,90,0.1,14,long_short,True,False,0.8571428571428571,True,False
1727,0.010669573223679533,18.426352957294554,0.4365952518818761,1.0197746645896457,0.1993877419852266,345.4472891566265,197,3.566203418227824,2.0532159815343847,False,60,0.1,7,long_short,True,False,0.9090909090909091,True,False
1663,0.0008798614590061831,1.4632096063272826,0.45279615153337344,1.0009946426328498,0.008869037538011895,332.6455366922234,202,62.1749878626684,40.171466180109796,False,90,0.2,14,long_short,True,False,0.8571428571428571,True,False
1194,-0.039714380390842845,-47.41897018666636,0.4539363484087102,0.9430376576676844,-0.5345304540827227,238.8326944140197,196,1.3116018946128416,0.8077156283344616,False,60,0.1,14,long_short,False,False,1.0,True,False
