n_ex,avg_r_ex,t_ex,clears_floor,clears_tstat,survives,formation,quantile,rebalance_n,side,avg_r_full,t_full,robustness_triggered
1392,0.29932732542879414,3.8316782577223005,True,True,True,30,0.2,14,long_only,0.3741490418457619,3.969694714908723,False
965,0.4124253480200346,3.7177232122393282,True,True,True,60,0.2,14,long_only,0.5294714844846234,3.795703321779719,False
1051,0.3190688052566863,3.473660431985688,True,True,True,90,0.2,7,long_only,0.45491089097242315,3.424920365889267,False
747,0.4519229540702897,3.3447630965838338,True,True,True,90,0.2,14,long_only,0.614465569454791,3.460032886107584,False
