n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,lookback,quantile,rebalance_n,side,profitable,gate_avgr,zone_frac,gate_stability,all_gates
538,1.0261062003655745,552.0451357966791,0.4591078066914498,2.803251038044489,4.401822220926667,107.61473165388827,165,0.14325928492375842,0.12472797875968088,True,180,0.1,14,long_only,True,True,1.0,True,True
775,0.7436583961562115,576.335257021064,0.4180645161290323,2.149973121287032,4.700611416882039,155.02122124863087,174,0.12187533309363877,0.11993366709581828,True,252,0.2,14,long_only,True,True,1.0,True,True
946,0.6996156803496792,661.8364336107966,0.42071881606765327,2.1475980224879696,5.363054745782872,189.22590361445782,182,0.13262726536731917,0.08884180766897179,True,180,0.2,14,long_only,True,True,1.0,True,True
859,0.6437393525929855,552.9721038773746,0.4481955762514552,2.3876660776176712,4.423526057496313,171.8235213581599,177,0.15902370613198552,0.1423186199392137,True,180,0.1,7,long_only,True,True,1.0,True,True
1153,0.6418362859145449,740.0372376594703,0.3954900260190807,2.184011430327824,5.053294873812882,230.6315717415115,178,0.15963054729116524,0.0910527411377305,True,252,0.2,7,long_only,True,True,1.0,True,True
498,0.5974443366331172,297.5272796432924,0.44377510040160645,1.9267153830461548,3.523453088776616,99.61363636363636,150,0.1798071713930148,0.20180845938546343,False,252,0.1,14,long_only,True,True,1.0,True,False
1230,0.5894808045166499,725.0613895554793,0.416260162601626,2.0520870190162053,5.043596492089825,246.03368017524642,195,0.24453599000543214,0.0928100349873785,True,90,0.2,14,long_only,True,True,1.0,True,True
750,0.5526237052472176,414.4677789354132,0.42,2.036701305142955,4.028755259464632,150.02053669222343,177,0.2538484486113595,0.14713376187455673,False,90,0.1,14,long_only,True,True,1.0,True,False
1427,0.522734762660248,745.9425063161739,0.41625788367203925,2.057334692148077,4.876958536227162,285.43907447973714,186,0.1416164368643515,0.1354073492670284,True,180,0.2,7,long_only,True,True,1.0,True,True
774,0.4801661586604316,371.64860680317406,0.417312661498708,1.9753402586750533,4.338631132967617,154.82119386637459,163,0.1773910967827656,0.12442414381478227,True,252,0.1,7,long_only,True,True,1.0,True,True
1944,0.39887813134831285,775.4190873411202,0.42592592592592593,1.8635131541640724,5.892688100052988,388.85323110624313,197,0.2932432826348127,0.07195911691429731,False,90,0.2,7,long_only,True,True,1.0,True,False
911,0.38968828039985504,355.00602344426795,0.4621295279912184,1.5098698453168329,2.539994672084344,182.22494523548738,197,0.2507913895671635,0.19386238978649958,False,180,0.1,14,long_short,True,True,1.0,True,False
1218,0.3046228265513557,371.0306027395512,0.41954022988505746,1.670491265315739,4.513603870675306,243.63335158817085,190,0.27498382788883174,0.10259366227958523,False,90,0.1,7,long_only,True,True,1.0,True,False
1412,0.2809314957604524,396.6752720137588,0.4426345609065156,1.5073320028678918,3.009714663768027,282.43866374589265,199,0.17557457155061412,0.19875862844610598,True,180,0.1,7,long_short,True,True,1.0,True,True
1258,0.24015365993250673,302.11330419509346,0.45866454689984104,1.3996149342884816,2.7265353518740363,251.63444687842278,201,0.3104931746289844,0.2175815871380952,False,90,0.1,14,long_short,True,False,1.0,True,False
1598,0.2297958355561082,367.2137452186609,0.4411764705882353,1.2993650780481754,2.6456179566701286,319.64375684556404,203,0.19912105084035803,0.16012130784526143,True,180,0.2,14,long_short,True,False,1.0,True,False
2171,0.221461587936877,480.79310741096,0.46107784431137727,1.3402351631653164,3.08934240727157,434.25944687842275,203,0.23282828722809298,0.14192422825167822,True,90,0.2,14,long_short,True,False,1.0,True,False
1940,0.21997942344082136,426.76008147519343,0.4092783505154639,1.3212254818630518,2.6746066695378574,388.05312157721795,203,0.18387287707629069,0.1734551062822241,True,252,0.2,7,long_short,True,False,1.0,True,False
1207,0.20678414418054245,249.58846202591474,0.4250207125103563,1.347987715090452,2.621695823651531,241.43305038335157,195,0.22793485128326485,0.18527322667920554,True,252,0.1,7,long_short,True,False,1.0,True,False
2354,0.2007000293128447,472.4478690024364,0.43075615972812237,1.3407632511394802,2.8838378958082713,470.8644578313253,203,0.1700695380533159,0.21987788271120023,False,180,0.2,7,long_short,True,False,1.0,True,False
796,0.18931949177249072,150.6983154509026,0.4547738693467337,1.2291541160928923,1.514107446975505,159.22179627601312,187,0.24173117054753915,0.3984352562290116,False,252,0.1,14,long_short,True,False,1.0,True,False
1338,0.1678961683294974,224.64507322486753,0.4334828101644245,1.1867784837387745,1.5688739761998922,267.6366374589266,203,0.3516394107368819,0.28507637232785027,False,252,0.2,14,long_short,True,False,1.0,True,False
3280,0.1609894610472537,528.0454322349922,0.4432926829268293,1.3080233924186135,3.7074407014015933,656.0898138006571,203,0.3508565818017028,0.1080528389782999,False,90,0.2,7,long_short,True,False,1.0,True,False
1936,0.13747379064639625,266.14925869142314,0.4359504132231405,1.2834108152413657,2.957521864800406,387.2530120481928,202,0.34084626303787424,0.14732331212495217,False,90,0.1,7,long_short,True,False,1.0,True,False
