n_ex,avg_r_ex,t_ex,clears_floor,clears_tstat,survives,lookback,quantile,rebalance_n,side,avg_r_full,t_full,robustness_triggered
1228,0.48258326275554714,5.403531717137517,True,True,True,90,0.2,14,long_only,0.5894808045166499,5.043596492089825,False
857,0.5094055260188092,4.734960159254481,True,True,True,180,0.1,7,long_only,0.6437393525929855,4.423526057496313,False
1410,0.19876858435071162,2.7791029436521293,False,True,False,180,0.1,7,long_short,0.2809314957604524,3.009714663768027,False
536,0.8245747493182863,4.4981175975807135,True,True,True,180,0.1,14,long_only,1.0261062003655745,4.401822220926667,False
1425,0.420138617102021,5.601525472587248,True,True,True,180,0.2,7,long_only,0.522734762660248,4.876958536227162,False
944,0.6143654524778106,5.324757599369107,True,True,True,180,0.2,14,long_only,0.6996156803496792,5.363054745782872,False
772,0.39231025094373817,4.270997926978757,True,True,True,252,0.1,7,long_only,0.4801661586604316,4.338631132967617,False
1151,0.539661659734348,5.179967124666798,True,True,True,252,0.2,7,long_only,0.6418362859145449,5.053294873812882,False
773,0.6204992990661905,4.689487273351895,True,True,True,252,0.2,14,long_only,0.7436583961562115,4.700611416882039,False
